Updated.gene.symbol	logFC	P.Value
ACKR2	-0.0248	0.599
ACKR3	-0.933	0.000595
ACKR4	1.91	1.25e-26
ACLY	-0.992	5.08e-12
ACMSD	0.0388	0.3
ACO1	0.206	0.0556
ACO2	-0.57	3.44e-08
ACOD1	-0.0568	0.25
ACOT2	0.728	2.53e-07
ACOT11	-0.521	1.73e-07
ACOT12	0.00194	0.952
ACOT13	-0.215	0.0602
ACOT4	0.675	3.62e-06
ACOT6	0.0335	0.3
ACOT7	-0.874	2.56e-13
ACOT8	-0.307	0.0165
ACOT9	0.409	5.29e-07
ACOX1	0.453	1.86e-07
ACOX2	0.67	0.000107
ACOX3	0.274	0.02
ACOXL	1.65	2.98e-30
ACP1	-1.39	1.49e-19
ACP2	-0.256	0.0122
ACP5	1.76	2.41e-18
ACP6	-0.394	0.00507
ACP3	-0.547	8.84e-06
ACP4	-0.0298	0.584
ACR	0.0638	0.126
ACRBP	0.867	5.26e-15
GCNA	0.281	0.00855
ACRV1	-0.0351	0.34
ACSBG1	0.213	0.000496
ACSBG2	-0.0105	0.799
ACSF2	0.819	1.01e-08
ACSF3	-0.123	0.00316
ACSL1	0.854	1.91e-09
ACSL3	0.644	7.32e-09
ACSL4	0.78	1.48e-12
ACSL5	1.92	8.86e-11
MEIKIN	0.0821	0.0108
ACSM1	0.0731	0.0203
ACSM2A	0.0977	0.0011
ACSM2B	-0.00306	0.936
ACSM3	0.508	0.0113
ACSM5	0.76	1.65e-13
ACSS1	0.206	0.0035
ACSS2	0.67	3.36e-09
ACSS3	1.44	6.93e-22
ACTA1	0.0105	0.804
ACTA2	0.321	0.00432
ACTA2-AS1	-0.0767	0.039
ACTB	-0.348	0.0155
ACTBP9	-0.212	0.0235
ACTC1	0.00757	0.906
ACTG1	-0.286	3.66e-08
ACTG1P17	0.103	0.00201
AMY1A	2.08	1.39e-08
AMY2B	0.553	3.76e-08
ACTG2	0.95	8.53e-05
ACTL10	-0.46	2.67e-08
ACTL6A	-1.62	6.11e-24
ACTL6B	-0.143	0.0158
ACTL7A	-0.0203	0.677
ACTL7B	-0.0687	0.0815
ACTL8	-0.098	0.176
ACTL9	-0.0324	0.354
ACTN1	-0.489	1.74e-05
ACTN2	0.369	2.25e-07
ACTN3	0.00242	0.953
ACTN4	0.106	0.244
ACTR10	0.187	0.00445
ACTR1A	0.339	8.89e-07
ACTR1B	0.0688	0.254
ACTR2	-0.929	4.04e-06
ACTR3	1.27	2.88e-17
ACTR3B	-0.548	6.68e-09
ACTR3BP2	-0.0511	0.203
ACTR3BP6	-0.128	0.00196
ACTR5	-0.348	2.31e-05
ACTR6	-0.309	2.33e-06
ACTR8	0.259	0.000291
ACTRT2	-0.0223	0.62
ACTRT3	-0.279	0.00696
ACVR1	-0.518	3.61e-07
ACVR1B	-0.564	8.99e-07
ACVR1C	-1.17	7.45e-10
ACVR2A	-0.489	1.63e-05
ACVR2B	-0.418	5.75e-06
ACVR2B-AS1	0.0307	0.544
ACVRL1	1.95	2.65e-20
ACY3	-0.13	0.016
ACYP1	-0.496	4.9e-05
ADA	-0.876	5.89e-08
ADAD1	0.0136	0.64
ADAD2	-0.0931	0.0867
ADAL	0.125	0.00798
ADAM10	-0.581	1.98e-06
ADAM11	-0.122	0.0188
ADAM12	-3.41	3.05e-29
ADAM15	-0.368	0.000115
ADAM17	-0.378	0.0125
ADAM18	0.0969	0.00134
ADAM19	-0.608	9.81e-05
ADAM2	0.0129	0.713
ADAM20	-0.0989	0.00808
ADAM21	-0.0764	0.195
ADAM22	0.238	0.000103
ADAM23	-1.57	1.98e-08
ADAM28	-1.14	8.12e-09
ADAM30	0.0534	0.156
ADAM32	-0.103	0.0344
ADAM33	0.831	2.21e-14
ADAM3A	0.0392	0.206
ADAM3B	0.0405	0.204
ADAM5	0.0421	0.267
ADAM6	-0.121	0.0538
ADAM7	-0.0464	0.166
ADAM8	-0.371	5.06e-07
ADAM9	-1.09	8.66e-06
ADAMDEC1	-2.71	5.35e-14
ADAMTS1	1.86	1.72e-13
ADAMTS10	0.121	0.0749
ADAMTS12	-2.19	5.39e-21
ADAMTS13	-0.0807	0.119
ADAMTS14	-0.176	0.00378
ADAMTS15	0.726	3.33e-05
ADAMTS16	-0.484	4.88e-06
ADAMTS17	-0.251	0.115
ADAMTS18	-0.217	0.0191
ADAMTS19	0.0301	0.253
ADAMTS2	-1.62	2.12e-10
ADAMTS20	0.0457	0.142
ADAMTS3	0.018	0.867
ADAMTS4	0.0718	0.238
ADAMTS5	-0.756	0.000306
ADAMTS6	0.033	0.603
ADAMTS7	-0.165	0.00289
ADAMTS8	4.15	1.93e-46
ADAMTS9	1.32	3.35e-12
ADAMTS9-AS1	0.265	1.69e-05
ADAMTS9-AS2	0.928	3.17e-19
ADAMTSL1	0.219	0.0286
ADAMTSL2	0.579	3.57e-11
ADAMTSL3	1.99	3.21e-22
ADAMTSL4	2.43	6.13e-26
ADAMTSL5	-0.112	0.00287
ADAP1	0.531	3.38e-07
ADAP2	0.56	0.000189
ADAR	-0.366	2.06e-05
ADARB1	2.4	3.52e-25
ADARB2	0.0591	0.227
ADARB2-AS1	0.144	0.00911
ADAT1	-0.466	6.66e-05
ADAT2	0.275	0.00423
ADAT3	-0.232	0.000666
SCAMP4	-0.238	0.0246
ADCK1	-0.174	0.0105
ADCK2	-0.36	0.0013
ADCK5	-0.739	9.06e-11
ADCY1	-0.12	0.16
ADCY10	-0.374	0.000482
ADCY10P1	0.173	0.000776
ADCY2	-0.683	0.00185
ADCY3	-0.13	0.354
ADCY4	1.41	1.25e-27
ADCY5	0.0241	0.661
ADCY6	0.335	0.00031
ADCY7	1.05	1.05e-09
ADCY8	0.071	0.215
ADCY9	1.25	4.48e-16
ADCYAP1	0.801	4.31e-05
ADCYAP1R1	0.182	0.0067
ADD1	0.693	1.07e-12
ADD2	-0.904	1.06e-05
ADD3	-0.354	0.0104
ADD3-AS1	-0.228	1.47e-05
ADGB	0.16	0.00141
ADGRA1	0.00529	0.905
ADGRA2	0.269	0.00437
ADGRA3	-0.943	2.89e-09
ADGRB1	-0.177	0.00679
ADGRB2	-0.431	2.39e-05
ADGRB3	0.675	5.12e-14
ADGRD1	2.86	2.57e-22
ADGRD2	-0.02	0.706
ADGRE1	1.7	5.39e-19
ADGRE2	0.185	0.238
ADGRE3	0.656	5.86e-11
ADGRE5	1.98	4.95e-24
ADGRF1	-0.657	0.0242
ADGRF2	0.0228	0.437
ADGRF3	0.0421	0.32
ADGRF4	-0.553	2.62e-08
ADGRF5	2.61	7.86e-20
ADGRG1	-0.875	5.8e-06
ADGRG2	0.346	0.0193
ADGRG3	0.495	9.32e-05
ADGRG4	0.127	0.000351
ADGRG5	-0.104	0.0465
ADGRG6	1.81	8.58e-12
ADGRG7	-0.0556	0.771
ADGRL1	-0.412	0.000457
ADGRL2	1.35	2.09e-11
ADGRL3	0.864	2.04e-05
ADGRL4	1.5	2.13e-14
ADGRV1	-1.07	1.46e-06
ADH1A	0.47	9.52e-08
ADH1B	6.18	1.57e-35
ADH1C	-0.342	0.301
ADH4	0.0439	0.362
ADH5	0.312	0.0012
ADH6	-0.103	0.394
ADH7	-2.26	7.17e-09
ADHFE1	1.14	2.43e-20
ADI1	-0.0925	0.311
ADIG	-0.202	0.000217
ADIPOQ	0.108	0.0612
ADIPOR1	-0.0345	0.555
ADIPOR2	0.14	0.234
ADIRF	3.26	3.94e-26
ADIRF-AS1	0.227	0.00803
ADK	-0.524	5.2e-07
ADM	-0.736	0.0058
ADM2	-0.172	0.00228
ADM5	0.731	1.2e-12
ADNP	-0.891	8.41e-18
ADNP2	-0.178	0.0481
ADO	-0.253	0.00159
ADORA1	-0.0607	0.254
ADORA2A-AS1	-0.0875	0.0737
ADORA2B	-1.21	1.38e-08
ADORA3	0.375	0.0165
ADPGK	0.148	0.0105
ADPRH	1.31	5.66e-27
ADPRHL1	-0.122	0.0247
ADPRS	0.0676	0.406
ADPRM	0.275	4.34e-05
ADRA1A	0.911	2.81e-14
ADRA1B	0.0416	0.347
ADRA1D	0.0313	0.437
ADRA2A	0.0347	0.87
ADRA2B	0.00762	0.898
ADRA2C	0.0492	0.454
ADRB1	3.75	4.67e-29
ADRB2	2.68	3.59e-26
ADRB3	-0.0869	0.056
ADRM1	-0.51	1.28e-12
ADSL	-0.769	1.03e-11
ADSS2	-0.66	1.59e-11
ADSS1	-0.826	1.83e-05
ADTRP	2.69	2.05e-21
AEBP1	-0.314	0.137
AEBP2	-0.59	1.18e-06
AEN	-0.0507	0.475
TLE5	0.47	8.07e-09
AFAP1	-0.294	1.58e-06
AFAP1-AS1	-1.36	2.83e-05
AFAP1L1	1.43	3.22e-13
AFAP1L2	-0.231	0.158
AFDN	0.729	4.2e-10
AFDN-DT	0.266	1.18e-05
AFF1	0.543	9.17e-08
AFF2	-0.176	0.00609
AFF3	3.25	2.5e-28
AFF4	1.2	6.94e-12
AFG3L1P	0.717	2.4e-10
AFG3L2	-0.598	5.35e-10
AFM	-0.115	0.000442
AFMID	-0.00937	0.893
AFP	-0.145	7.22e-05
AFTPH	-0.281	1.27e-05
AGA	-0.637	2.58e-05
AGAP1	-0.465	0.000386
AGAP11	0.26	2.89e-07
AGAP2	-0.0637	0.229
AGAP2-AS1	-1	3.71e-14
AGAP3	0.342	1.24e-07
AGAP9	0.245	6.68e-08
AGBL1	0.619	1.67e-17
AGBL2	0.327	0.00806
AGBL3	0.112	4.81e-05
AGBL4	-0.00704	0.847
AGBL5	-0.44	3.99e-08
AGER	5.7	2.76e-47
AGFG1	0.735	8.13e-08
AGFG2	0.291	0.00188
AGGF1	-0.282	0.00056
AGK	-0.663	2.69e-16
AGL	-0.27	0.0244
AGMAT	-1.01	1.24e-10
AGO1	-0.378	0.000204
AGO3	0.255	0.00095
AGO4	0.619	1.71e-10
AGPAT1	-0.106	0.195
AGPAT2	0.378	0.00389
AGPAT3	0.72	1.89e-08
AGPAT4	0.448	2.58e-06
AGPAT4-IT1	0.343	9.39e-09
AGPAT5	-0.808	1.69e-10
AGPS	0.761	2.75e-08
AGR2	-0.178	0.585
AGR3	3.7	1.47e-14
AGRN	-0.405	0.000777
AGRP	0.537	7.45e-14
AGT	-0.417	0.0926
AGTPBP1	1.3	2.42e-23
AGTR1	2.51	8.61e-22
AGTR2	2.56	6.23e-14
AGTRAP	-0.0481	0.606
AGXT	-0.0445	0.179
AGXT2	-0.0604	0.0904
AHCTF1	-0.729	4.91e-11
AHCY	-1.41	6.25e-21
AHCYL1	0.271	5.75e-06
AHCYL2	1.34	1.81e-13
AHDC1	-0.655	4.49e-08
AHI1	1.09	1.34e-15
AHNAK	1.07	1.37e-12
AHNAK2	-2.24	6.27e-14
AHR	0.561	4.38e-05
PDCD6-AHRR	0.118	0.266
AHSA1	-0.41	1.87e-07
USP34	1.26	3.29e-12
AHSG	-0.196	0.000298
AHSP	0.186	0.000812
AICDA	0.0934	0.032
AIDA	0.215	0.000198
AIF1	1.36	4.19e-13
AIF1L	1.5	5.17e-12
AIFM1	-0.961	2.07e-14
AIFM2	-1.04	7.7e-11
AIFM3	-0.175	0.00245
AIG1	0.151	0.188
CRYBG1	0.114	0.51
CRYBG2	-1	1.33e-10
AIM2	-1.11	2.93e-05
AIMP1	0.951	2.55e-12
AIMP2	-0.962	2.63e-22
AIP	0.238	0.000219
AIPL1	-0.0875	0.0255
AIRE	-0.0154	0.745
AJAP1	-0.0663	0.178
AJUBA	-0.614	0.00207
AK1	1.94	2.87e-24
AK2	-0.938	1.81e-19
AK3	0.311	0.000629
AK5	-0.0885	0.0307
AK6	0.307	0.000144
TAF9	-0.168	0.0626
AK7	0.402	0.00372
AK8	-0.093	0.0479
AK9	0.53	6.68e-09
AKAIN1	0.0571	0.0333
AKAP1	-0.755	7.08e-07
AKAP10	0.497	0.000204
AKAP11	0.277	2.08e-05
AKAP12	2.11	2.16e-17
AKAP13	1.25	1.34e-23
AKAP14	0.637	0.00137
AKAP17A	0.421	6.35e-06
AKAP3	0.107	0.0161
AKAP4	0.00959	0.788
AKAP5	0.268	6.85e-08
AKAP6	0.131	0.000559
AKAP7	0.996	2.58e-12
AKAP8	-0.492	1.09e-06
AKAP8L	0.191	0.000203
AKAP9	0.271	0.00793
AKIP1	-0.36	2.97e-05
AKIRIN1	-0.191	0.158
AKIRIN2	0.507	4.69e-11
AKNA	1.06	1.72e-13
AKNAD1	0.103	0.00226
AKR1A1	-0.215	0.0159
AKR1B1	0.0354	0.808
AKR1B10	-5.16	7.41e-18
AKR1C1	-1.86	1.76e-07
AKR1C3	-1.18	0.00258
AKR1C4	-0.294	0.00274
AKR1C6P	-0.0412	0.305
AKR1D1	0.026	0.301
AKR1E2	-0.302	2.71e-05
AKR7A2	-0.359	0.00015
AKR7A3	-0.516	1.69e-06
AKT1	0.267	0.000532
AKT1S1	-0.782	9.41e-13
AKT2	-0.43	3.16e-08
AKT3	0.874	3.59e-09
AKTIP	0.567	2.45e-10
ALAD	-0.652	6.56e-09
ALAS1	0.625	3.51e-09
ALAS2	0.348	0.00746
ALB	-0.119	0.214
ALCAM	0.491	0.00112
ALDH16A1	-0.426	1.34e-05
ALDH18A1	-1.54	1.19e-24
ALDH1A1	0.774	0.00416
ALDH1A3	-0.704	0.00186
ALDH1B1	-0.662	5.03e-09
ALDH1L1	-0.277	0.00885
ALDH1L1-AS2	-0.0626	0.215
ALDH1L2	-1.17	6.16e-13
ALDH2	1.63	1.49e-19
ALDH3A1	-1.95	5.78e-07
ALDH3A2	0.655	2.99e-05
ALDH3B1	1.99	4.81e-19
ALDH3B2	-2.17	8.52e-15
ALDH4A1	-0.624	1.27e-06
ALDH5A1	0.323	0.057
ALDH6A1	0.57	6.91e-05
ALDH7A1	0.0737	0.695
ALDH8A1	-0.178	0.414
ALDH9A1	0.251	0.000356
ALDOA	-1.18	5.72e-20
ALDOAP2	0.00877	0.798
ALDOB	-0.236	0.00118
ALDOC	-1.38	4.66e-17
ALG1	-0.652	1.33e-15
ALG10	-1.1	4.83e-14
ALG10B	-0.341	1.32e-07
UTP14C	0.244	0.00617
ALG12	-0.238	0.00036
ALG13	0.81	5.19e-08
ALG14	-0.0286	0.769
ALG2	0.267	0.00136
ALG3	-1.4	2.26e-26
ALG5	0.124	0.073
ALG6	-0.88	1.48e-15
ALG8	-0.918	2.06e-17
ALG9	-0.0769	0.336
ALK	0.0562	0.463
ALKBH1	-0.232	8.18e-06
ALKBH2	-0.478	3.03e-06
ALKBH3	-0.0884	0.23
ALKBH3-AS1	-0.0684	0.037
ALKBH4	-0.462	1.5e-09
ALKBH5	-0.212	3.18e-05
ALKBH6	-0.206	0.0442
ALKBH7	-0.0775	0.0315
ALKBH8	0.184	0.0189
ALLC	-0.0485	0.195
ALMS1	-0.495	4.26e-05
ALMS1-IT1	-0.426	1.41e-06
ALMS1P1	-0.0493	0.173
ALOX12	-0.766	6.15e-06
ALOX12-AS1	0.196	0.00203
ALOX12B	-0.47	0.00113
ALOX12P2	-0.307	9.56e-06
ALOX15	-0.104	0.395
ALOX15B	2.17	5.25e-16
ALOX5	3.02	1.3e-23
ALOX5AP	2.15	5.87e-18
ALOXE3	-0.203	0.00804
ALPI	-0.0132	0.731
ALPK1	0.332	0.000417
ALPK2	-0.458	3.45e-08
ALPK3	0.678	6.41e-07
ALPL	1.54	6.43e-09
ALPP	0.251	0.00176
ALPG	-0.0988	0.058
ALS2	0.132	0.0679
ALS2CL	0.93	3.56e-12
C2CD6	-0.119	0.00724
FLACC1	0.182	0.000335
ALX1	-0.687	0.000643
ALX3	-0.2	5.02e-05
ALX4	0.0808	0.159
ALYREF	-1.42	5.45e-22
AMBN	-0.071	0.388
AMBP	-0.288	0.117
AMBRA1	-0.0558	0.204
AMD1	0.249	0.00739
AMDHD1	0.0891	0.396
AMELX	0.00252	0.933
AMELY	-0.0654	0.0558
AMER1	-0.0674	0.103
AMER2	0.23	0.0105
AMER3	0.111	0.0258
AMFR	-0.285	5.59e-05
AMHR2	0.00561	0.914
AMIGO1	0.887	3.27e-17
AMIGO2	0.766	0.00223
GMPPB	-0.238	0.0019
AMMECR1	-1.64	1.24e-16
AMMECR1L	-0.0134	0.867
AMN	-0.222	9.31e-05
AMN1	0.31	0.00704
AMOT	-0.00985	0.807
AMOTL1	0.655	4.25e-07
AMOTL2	0.971	2.44e-11
AMPD1	0.376	0.000864
AMPD2	-0.0179	0.838
AMPD3	-0.605	4.65e-05
AMPH	-0.63	0.000697
AMT	1.05	8e-15
AMZ1	-0.153	0.00793
AMZ2	-0.595	4.4e-12
AMZ2P1	-0.103	0.251
ANAPC10	0.507	2.22e-12
ANAPC11	-0.632	9.1e-16
ANAPC13	0.132	0.0428
ANAPC15	0.199	0.0439
ANAPC16	1.05	1.47e-19
ANAPC2	0.27	0.000115
ANAPC4	0.436	3.47e-07
ANAPC5	-0.759	2.13e-10
ANAPC7	-0.571	2.35e-12
ANG	1.32	1.03e-14
ANGEL1	-0.0883	0.213
ANGEL2	-0.5	7.4e-07
ANGPT1	2.64	1.18e-24
ANGPT2	-0.34	0.173
ANGPT4	0.0732	0.252
ANGPTL1	1.49	1.74e-14
ANGPTL2	-0.625	0.000673
ANGPTL3	-0.0221	0.447
ANGPTL4	-0.47	0.0122
ANGPTL6	-0.0792	0.0903
ANGPTL7	0.145	0.000498
ANGPTL8	-0.00991	0.848
ANHX	-0.0771	0.186
ANK1	0.0793	0.14
ANK2	2.28	2.89e-20
ANK3	1.1	3.35e-16
ANKAR	0.0495	0.136
ANKDD1A	0.624	6.61e-10
ANKEF1	-0.397	0.000277
ANKFN1	-0.0478	0.221
ANKFY1	0.386	0.000138
ANKH	-1	1.07e-08
ANKHD1	-0.241	0.0163
EIF4EBP3	0.79	3.57e-11
ANKIB1	-0.641	1.13e-14
ANKLE1	-0.275	0.00155
ANKLE2	-0.319	0.000791
ANKMY1	0.227	4.33e-05
ANKMY2	0.00926	0.914
ANKRA2	-0.0364	0.718
ANKRD1	0.516	1.75e-09
ANKRD10	0.529	0.00484
ANKRD11	-0.275	4.92e-05
ANKRD12	0.724	6.45e-10
ANKRD13A	0.711	1.2e-12
ANKRD13B	-0.473	1.91e-08
ANKRD13C	0.326	5.06e-07
ANKRD13D	0.0745	0.104
ANKRD16	-0.77	3.62e-11
ANKRD17	-0.468	1.27e-06
ANKRD18A	-0.117	0.000143
ANKRD18B	0.0193	0.704
ANKRD19P	-0.0255	0.683
ANKRD2	-0.0444	0.392
ANKRD20A11P	0.329	7.88e-06
ANKRD20A1	0.0641	0.0226
ANKRD20A5P	0.176	0.00955
ANKRD22	-2.33	9.91e-18
ANKRD23	-0.0185	0.719
ANKRD24	0.0393	0.367
ANKRD26	-0.445	1.67e-07
ANKRD26P3	-0.168	0.000831
ANKRD27	0.188	0.0174
ANKRD28	1.75	2.98e-16
ANKRD29	3.5	7.48e-38
ANKRD30A	0.0138	0.703
ANKRD30B	0.067	0.0346
ANKRD30BP2	0.0645	0.0663
ANKRD30BP3	0.0343	0.175
ANKRD31	-0.0295	0.242
ANKRD33	-0.0751	0.0394
ANKRD33B	0.341	0.00446
ANKRD34A	-0.185	0.000306
ANKRD34C	-0.00141	0.961
ANKRD35	0.199	0.0363
ANKRD36	0.191	0.207
ANKRD36B	0.184	0.355
ANKRD36BP2	-0.345	0.0141
ANKRD36C	-0.00189	0.954
ANKRD37	0.432	0.0156
ANKRD39	-0.687	4.29e-13
ANKRD40	0.619	4.55e-15
ANKRD42	0.106	0.00968
ANKRD44	1.91	1.47e-18
ANKRD44-IT1	0.0691	0.0289
ANKRD45	0.0728	0.262
ANKRD49	0.122	0.174
ANKRD50	-0.282	0.00213
ANKRD52	-0.229	2.42e-05
ANKRD53	0.0474	0.31
ANKRD54	-0.184	0.00887
ANKRD55	0.159	0.000199
ANKRD6	0.547	2.9e-05
ANKRD60	-0.0281	0.5
ANKRD65	-0.106	0.378
ANKRD7	-0.0248	0.49
ANKRD9	0.27	0.0323
ANKS1A	1.01	5.48e-14
ANKS1B	0.236	7.19e-08
ANKS3	-0.0434	0.472
ANKS4B	-0.01	0.832
ANKS6	-0.261	0.00136
ANKUB1	-0.0318	0.461
ANKZF1	-0.19	0.00135
ANLN	-4.21	1.46e-43
ANO1	-0.325	0.00115
ANO10	0.00353	0.961
ANO2	0.288	1.45e-09
ANO3	0.206	0.00262
ANO4	-0.0502	0.26
ANO5	0.401	0.000374
ANO6	0.787	7.1e-12
ANO7	-0.179	0.000189
ANO8	-0.22	0.00284
ANO9	-0.158	0.198
ANOS1	2.59	8.81e-23
ANP32A	-0.547	3.33e-05
ANP32A-IT1	0.0351	0.233
ANP32B	-0.0637	0.342
ANP32CP	-0.0143	0.673
ANP32D	-0.0276	0.392
ANP32E	-2	5.28e-32
ANPEP	1.58	3.2e-10
ANTXR1	-1.21	1.19e-11
ANTXR2	0.574	0.000399
ANXA1	2.06	7.74e-13
ANXA10	-0.442	0.000704
ANXA11	1.27	7.74e-22
ANXA13	-0.0802	0.0987
ANXA2	-0.131	0.0134
ANXA2P1	-0.00969	0.861
ANXA2P2	0.0349	0.636
ANXA2P3	0.0653	0.283
ANXA2R	0.289	0.000606
ANXA3	2.75	3.42e-20
ANXA4	1.16	3.81e-19
ANXA5	0.72	9.28e-08
ANXA6	0.654	4.02e-06
ANXA7	0.175	0.00156
ANXA8L1	0.113	0.754
ANXA9	-0.25	0.00276
AOAH	0.303	0.0463
AOC1	-0.803	0.00105
AOC2	0.203	0.00216
AOC3	2.96	1.06e-23
AOC4P	0.0251	0.528
AOX1	2.14	6.31e-24
AOX3P-AOX2P	-0.0148	0.741
AP1AR	-0.171	4.47e-05
AP1B1	-0.36	3.24e-07
AP1G1	-0.596	1.33e-11
AP1M1	0.375	2.85e-07
AP1M2	-0.45	0.00151
AP1S1	-0.856	6.84e-14
AP1S2	1.47	4.94e-19
AP1S3	-0.562	0.00366
AP2A1	-0.468	0.000248
AP2A2	0.425	9.36e-09
AP2B1	-0.856	2.96e-12
AP2M1	-0.716	6.73e-10
AP2S1	-0.484	1.69e-07
AP3B1	-0.21	0.000285
AP3B2	-0.293	0.00037
AP3D1	-0.503	1.13e-05
AP3M1	0.55	1.41e-09
AP3M2	-0.268	0.0161
AP3S1	-0.0494	0.451
AP4B1	0.342	0.00034
AP4E1	0.0752	0.0475
AP4M1	-0.156	0.0461
AP4S1	0.394	5.37e-06
AP5B1	0.167	0.0307
AP5M1	0.784	3.2e-15
AP5S1	-0.184	0.00805
APAF1	0.191	0.0278
APBA1	-0.132	0.135
APBA2	-0.601	8e-08
APBA3	-0.195	0.00208
APBB1	0.595	9.46e-15
APBB1IP	1.41	5.08e-14
APBB2	0.846	2.96e-08
APC	0.266	1.39e-05
APC2	-0.0351	0.412
APCDD1	0.262	0.188
APCDD1L	-0.435	5.18e-05
