ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title	Retained.original
219577_s_at	0.199	0.158	1.423105	-6.503167	0.1543686	ABCA7	ATP binding cassette subfamily A member 7	ABCA7	ATP binding cassette subfamily A member 7	FALSE
204719_at	9.02e-21	2.2e-22	12.571786	40.297328	4.4096528	ABCA8	ATP binding cassette subfamily A member 8	ABCA8	ATP binding cassette subfamily A member 8	FALSE
242541_at	2.31e-31	1.08e-33	18.216867	66.231436	1.5858194	ABCA9	ATP binding cassette subfamily A member 9	ABCA9	ATP binding cassette subfamily A member 9	FALSE
209993_at	1.53e-25	1.72e-27	15.01952	52.016232	1.8459924	ABCB1	ATP binding cassette subfamily B member 1	ABCB1	ATP binding cassette subfamily B member 1	FALSE
223320_s_at	0.412	0.358	-0.923588	-7.085039	-0.1240196	ABCB10	ATP binding cassette subfamily B member 10	ABCB10	ATP binding cassette subfamily B member 10	FALSE
207819_s_at	0.00119	0.000598	-3.544059	-1.553225	-0.7013912	ABCB4	ATP binding cassette subfamily B member 4	ABCB4	ATP binding cassette subfamily B member 4	FALSE
203192_at	1.61e-13	1.45e-14	-8.99679	22.387493	-1.1557272	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	FALSE
209620_s_at	0.198	0.157	-1.426683	-6.498136	-0.1029593	ABCB7	ATP binding cassette subfamily B member 7	ABCB7	ATP binding cassette subfamily B member 7	FALSE
206317_s_at	0.0362	0.0242	-2.287663	-4.943989	-0.1770412	ABCB8	ATP binding cassette subfamily B member 8	ABCB8	ATP binding cassette subfamily B member 8	FALSE
214209_s_at	5.77e-08	1.39e-08	-6.175476	8.768913	-0.6437111	ABCB9	ATP binding cassette subfamily B member 9	ABCB9	ATP binding cassette subfamily B member 9	FALSE
202804_at	0.0356	0.0239	-2.294052	-4.92998	-0.288256	ABCC1	ATP binding cassette subfamily C member 1	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	FALSE
213485_s_at	3.13e-06	1.02e-06	-5.206284	4.572116	-0.5735739	ABCC10	ATP binding cassette subfamily C member 10	ABCC10	ATP binding cassette subfamily C member 10	FALSE
206155_at	0.00341	0.00186	-3.195363	-2.616257	-0.6181361	ABCC2	ATP binding cassette subfamily C member 2	ABCC2	ATP binding cassette subfamily C member 2	FALSE
208161_s_at	0.0139	0.00856	-2.681646	-4.015516	-1.0566535	ABCC3	ATP binding cassette subfamily C member 3	ABCC3	ATP binding cassette subfamily C member 3	FALSE
1554918_a_at	0.36	0.307	1.026469	-6.984978	0.1791073	ABCC4	ATP binding cassette subfamily C member 4	ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)	FALSE
1558460_at	4.12e-06	1.36e-06	-5.136717	4.285896	-0.7974775	ABCC5	ATP binding cassette subfamily C member 5	ABCC5	ATP binding cassette subfamily C member 5	FALSE
205142_x_at	0.745	0.703	-0.381859	-7.439339	-0.0426963	ABCD1	ATP binding cassette subfamily D member 1	ABCD1	ATP binding cassette subfamily D member 1	FALSE
202850_at	0.66	0.61	0.510985	-7.381411	0.0626655	ABCD3	ATP binding cassette subfamily D member 3	ABCD3	ATP binding cassette subfamily D member 3	FALSE
203981_s_at	4.12e-10	6.8e-11	7.298048	14.010067	0.507609	ABCD4	ATP binding cassette subfamily D member 4	ABCD4	ATP binding cassette subfamily D member 4	FALSE
201872_s_at	8.73e-07	2.58e-07	-5.524684	5.909594	-0.7744211	ABCE1	ATP binding cassette subfamily E member 1	ABCE1	ATP binding cassette subfamily E member 1	FALSE
200045_at	0.0351	0.0234	-2.301392	-4.913845	-0.2390471	ABCF1	ATP binding cassette subfamily F member 1	ABCF1	ATP binding cassette subfamily F member 1	FALSE
209247_s_at	3.08e-07	8.4e-08	-5.778595	7.006386	-0.4710268	ABCF2	ATP binding cassette subfamily F member 2	ABCF2	ATP binding cassette subfamily F member 2	FALSE
202394_s_at	0.0787	0.0567	-1.927814	-5.675251	-0.2756919	ABCF3	ATP binding cassette subfamily F member 3	ABCF3	ATP binding cassette subfamily F member 3	FALSE
204567_s_at	1.82e-05	6.74e-06	4.74993	2.737003	0.8936682	ABCG1	ATP binding cassette subfamily G member 1	ABCG1	ATP binding cassette subfamily G member 1	FALSE
209735_at	3.84e-16	2.08e-17	10.287736	28.892401	1.7731019	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	FALSE
222697_s_at	0.122	0.0916	-1.703343	-6.072577	-0.2628591	ABHD10	abhydrolase domain containing 10	ABHD10	abhydrolase domain containing 10, depalmitoylase	FALSE
221927_s_at	0.000329	0.000151	-3.938613	-0.248583	-0.5876025	ABHD11	abhydrolase domain containing 11	ABHD11	abhydrolase domain containing 11	FALSE
224742_at	0.177	0.139	-1.492989	-6.402687	-0.1300526	ABHD12	abhydrolase domain containing 12	ABHD12	abhydrolase domain containing 12, lysophospholipase	FALSE
235348_at	4.56e-07	1.29e-07	5.682783	6.58953	0.5914138	ABHD13	abhydrolase domain containing 13	ABHD13	abhydrolase domain containing 13	FALSE
202740_at	3.1e-06	1e-06	-5.209354	4.584799	-0.6213893	ABHD14A-ACY1///ACY1	ABHD14A-ACY1 readthrough///aminoacylase 1	ACY1	aminoacylase 1	FALSE
210006_at	0.0777	0.0558	1.934602	-5.662522	0.2940143	ABHD14A///ACY1	abhydrolase domain containing 14A///aminoacylase 1	ABHD14A	abhydrolase domain containing 14A	FALSE
224821_at	0.000762	0.000371	3.683996	-1.102459	0.4417792	ABHD14B	abhydrolase domain containing 14B	ABHD14B	abhydrolase domain containing 14B	FALSE
226796_at	0.0155	0.00966	2.638126	-4.124427	0.2250293	ABHD15	abhydrolase domain containing 15	ABHD15	abhydrolase domain containing 15	FALSE
230221_at	1.68e-05	6.16e-06	-4.772059	2.823593	-0.4609211	ABHD16A	abhydrolase domain containing 16A	ABHD16A	abhydrolase domain containing 16A, phospholipase	FALSE
221267_s_at	2.51e-18	9.24e-20	11.359661	34.282017	0.7499039	ABHD17A	abhydrolase domain containing 17A	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	FALSE
220285_at	0.781	0.743	0.328188	-7.458502	0.0387868	ABHD17B	abhydrolase domain containing 17B	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	FALSE
225436_at	0.131	0.099	-1.664971	-6.135867	-0.3871023	ABHD17C	abhydrolase domain containing 17C	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	FALSE
236240_at	0.0676	0.0479	-2.002849	-5.532244	-0.1105227	ABHD18	abhydrolase domain containing 18	ABHD18	abhydrolase domain containing 18	FALSE
63825_at	7.56e-07	2.21e-07	5.560029	6.060725	0.7399871	ABHD2	abhydrolase domain containing 2	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	FALSE
213017_at	0.000239	0.000107	-4.032323	0.076245	-0.3541808	ABHD3	abhydrolase domain containing 3	ABHD3	abhydrolase domain containing 3, phospholipase	FALSE
218581_at	0.167	0.13	1.525295	-6.35468	0.1177959	ABHD4	abhydrolase domain containing 4	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	FALSE
213805_at	3.95e-11	5.4e-12	7.814235	16.514789	1.145631	ABHD5	abhydrolase domain containing 5	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	FALSE
221679_s_at	2.05e-18	7.42e-20	11.40348	34.50125	1.4959526	ABHD6	abhydrolase domain containing 6	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	FALSE
219101_x_at	0.364	0.311	1.018203	-6.9934	0.0794917	ABHD8	abhydrolase domain containing 8	ABHD8	abhydrolase domain containing 8	FALSE
209027_s_at	0.222	0.179	-1.35362	-6.598482	-0.1405278	ABI1	abl interactor 1	ABI1	abl interactor 1	FALSE
225098_at	7.67e-09	1.58e-09	6.641751	10.905185	0.9091087	ABI2	abl-interactor 2	ABI2	abl interactor 2	FALSE
223615_at	0.0202	0.0128	2.533224	-4.380546	0.2308825	ABI3	ABI family member 3	ABI3	ABI family member 3	FALSE
223395_at	1.63e-15	9.85e-17	9.98094	27.344495	3.100415	ABI3BP	ABI family member 3 binding protein	ABI3BP	ABI family member 3 binding protein	FALSE
202123_s_at	0.00106	0.000532	3.579048	-1.441782	0.2834422	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	FALSE
226893_at	0.245	0.2	-1.290426	-6.681172	-0.1305967	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	FALSE
200965_s_at	8.48e-10	1.47e-10	7.138414	13.245722	1.3678132	ABLIM1	actin binding LIM protein 1	ABLIM1	actin binding LIM protein 1	FALSE
236087_at	4.46e-05	1.76e-05	-4.508382	1.808751	-0.2737938	ABLIM2	actin binding LIM protein family member 2	ABLIM2	actin binding LIM protein family member 2	FALSE
205730_s_at	1.63e-10	2.5e-11	7.503193	14.999818	1.2591607	ABLIM3	actin binding LIM protein family member 3	ABLIM3	actin binding LIM protein family member 3	FALSE
216929_x_at	0.00646	0.00373	-2.969163	-3.257726	-0.449924	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	FALSE
214671_s_at	3.64e-07	1e-07	5.738354	6.830877	0.6651124	ABR	active BCR-related	ABR	ABR activator of RhoGEF and GTPase	FALSE
223361_at	4.53e-12	5.26e-13	-8.282212	18.821078	-1.09568	ABRACL	ABRA C-terminal like	ABRACL	ABRA C-terminal like	FALSE
218405_at	0.000332	0.000152	-3.936002	-0.257553	-0.4412002	ABT1	activator of basal transcription 1	ABT1	activator of basal transcription 1	FALSE
229164_s_at	8.19e-18	3.3e-19	11.10673	33.014514	0.8494025	ABTB1	ankyrin repeat and BTB domain containing 1	ABTB1	ankyrin repeat and BTB domain containing 1	FALSE
213497_at	0.26	0.213	-1.252022	-6.729555	-0.0969825	ABTB2	ankyrin repeat and BTB domain containing 2	ABTB2	ankyrin repeat and BTB domain containing 2	FALSE
214274_s_at	1.67e-06	5.18e-07	5.364075	5.22943	0.5671208	ACAA1	acetyl-CoA acyltransferase 1	ACAA1	acetyl-CoA acyltransferase 1	FALSE
202003_s_at	0.000484	0.000228	3.822935	-0.6418	0.4860229	ACAA2	acetyl-CoA acyltransferase 2	ACAA2	acetyl-CoA acyltransferase 2	FALSE
214358_at	0.0302	0.0199	-2.365536	-4.770858	-0.3513489	ACACA	acetyl-CoA carboxylase alpha	ACACA	acetyl-CoA carboxylase alpha	FALSE
49452_at	1.21e-19	3.57e-21	12.010106	37.523645	1.7903005	ACACB	acetyl-CoA carboxylase beta	ACACB	acetyl-CoA carboxylase beta	FALSE
219986_s_at	0.0953	0.0699	-1.832017	-5.850442	-0.0843083	ACAD10	acyl-CoA dehydrogenase family member 10	ACAD10	acyl-CoA dehydrogenase family member 10	FALSE
221669_s_at	0.537	0.483	-0.704235	-7.263617	-0.1363977	ACAD8	acyl-CoA dehydrogenase family member 8	ACAD8	acyl-CoA dehydrogenase family member 8	FALSE
224160_s_at	0.101	0.0748	-1.800095	-5.906966	-0.1835567	ACAD9	acyl-CoA dehydrogenase family member 9	ACAD9	acyl-CoA dehydrogenase family member 9	FALSE
206069_s_at	7.13e-32	3.06e-34	18.513762	67.484795	3.3615773	ACADL	acyl-CoA dehydrogenase, long chain	ACADL	acyl-CoA dehydrogenase long chain	FALSE
202502_at	0.263	0.216	-1.244918	-6.738349	-0.1230202	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	ACADM	acyl-CoA dehydrogenase medium chain	FALSE
202366_at	0.615	0.564	0.579503	-7.343904	0.0479229	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	ACADS	acyl-CoA dehydrogenase short chain	FALSE
226030_at	0.00345	0.00189	3.19099	-2.629023	0.8588196	ACADSB	acyl-CoA dehydrogenase, short/branched chain	ACADSB	acyl-CoA dehydrogenase short/branched chain	FALSE
200710_at	5.86e-07	1.68e-07	5.621935	6.326653	0.5295286	ACADVL	acyl-CoA dehydrogenase, very long chain	ACADVL	acyl-CoA dehydrogenase very long chain	FALSE
205679_x_at	9.1e-06	3.2e-06	-4.932586	3.45924	-0.3472166	ACAN	aggrecan	ACAN	aggrecan	FALSE
205213_at	0.00864	0.00511	2.862341	-3.546935	0.4898383	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	FALSE
1552472_a_at	0.0223	0.0143	-2.493244	-4.475754	-0.4317241	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	FALSE
225529_at	0.00086	0.000423	3.645804	-1.226816	0.4239438	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	FALSE
205412_at	0.00413	0.00229	3.128949	-2.808626	0.4618577	ACAT1	acetyl-CoA acetyltransferase 1	ACAT1	acetyl-CoA acetyltransferase 1	FALSE
209608_s_at	0.935	0.921	-0.098833	-7.507783	-0.0198182	ACAT2	acetyl-CoA acetyltransferase 2	ACAT2	acetyl-CoA acetyltransferase 2	FALSE
202323_s_at	0.0025	0.00134	-3.299703	-2.307404	-0.7053881	ACBD3	acyl-CoA binding domain containing 3	ACBD3	acyl-CoA binding domain containing 3	FALSE
219413_at	1.29e-06	3.94e-07	5.42756	5.496975	0.3432268	ACBD4	acyl-CoA binding domain containing 4	ACBD4	acyl-CoA binding domain containing 4	FALSE
1568877_a_at	0.000283	0.000129	-3.982892	-0.09579	-0.4970755	ACBD5	acyl-CoA binding domain containing 5	ACBD5	acyl-CoA binding domain containing 5	FALSE
225317_at	1.06e-09	1.86e-10	-7.08994	13.014704	-0.6229769	ACBD6	acyl-CoA binding domain containing 6	ACBD6	acyl-CoA binding domain containing 6	FALSE
228264_at	1.27e-13	1.12e-14	9.046703	22.63803	1.0904822	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	FALSE
227463_at	2.58e-21	5.69e-23	12.846897	41.645825	1.9774585	ACE	angiotensin I converting enzyme	ACE	angiotensin I converting enzyme	FALSE
222257_s_at	0.0201	0.0128	-2.535358	-4.375429	-0.43397	ACE2	angiotensin I converting enzyme 2	ACE2	angiotensin converting enzyme 2	FALSE
227776_at	2.62e-08	5.91e-09	6.360566	9.609057	0.7287681	ACER3	alkaline ceramidase 3	ACER3	alkaline ceramidase 3	FALSE
205378_s_at	0.00145	0.000745	-3.478549	-1.759583	-0.4961329	ACHE	acetylcholinesterase (Cartwright blood group)	ACHE	acetylcholinesterase (Yt blood group)	FALSE
201715_s_at	0.175	0.137	1.499715	-6.392773	0.1251425	ACIN1	apoptotic chromatin condensation inducer 1	ACIN1	apoptotic chromatin condensation inducer 1	FALSE
208335_s_at	2.47e-13	2.3e-14	8.904631	21.92529	2.7077604	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FALSE
232746_at	1.29e-06	3.92e-07	5.428587	5.501318	0.9976256	ACKR3	atypical chemokine receptor 3	ACKR3	atypical chemokine receptor 3	FALSE
201127_s_at	1.33e-06	4.04e-07	-5.421644	5.471969	-0.50777	ACLY	ATP citrate lyase	ACLY	ATP citrate lyase	FALSE
230602_at	0.203	0.162	-1.409983	-6.521518	-0.3216996	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	FALSE
207071_s_at	0.499	0.444	0.768748	-7.216031	0.0990605	ACO1	aconitase 1	ACO1	aconitase 1	FALSE
200793_s_at	0.0193	0.0122	2.553026	-4.332898	0.1962357	ACO2	aconitase 2	ACO2	aconitase 2	FALSE
214763_at	3.21e-08	7.4e-09	-6.312135	9.38818	-0.6952263	ACOT11	acyl-CoA thioesterase 11	ACOT11	acyl-CoA thioesterase 11	FALSE
204565_at	1.8e-06	5.61e-07	-5.345512	5.15153	-0.8855984	ACOT13	acyl-CoA thioesterase 13	ACOT13	acyl-CoA thioesterase 13	FALSE
229534_at	0.913	0.895	-0.132615	-7.503847	-0.019212	ACOT4	acyl-CoA thioesterase 4	ACOT4	acyl-CoA thioesterase 4	FALSE
215728_s_at	9.6e-06	3.39e-06	-4.918459	3.40278	-0.5062923	ACOT7	acyl-CoA thioesterase 7	ACOT7	acyl-CoA thioesterase 7	FALSE
236514_at	5.04e-05	2.01e-05	-4.474863	1.682455	-0.5207327	ACOT8	acyl-CoA thioesterase 8	ACOT8	acyl-CoA thioesterase 8	FALSE
221641_s_at	0.0625	0.044	2.039493	-5.460572	0.161857	ACOT9	acyl-CoA thioesterase 9	ACOT9	acyl-CoA thioesterase 9	FALSE
227962_at	0.000725	0.000352	3.698949	-1.053503	0.4228251	ACOX1	acyl-CoA oxidase 1	ACOX1	acyl-CoA oxidase 1	FALSE
205364_at	0.0247	0.0159	2.451565	-4.573579	0.5289133	ACOX2	acyl-CoA oxidase 2	ACOX2	acyl-CoA oxidase 2	FALSE
204241_at	9.89e-06	3.5e-06	4.910718	3.371885	0.5006072	ACOX3	acyl-CoA oxidase 3, pristanoyl	ACOX3	acyl-CoA oxidase 3, pristanoyl	FALSE
240189_at	2.07e-20	5.43e-22	12.389298	39.399076	2.0625948	ACOXL	acyl-CoA oxidase-like	ACOXL	acyl-CoA oxidase like	FALSE
201629_s_at	8.92e-13	9.12e-14	-8.631469	20.558791	-1.2206393	ACP1	acid phosphatase 1, soluble	ACP1	acid phosphatase 1	FALSE
202767_at	0.108	0.08	-1.76875	-5.961562	-0.217799	ACP2	acid phosphatase 2, lysosomal	ACP2	acid phosphatase 2, lysosomal	FALSE
204638_at	6.67e-13	6.7e-14	8.692761	20.864909	1.4033331	ACP5	acid phosphatase 5, tartrate resistant	ACP5	acid phosphatase 5, tartrate resistant	FALSE
218795_at	0.000237	0.000106	-4.034938	0.085387	-0.5712842	ACP6	acid phosphatase 6, lysophosphatidic	ACP6	acid phosphatase 6, lysophosphatidic	FALSE
237030_at	0.00308	0.00167	-3.230504	-2.513138	-0.4545276	ACPP	acid phosphatase, prostate	ACP3	acid phosphatase 3	FALSE
241715_x_at	0.0821	0.0594	-1.907033	-5.71396	-0.0835596	ACPT	acid phosphatase, testicular	ACP4	acid phosphatase 4	FALSE
223717_s_at	4.67e-18	1.79e-19	11.227936	33.622329	0.8807906	ACRBP	acrosin binding protein	ACRBP	acrosin binding protein	FALSE
238825_at	6.18e-05	2.5e-05	4.418304	1.470783	0.5966147	ACRC	acidic repeat containing	GCNA	germ cell nuclear acidic peptidase	FALSE
218844_at	0.00416	0.00231	3.126488	-2.815691	0.4969497	ACSF2	acyl-CoA synthetase family member 2	ACSF2	acyl-CoA synthetase family member 2	FALSE
227464_at	0.00167	0.000866	-3.433139	-1.900849	-0.1938413	ACSF3	acyl-CoA synthetase family member 3	ACSF3	acyl-CoA synthetase family member 3	FALSE
207275_s_at	2.52e-08	5.69e-09	6.368988	9.647538	1.0785182	ACSL1	acyl-CoA synthetase long-chain family member 1	ACSL1	acyl-CoA synthetase long chain family member 1	FALSE
201662_s_at	2.37e-07	6.35e-08	-5.840912	7.279385	-0.6484295	ACSL3	acyl-CoA synthetase long-chain family member 3	ACSL3	acyl-CoA synthetase long chain family member 3	FALSE
1557418_at	1.04e-18	3.56e-20	11.549624	35.231611	1.4975186	ACSL4	acyl-CoA synthetase long-chain family member 4	ACSL4	acyl-CoA synthetase long chain family member 4	FALSE
218322_s_at	0.0011	0.000549	3.569461	-1.472402	0.9586022	ACSL5	acyl-CoA synthetase long-chain family member 5	ACSL5	acyl-CoA synthetase long chain family member 5	FALSE
210377_at	0.0879	0.0639	1.87315	-5.776239	0.4379816	ACSM3	acyl-CoA synthetase medium-chain family member 3	ACSM3	acyl-CoA synthetase medium chain family member 3	FALSE
220061_at	8.49e-19	2.86e-20	11.593219	35.449222	0.9002596	ACSM5	acyl-CoA synthetase medium-chain family member 5	ACSM5	acyl-CoA synthetase medium chain family member 5	FALSE
234801_s_at	1.21e-09	2.16e-10	7.058861	12.866861	0.584336	ACSS1	acyl-CoA synthetase short-chain family member 1	ACSS1	acyl-CoA synthetase short chain family member 1	FALSE
234312_s_at	1.44e-20	3.65e-22	12.46967	39.795043	0.9992269	ACSS2	acyl-CoA synthetase short-chain family member 2	ACSS2	acyl-CoA synthetase short chain family member 2	FALSE
229222_at	3.63e-18	1.37e-19	11.281149	33.888936	1.9628992	ACSS3	acyl-CoA synthetase short-chain family member 3	ACSS3	acyl-CoA synthetase short chain family member 3	FALSE
200974_at	0.141	0.108	1.623111	-6.203354	0.2866674	ACTA2	actin, alpha 2, smooth muscle, aorta	ACTA2	actin alpha 2, smooth muscle	FALSE
affx-hsac07/x00351_5_at	0.0581	0.0406	2.074069	-5.391849	0.2176768	ACTB	actin beta	ACTB	actin beta	TRUE
205132_at	0.831	0.799	-0.255435	-7.479861	-0.0291027	ACTC1	actin, alpha, cardiac muscle 1	ACTC1	actin alpha cardiac muscle 1	FALSE
213214_x_at	0.0173	0.0109	-2.595238	-4.230239	-0.0862633	ACTG1///ACTB	actin gamma 1///actin beta	ACTG1	actin gamma 1	FALSE
