ID	padj	P.Value	lfcSE	stat	logFC	baseMean	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title	Retained.original
653190	0.593191	0.315	0.1435	1.004599	0.1442026	128.5	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	FALSE
730013	0.326396	0.0824	0.2048	1.737136	0.3557072	173.72	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	FALSE
10060	0.934757	0.855	0.2866	0.18246	0.0523001	133.3	ABCC9	ATP binding cassette subfamily C member 9	ABCC9	ATP binding cassette subfamily C member 9	FALSE
215	0.569223	0.289	0.1451	-1.06069	-0.1538912	280.57	ABCD1	ATP binding cassette subfamily D member 1	ABCD1	ATP binding cassette subfamily D member 1	FALSE
225	0.298527	0.0656	0.1916	1.841195	0.3526811	260.88	ABCD2	ATP binding cassette subfamily D member 2	ABCD2	ATP binding cassette subfamily D member 2	FALSE
5825	0.422498	0.151	0.0731	-1.435056	-0.1048439	3784.56	ABCD3	ATP binding cassette subfamily D member 3	ABCD3	ATP binding cassette subfamily D member 3	FALSE
5826	0.886303	0.76	0.0474	-0.305749	-0.0144799	1367.34	ABCD4	ATP binding cassette subfamily D member 4	ABCD4	ATP binding cassette subfamily D member 4	FALSE
6059	0.99109	0.979	0.0602	-0.026566	-0.001599	1416.96	ABCE1	ATP binding cassette subfamily E member 1	ABCE1	ATP binding cassette subfamily E member 1	FALSE
23	0.321621	0.079	0.0677	-1.756642	-0.118998	2195.94	ABCF1	ATP binding cassette subfamily F member 1	ABCF1	ATP binding cassette subfamily F member 1	FALSE
107986587	0.489673	0.21	0.1285	1.253035	0.1610632	37.2	ABCF1-DT	ABCF1 divergent transcript	ABCF1-DT	ABCF1 divergent transcript	FALSE
10061	0.583166	0.304	0.0535	-1.028088	-0.0549867	1109.83	ABCF2	ATP binding cassette subfamily F member 2	ABCF2	ATP binding cassette subfamily F member 2	FALSE
114483834	0.392995	0.127	0.0569	-1.524053	-0.0866818	458	ABCF2-H2BK1	ABCF2-H2BK1 readthrough	ABCF2-H2BK1	ABCF2-H2BK1 readthrough	FALSE
55324	0.167144	0.0137	0.0364	-2.463892	-0.0897535	2061.69	ABCF3	ATP binding cassette subfamily F member 3	ABCF3	ATP binding cassette subfamily F member 3	FALSE
9619	0.302082	0.0678	0.1187	-1.826627	-0.216901	1843.3	ABCG1	ATP binding cassette subfamily G member 1	ABCG1	ATP binding cassette subfamily G member 1	FALSE
9429	0.789987	0.585	0.3609	-0.546382	-0.1971792	51.75	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	FALSE
64240	0.430893	0.16	0.1321	1.406105	0.1858001	27.6	ABCG5	ATP binding cassette subfamily G member 5	ABCG5	ATP binding cassette subfamily G member 5	FALSE
84696	0.40654	0.137	0.12	-1.485304	-0.1782448	251.17	ABHD1	abhydrolase domain containing 1	ABHD1	abhydrolase domain containing 1	FALSE
55347	0.533064	0.252	0.0598	1.144334	0.0684736	1567.7	ABHD10	abhydrolase domain containing 10, depalmitoylase	ABHD10	abhydrolase domain containing 10, depalmitoylase	FALSE
83451	0.444799	0.171	0.0876	-1.368331	-0.1198467	4258.41	ABHD11	abhydrolase domain containing 11	ABHD11	abhydrolase domain containing 11	FALSE
171022	0.388143	0.123	0.1434	1.540351	0.2209431	612.94	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	FALSE
26090	0.205616	0.0254	0.0694	-2.235524	-0.1551485	1761.7	ABHD12	abhydrolase domain containing 12, lysophospholipase	ABHD12	abhydrolase domain containing 12, lysophospholipase	FALSE
145447	0.953664	0.898	0.1599	-0.128797	-0.0206002	1446.08	ABHD12B	abhydrolase domain containing 12B	ABHD12B	abhydrolase domain containing 12B	FALSE
84945	0.737781	0.505	0.065	-0.666779	-0.0433649	740.81	ABHD13	abhydrolase domain containing 13	ABHD13	abhydrolase domain containing 13	FALSE
25864	0.62577	0.352	0.0923	0.930732	0.08595	542.74	ABHD14A	abhydrolase domain containing 14A	ABHD14A	abhydrolase domain containing 14A	FALSE
100526760	0.641195	0.373	0.0498	-0.891218	-0.0443832	598.11	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	FALSE
84836	0.987904	0.973	0.0767	0.034105	0.0026152	3203.74	ABHD14B	abhydrolase domain containing 14B	ABHD14B	abhydrolase domain containing 14B	FALSE
116236	0.417367	0.147	0.0455	-1.451766	-0.0660429	873.54	ABHD15	abhydrolase domain containing 15	ABHD15	abhydrolase domain containing 15	FALSE
7920	0.176536	0.016	0.0601	-2.408264	-0.144623	2113.63	ABHD16A	abhydrolase domain containing 16A, phospholipase	ABHD16A	abhydrolase domain containing 16A, phospholipase	FALSE
140701	0.818242	0.636	0.1087	0.47391	0.0515258	454.19	ABHD16B	abhydrolase domain containing 16B	ABHD16B	abhydrolase domain containing 16B	FALSE
81926	0.192464	0.0208	0.0856	-2.311009	-0.1978408	1864.73	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	FALSE
51104	0.542783	0.263	0.0641	1.119766	0.071769	1258.4	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	FALSE
58489	0.165099	0.0133	0.0867	-2.474616	-0.2144818	1895.36	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	FALSE
80167	0.446402	0.172	0.0679	-1.365024	-0.092639	438.11	ABHD18	abhydrolase domain containing 18	ABHD18	abhydrolase domain containing 18	FALSE
11057	0.1405	0.00807	0.1326	-2.649263	-0.3512761	10940.57	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	FALSE
171586	0.228607	0.0348	0.069	-2.110736	-0.1456103	983.77	ABHD3	abhydrolase domain containing 3, phospholipase	ABHD3	abhydrolase domain containing 3, phospholipase	FALSE
63874	0.427645	0.157	0.1201	-1.415817	-0.1699852	998.14	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	FALSE
51099	0.287205	0.06	0.0962	-1.880737	-0.1809129	1135.6	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	FALSE
57406	0.48438	0.206	0.0715	1.265461	0.090528	1104.32	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	FALSE
79575	0.911164	0.805	0.0736	-0.247335	-0.0182157	447.8	ABHD8	abhydrolase domain containing 8	ABHD8	abhydrolase domain containing 8	FALSE
10006	0.876066	0.74	0.0469	0.331947	0.015574	3239.59	ABI1	abl interactor 1	ABI1	abl interactor 1	FALSE
10152	0.143864	0.00861	0.0678	2.627072	0.1781758	2896.64	ABI2	abl interactor 2	ABI2	abl interactor 2	FALSE
51225	0.949607	0.889	0.2625	0.138938	0.0364677	201.32	ABI3	ABI family member 3	ABI3	ABI family member 3	FALSE
25890	0.816466	0.633	0.1804	-0.477282	-0.0860904	45.65	ABI3BP	ABI family member 3 binding protein	ABI3BP	ABI family member 3 binding protein	FALSE
54942	0.336759	0.0888	0.0799	1.701859	0.1359589	1834.11	ABITRAM	actin binding transcription modulator	ABITRAM	actin binding transcription modulator	FALSE
25	0.490711	0.211	0.0623	-1.249972	-0.0778473	1675.85	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	FALSE
27	0.537585	0.257	0.069	1.134538	0.0782627	829.82	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	FALSE
3983	0.105086	0.00282	0.1125	-2.986568	-0.3358954	9606.24	ABLIM1	actin binding LIM protein 1	ABLIM1	actin binding LIM protein 1	FALSE
84448	0.152499	0.0106	0.2483	-2.555613	-0.6346354	97.21	ABLIM2	actin binding LIM protein family member 2	ABLIM2	actin binding LIM protein family member 2	FALSE
22885	0.88427	0.756	0.4055	-0.310939	-0.1260831	281.29	ABLIM3	actin binding LIM protein family member 3	ABLIM3	actin binding LIM protein family member 3	FALSE
28	0.323551	0.0802	0.1374	-1.749799	-0.2403694	3602.98	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	FALSE
29	0.586754	0.308	0.0564	-1.018791	-0.0574574	4347.58	ABR	ABR activator of RhoGEF and GTPase	ABR	ABR activator of RhoGEF and GTPase	FALSE
58527	0.049785	0.000272	0.1382	-3.64081	-0.5031856	886.79	ABRACL	ABRA C-terminal like	ABRACL	ABRA C-terminal like	FALSE
84142	0.22571	0.0333	0.0823	2.128617	0.1752027	970.03	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	FALSE
23172	0.52854	0.248	0.0496	-1.15545	-0.0572862	737.04	ABRAXAS2	abraxas 2, BRISC complex subunit	ABRAXAS2	abraxas 2, BRISC complex subunit	FALSE
29777	0.462819	0.186	0.0452	-1.321109	-0.0597549	983.67	ABT1	activator of basal transcription 1	ABT1	activator of basal transcription 1	FALSE
80325	0.453086	0.178	0.1573	1.346998	0.2118388	1477.49	ABTB1	ankyrin repeat and BTB domain containing 1	ABTB1	ankyrin repeat and BTB domain containing 1	FALSE
25841	0.959927	0.909	0.1253	-0.114205	-0.0143049	60.59	ABTB2	ankyrin repeat and BTB domain containing 2	ABTB2	ankyrin repeat and BTB domain containing 2	FALSE
121551	0.671524	0.413	0.1289	0.818268	0.1055018	296.69	ABTB3	ankyrin repeat and BTB domain containing 3	ABTB3	ankyrin repeat and BTB domain containing 3	FALSE
30	0.385228	0.121	0.0676	-1.549932	-0.1048027	2721.13	ACAA1	acetyl-CoA acyltransferase 1	ACAA1	acetyl-CoA acyltransferase 1	FALSE
10449	0.921164	0.825	0.1377	0.220921	0.0304182	250.48	ACAA2	acetyl-CoA acyltransferase 2	ACAA2	acetyl-CoA acyltransferase 2	FALSE
31	0.146729	0.00932	0.069	-2.600134	-0.1793941	2891.35	ACACA	acetyl-CoA carboxylase alpha	ACACA	acetyl-CoA carboxylase alpha	FALSE
32	0.569931	0.29	0.092	1.058632	0.0973722	1191.34	ACACB	acetyl-CoA carboxylase beta	ACACB	acetyl-CoA carboxylase beta	FALSE
80724	0.801162	0.605	0.052	-0.517811	-0.0269383	1210.47	ACAD10	acyl-CoA dehydrogenase family member 10	ACAD10	acyl-CoA dehydrogenase family member 10	FALSE
84129	0.763536	0.545	0.0752	0.605216	0.0455081	678.35	ACAD11	acyl-CoA dehydrogenase family member 11	ACAD11	acyl-CoA dehydrogenase family member 11	FALSE
27034	0.740493	0.51	0.092	-0.659142	-0.0606674	1551.86	ACAD8	acyl-CoA dehydrogenase family member 8	ACAD8	acyl-CoA dehydrogenase family member 8	FALSE
28976	0.160812	0.0124	0.035	-2.499352	-0.0874586	1006	ACAD9	acyl-CoA dehydrogenase family member 9	ACAD9	acyl-CoA dehydrogenase family member 9	FALSE
33	0.279022	0.056	0.1473	1.910879	0.2813922	96.77	ACADL	acyl-CoA dehydrogenase long chain	ACADL	acyl-CoA dehydrogenase long chain	FALSE
34	0.220365	0.0311	0.0959	2.155373	0.2067029	2002.9	ACADM	acyl-CoA dehydrogenase medium chain	ACADM	acyl-CoA dehydrogenase medium chain	FALSE
35	0.290333	0.0619	0.0839	-1.86734	-0.1566678	1060.79	ACADS	acyl-CoA dehydrogenase short chain	ACADS	acyl-CoA dehydrogenase short chain	FALSE
36	0.968422	0.929	0.0847	-0.08943	-0.0075745	1165.52	ACADSB	acyl-CoA dehydrogenase short/branched chain	ACADSB	acyl-CoA dehydrogenase short/branched chain	FALSE
37	0.059294	0.000421	0.0898	-3.526334	-0.3165364	11696.4	ACADVL	acyl-CoA dehydrogenase very long chain	ACADVL	acyl-CoA dehydrogenase very long chain	FALSE
9744	0.923384	0.831	0.0703	-0.213812	-0.0150355	1850.09	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	FALSE
23527	0.358846	0.104	0.0601	1.625626	0.0977608	2072.76	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	FALSE
116983	0.504574	0.223	0.1392	-1.219099	-0.169694	2588.3	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	FALSE
38	0.576574	0.297	0.1018	-1.043239	-0.1061843	1456.02	ACAT1	acetyl-CoA acetyltransferase 1	ACAT1	acetyl-CoA acetyltransferase 1	FALSE
39	0.772233	0.557	0.0747	-0.586879	-0.0438329	1225.44	ACAT2	acetyl-CoA acetyltransferase 2	ACAT2	acetyl-CoA acetyltransferase 2	FALSE
64746	0.269682	0.0511	0.0605	-1.951018	-0.1180729	2499.09	ACBD3	acyl-CoA binding domain containing 3	ACBD3	acyl-CoA binding domain containing 3	FALSE
107985353	0.677192	0.421	0.1109	0.804311	0.0891743	1013.89	ACBD3-AS1	ACBD3 antisense RNA 1	ACBD3-AS1	ACBD3 antisense RNA 1	FALSE
79777	0.726955	0.488	0.0923	-0.694196	-0.0640652	520.18	ACBD4	acyl-CoA binding domain containing 4	ACBD4	acyl-CoA binding domain containing 4	FALSE
91452	0.807423	0.616	0.0672	-0.501484	-0.0337049	1474.41	ACBD5	acyl-CoA binding domain containing 5	ACBD5	acyl-CoA binding domain containing 5	FALSE
84320	0.269286	0.0508	0.0401	-1.953332	-0.0782698	952.45	ACBD6	acyl-CoA binding domain containing 6	ACBD6	acyl-CoA binding domain containing 6	FALSE
414149	0.625184	0.351	0.1216	0.932705	0.1134329	887.64	ACBD7	acyl-CoA binding domain containing 7	ACBD7	acyl-CoA binding domain containing 7	FALSE
108949267	0.455158	0.18	0.1657	1.339943	0.2220327	22.59	ACBD7-DCLRE1CP1	ACBD7-DCLRE1CP1 readthrough	ACBD7-DCLRE1CP1	ACBD7-DCLRE1CP1 readthrough	FALSE
84680	0.540411	0.26	0.1211	-1.127377	-0.1365758	1469.87	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	FALSE
65057	0.86086	0.713	0.075	0.367194	0.0275335	578.52	ACD	ACD shelterin complex subunit and telomerase recruitment factor	ACD	ACD shelterin complex subunit and telomerase recruitment factor	FALSE
1636	0.821505	0.641	0.1384	0.466197	0.0645368	444.98	ACE	angiotensin I converting enzyme	ACE	angiotensin I converting enzyme	FALSE
59272	0.484197	0.205	0.1904	-1.26613	-0.2411073	352.64	ACE2	angiotensin converting enzyme 2	ACE2	angiotensin converting enzyme 2	FALSE
104798195	0.786305	0.579	0.2652	-0.55554	-0.1473305	12.71	ACE2-DT	ACE2 divergent transcript	ACE2-DT	ACE2 divergent transcript	FALSE
340485	0.108874	0.0032	0.1168	-2.947692	-0.3443354	733.3	ACER2	alkaline ceramidase 2	ACER2	alkaline ceramidase 2	FALSE
55331	0.640025	0.371	0.1055	-0.893887	-0.0943405	1259.49	ACER3	alkaline ceramidase 3	ACER3	alkaline ceramidase 3	FALSE
43	0.759903	0.54	0.23	0.612659	0.1409071	25.12	ACHE	acetylcholinesterase (Cartwright blood group)	ACHE	acetylcholinesterase (Yt blood group)	FALSE
22985	0.72026	0.477	0.0557	-0.711191	-0.0395988	5135.41	ACIN1	apoptotic chromatin condensation inducer 1	ACIN1	apoptotic chromatin condensation inducer 1	FALSE
1238	0.124779	0.00524	0.1332	-2.791934	-0.3720096	110.53	ACKR2	atypical chemokine receptor 2	ACKR2	atypical chemokine receptor 2	FALSE
57007	0.836378	0.668	0.1762	0.428905	0.0755758	1058.38	ACKR3	atypical chemokine receptor 3	ACKR3	atypical chemokine receptor 3	FALSE
51554	0.897492	0.778	0.1857	-0.28137	-0.0522442	99.65	ACKR4	atypical chemokine receptor 4	ACKR4	atypical chemokine receptor 4	FALSE
47	0.209192	0.0268	0.0585	-2.21485	-0.1295934	2865.7	ACLY	ATP citrate lyase	ACLY	ATP citrate lyase	FALSE
130013	0.816268	0.633	0.1519	-0.47798	-0.0725925	11.05	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	FALSE
48	0.15433	0.0109	0.0793	-2.544907	-0.2018941	962.15	ACO1	aconitase 1	ACO1	aconitase 1	FALSE
50	0.581082	0.302	0.066	-1.032828	-0.0681167	4264.77	ACO2	aconitase 2	ACO2	aconitase 2	FALSE
641371	0.126999	0.00568	0.1227	-2.765456	-0.339433	431.25	ACOT1	acyl-CoA thioesterase 1	ACOT1	acyl-CoA thioesterase 1	FALSE
26027	0.80052	0.603	0.1006	0.519701	0.0522585	379.03	ACOT11	acyl-CoA thioesterase 11	ACOT11	acyl-CoA thioesterase 11	FALSE
