Updated.gene.symbol	logFC	P.Value
ACOT2	-0.1872638	0.021
ACOT4	-0.0620964	0.573
ACOT7	-0.1346618	0.243
ACOT8	-0.0788797	0.118
ACOT9	-0.0526874	0.322
ACOX1	-0.047353	0.3
ACOX2	0.1691604	0.0747
ACOX3	0.2467082	0.000607
ACOXL	0.1981834	0.0203
ACOXL-AS1	0.3410974	0.0184
ACP1	-0.1750528	0.000126
ACP2	-0.0718955	0.47
ACP3	-0.2903896	0.0262
ACP5	0.3428459	0.3
ACP6	0.2208385	0.00789
ACP7	0.1618222	0.0598
ACRBP	0.3061327	0.0204
ACSBG1	0.0743187	0.31
ACSBG2	0.322144	0.0167
ACSF2	0.1988501	0.00423
ACSF3	0.0862931	0.0206
ACSL1	0.112208	0.302
ACSL3	-0.1632975	0.0676
ACSL4	-0.1607534	0.107
ACSL5	-0.0901895	0.234
ACSL6	0.0611847	0.72
ACSM1	-0.2889241	0.215
ACSM3	0.0739873	0.205
ACSS1	0.1442457	0.076
ACSS2	0.0453634	0.341
ACSS3	0.0103946	0.925
ACTA2	0.3668021	0.00129
ACTA2-AS1	0.3814272	0.000399
ACTB	-0.0191082	0.813
ACTBL2	-0.5454199	0.108
ACTG1	-0.1391181	0.141
ACTG1P17	0.2898338	0.0324
ACTG1P20	0.0696637	0.733
ACTG1P25	-0.054092	0.732
ACTG1P4	0.5080812	0.00281
ACTL10	-0.2785977	0.0367
ACTL6A	-0.1635792	8.47e-05
ACTMAP	0.1512386	0.000326
ACTN1	0.0823599	0.368
ACTN4	0.0474159	0.241
ACTR10	-0.2021473	2.38e-06
ACTR1A	-0.0880778	0.1
ACTR1B	-0.1087408	0.0179
ACTR2	-0.1450215	0.0528
ACTR3	-0.1430821	0.0662
ACTR3-AS1	0.0342101	0.808
ACTR3B	-0.0713854	0.158
ACTR3C	0.1767051	0.0106
ACTR5	0.0365404	0.395
ACTR6	-0.0719197	0.0706
ACTR8	-0.0490024	0.153
ACTRT3	-0.3550321	0.000253
ACVR1	-0.1671564	0.000486
ACVR1B	0.0096204	0.849
ACVR1C	-0.1245352	0.341
ACVR2A	-0.0611385	0.13
ACVR2B	0.0795435	0.193
ACVR2B-AS1	0.1664927	0.0899
ACVRL1	-0.2047782	0.425
ACY1	-0.1411582	0.0206
ACY3	0.0743637	0.698
ACYP1	0.0034773	0.959
ACYP2	-0.1425603	0.0159
ADA	0.0850872	0.521
ADA2	0.2934664	0.125
ADAD2	0.0803816	0.655
ADAL	-0.0580576	0.197
ADAM10	-0.112531	0.0484
ADAM11	0.3867459	0.0604
ADAM12	0.5161067	0.000907
ADAM15	-0.0438109	0.603
ADAM17	0.0555183	0.441
ADAM19	-0.6235152	0.00627
ADAM20	0.5627371	0.000311
ADAM20P1	0.6039313	0.00273
ADAM21	0.5891682	0.00462
ADAM22	0.1787023	0.226
ADAM23	-0.1596162	0.588
ADAM28	-0.0428442	0.676
ADAM32	-0.1126665	0.606
ADAM8	0.0445725	0.728
ADAM9	-0.2346831	0.0257
ADAMDEC1	-0.3859494	0.285
ADAMTS1	0.2939905	0.316
ADAMTS10	0.7565534	0.000451
ADAMTS12	0.0116768	0.969
ADAMTS13	0.2162508	0.0222
ADAMTS14	0.1108805	0.589
ADAMTS15	0.0899222	0.641
ADAMTS16	0.4375147	0.00517
ADAMTS17	0.022093	0.894
ADAMTS19	-0.2830038	0.244
ADAMTS3	-0.0143815	0.935
ADAMTS4	0.2658597	0.0322
ADAMTS6	0.2749995	0.279
ADAMTS7	0.5556661	0.00554
ADAMTS7P1	0.5257802	0.00064
ADAMTS8	0.0066237	0.961
ADAMTS9	0.1763206	0.246
ADAMTSL1	0.3290946	0.0124
ADAMTSL2	0.5826101	0.0162
ADAMTSL3	-0.1380802	0.331
ADAMTSL4	0.2044742	0.508
ADAMTSL4-AS1	0.3868792	0.066
ADAMTSL4-AS2	0.0045703	0.987
ADAMTSL5	-0.0548283	0.766
ADAP1	0.0081215	0.899
ADAP2	0.1491012	0.257
ADAR	0.029767	0.619
ADARB1	0.2339624	0.0234
ADARB2	0.1051929	0.579
ADAT1	-0.0720078	0.103
ADAT2	0.217698	0.0637
ADAT3	0.0078313	0.898
ADCK1	0.0543155	0.453
ADCK2	-0.087062	0.0681
ADCK5	0.036932	0.597
ADCY1	-0.0072759	0.975
ADCY10	0.4251925	0.0229
ADCY10P1	0.2856199	0.0522
ADCY2	-0.0114652	0.92
ADCY3	0.0966046	0.26
ADCY4	0.4214865	0.0562
ADCY5	0.0054524	0.967
ADCY6	0.1653788	0.000825
ADCY6-DT	-0.0692875	0.69
ADCY7	0.0018981	0.99
ADCY9	-0.0007464	0.988
ADCYAP1	-0.4136179	0.11
ADD1	0.0418648	0.223
ADD2	-0.4035204	0.173
ADD3	-0.0001429	0.998
ADD3-AS1	0.0169277	0.837
ADGB	0.182297	0.0555
ADGRA1	-0.0205028	0.938
ADGRA2	0.0194467	0.8
ADGRA3	0.0281806	0.711
ADGRB1	0.1861845	0.312
ADGRB2	-0.0266633	0.768
ADGRD1	0.1294629	0.494
ADGRD1-AS1	0.1029587	0.513
ADGRE1	-0.0563845	0.896
ADGRE2	0.0815769	0.61
ADGRE3	0.2631073	0.36
ADGRE4P	0.9891188	4.93e-05
ADGRE5	0.093067	0.231
ADGRF1	-0.2140452	0.195
ADGRF2	0.2770082	0.111
ADGRF3	0.1950947	0.0464
ADGRF4	0.3848026	0.0286
ADGRF5	0.2769898	0.216
ADGRG1	0.026238	0.71
ADGRG2	0.1026367	0.433
ADGRG3	-0.0498437	0.578
ADGRG5	0.0639896	0.652
ADGRG6	0.1238606	0.441
ADGRL1	0.1550961	0.0131
ADGRL1-AS1	0.3090629	4.12e-06
ADGRL2	-0.0041335	0.972
ADGRL3	0.6083631	0.0468
ADGRV1	0.2700053	0.0178
ADH1A	0.1171564	0.435
ADH1B	0.4619524	0.0671
ADH1C	-0.0790473	0.631
ADH4	0.0568577	0.842
ADH5	-0.1807801	0.00108
ADH6	-0.2883259	0.0222
ADH7	-0.0958008	0.771
ADHFE1	0.296023	0.000204
ADI1	-0.1550031	0.0894
ADIPOR1	-0.1448383	0.00177
ADIPOR2	-0.0698384	0.147
ADIRF	-0.1914461	0.182
ADK	-0.1979201	0.00054
ADM	-0.4966441	0.0657
ADM2	-0.3167158	0.14
ADM5	0.0764012	0.659
ADNP	0.0504787	0.0741
ADNP-AS1	0.1814193	0.00725
ADNP2	-0.0907418	0.0897
ADO	-0.1439888	0.0116
ADORA1	-0.1622964	0.603
ADORA2A	-0.0424904	0.749
ADORA2A-AS1	0.2124273	0.188
ADORA2B	-0.1293887	0.0123
ADORA3	-0.289421	0.161
ADPGK	0.1185234	0.00528
ADPGK-AS1	0.0062332	0.95
ADPRH	-0.1422405	0.171
ADPRHL1	-0.1832093	0.0251
ADPRM	-0.1328401	0.016
ADPRS	0.1886733	0.121
ADRA1B	0.0457352	0.759
ADRA2A	-0.013927	0.95
ADRA2B	0.094573	0.646
ADRB1	0.0455583	0.472
ADRB2	-0.0221867	0.876
ADRM1	-0.1181864	0.0221
ADSL	-0.1158333	0.00247
ADSS1	-0.0384842	0.564
ADSS2	-0.1050389	0.033
ADTRP	0.3951258	0.103
AEBP1	0.2493968	0.308
AEBP2	-0.058852	0.292
AEN	-0.1494186	0.0646
AFAP1	-0.15833	0.11
AFAP1-AS1	-0.0539698	0.652
AFAP1L1	0.2949048	0.0347
AFAP1L2	0.0495509	0.521
AFDN	0.1720573	0.0306
AFDN-DT	0.4668486	0.00368
AFF1	0.1165343	0.014
AFF1-AS1	-0.006183	0.899
AFF2	-0.2924043	0.311
AFF3	-0.0931131	0.62
AFF4	-0.0380872	0.5
AFG1L	0.0152576	0.688
AFG3L1P	0.3950846	5.8e-05
AFG3L2	-0.129445	0.00089
AFMID	0.0172485	0.809
AFTPH	-0.0823058	0.0311
AFTPH-DT	-0.0220661	0.847
AGA	-0.1988528	0.0041
AGA-DT	0.1117462	0.262
AGAP1	0.004735	0.939
AGAP1-IT1	-0.2132	0.324
AGAP10P	0.515468	0.000103
AGAP11	0.1030806	0.393
AGAP12P	0.7187025	4.11e-05
AGAP2	-0.0710545	0.581
AGAP2-AS1	-0.2687888	0.0363
AGAP3	0.0656432	0.116
AGAP4	0.4022995	0.000927
AGAP5	0.4752537	0.000102
AGAP6	0.3421638	0.00673
AGAP7P	0.4514538	0.00141
AGAP9	0.4068138	0.00956
AGBL1	0.1963981	0.399
AGBL2	0.2566032	0.0255
AGBL3	0.0751976	0.419
AGBL4	0.1802045	0.0267
AGBL5	-0.134618	0.0078
AGER	0.3452573	0.0314
AGFG1	-0.0462912	0.395
AGFG2	0.0342735	0.527
AGGF1	-0.1124259	0.00366
AGK	0.1656999	0.0161
AGL	-0.039934	0.512
AGMAT	0.0046349	0.963
AGMO	-0.6420442	0.0208
AGO1	0.0240614	0.558
AGO2	0.1340256	0.0293
AGO3	0.2724721	0.000274
AGO4	0.177196	0.00427
AGPAT1	-0.0381523	0.323
AGPAT2	-0.1267868	0.056
AGPAT3	-0.0118285	0.742
AGPAT4	0.0472743	0.773
AGPAT4-IT1	0.2918509	0.2
AGPAT5	-0.1411608	0.0146
AGPS	-0.2064894	0.00251
AGR2	-0.4817788	0.0239
AGR3	-0.1898128	0.00543
AGRN	0.1423037	0.0316
AGT	0.1883285	0.357
AGTPBP1	0.0073269	0.878
AGTRAP	0.0196733	0.741
AHCTF1	-0.0764345	0.166
AHCTF1P1	-0.0838527	0.305
AHCY	-0.2001671	0.000326
AHCYL1	-0.0493671	0.291
AHCYL2	-0.1821059	0.0138
AHDC1	0.0798142	0.102
AHI1	0.2872477	0.00101
AHI1-DT	-0.0070119	0.939
AHNAK	0.1867437	0.0618
AHNAK2	0.3387574	0.0516
AHR	-0.1822517	0.0178
AHRR	-0.3955204	0.122
AHSA1	-0.1329445	0.0164
AHSA2P	0.378335	0.00271
AIDA	-0.1305592	0.0451
AIF1	-0.3804613	0.11
AIF1L	-0.0189782	0.899
AIFM1	-0.1107521	0.0286
AIFM2	0.0005895	0.996
AIFM3	0.1109097	0.303
AIG1	-0.1035444	0.0231
AIM2	-0.7189966	0.0357
AIMP1	-0.0983356	0.000222
AIMP2	-0.1669076	0.000334
AIP	-0.1977159	0.0237
AJAP1	0.5687929	0.0729
AJM1	0.1444818	0.262
AJUBA	-0.0101465	0.934
AJUBA-DT	0.1841089	0.00746
AK1	-0.051003	0.493
AK2	0.0113928	0.727
AK3	0.0183704	0.749
AK4	-0.209408	0.0621
AK6	-0.1126171	0.0165
AK7	-0.111667	0.0736
AK8	-0.0067173	0.944
AK9	0.0779907	0.255
AKAP1	-0.0241391	0.737
AKAP10	0.0617056	0.0777
AKAP11	0.0185902	0.794
AKAP12	-0.2664567	0.186
AKAP13	0.1843379	0.00357
AKAP14	-0.2167531	0.0015
AKAP17A	0.1839809	0.00024
AKAP3	-0.0398372	0.624
AKAP5	0.0119059	0.937
AKAP6	0.0486598	0.543
AKAP7	0.1042094	0.209
AKAP8	0.1416439	0.000562
AKAP8L	0.1247106	0.0261
AKAP9	0.0906813	0.187
AKIP1	0.3334483	1.94e-05
AKIRIN1	-0.1055457	0.0227
AKIRIN2	-0.0775782	0.334
AKNA	0.1430362	0.0138
AKR1A1	-0.2019737	0.0144
AKR1B1	-0.0583414	0.796
AKR1B10	-0.0141727	0.981
AKR1B15	0.0253277	0.965
AKR1C1	-0.1216188	0.696
AKR1C2	-0.0505481	0.897
AKR1C3	-0.1023287	0.726
AKR1C4	-0.12388	0.67
AKR1C8	0.1164858	0.564
AKR1E2	-0.030799	0.787
AKR7A2	-0.1675295	0.00314
AKR7A3	0.1095897	0.226
AKR7L	0.195012	0.046
AKT1	-0.056345	0.221
AKT1S1	-0.1073924	0.114
AKT2	0.1248389	0.0039
AKT3	0.0828515	0.462
AKTIP	-0.0204121	0.672
ALAD	0.0502015	0.171
ALAS1	-0.1328441	0.2
ALB	0.3489036	0.0413
ALCAM	-0.1050566	0.0103
ALDH16A1	-0.0800275	0.196
ALDH18A1	-0.1253639	0.0837
ALDH1A1	-0.0389253	0.708
ALDH1A2	-0.0794444	0.871
ALDH1A3	-0.4827408	0.0189
ALDH1A3-AS1	-0.3828317	0.0386
ALDH1B1	-0.2414745	0.00309
ALDH1L1	-0.2380117	0.0291
ALDH1L1-AS1	-0.297397	0.0242
ALDH1L1-AS2	0.1674867	0.205
ALDH1L2	-0.1045008	0.639
ALDH2	0.0672333	0.413
ALDH3A1	0.2714848	0.5
ALDH3A2	0.0230814	0.768
ALDH3B1	0.1282318	0.0988
ALDH3B2	-0.2242572	0.00166
ALDH4A1	-0.1986078	0.0483
ALDH5A1	0.0317319	0.654
ALDH6A1	-0.0375166	0.325
ALDH7A1	-0.2128634	0.00554
ALDH8A1	0.4274726	0.0138
ALDH9A1	-0.1698665	0.00161
ALDOA	-0.104126	0.285
ALDOB	-0.2231207	0.188
ALDOC	-0.0424441	0.64
ALG1	-0.1735525	0.00206
ALG10	0.0383227	0.605
ALG10B	0.0062217	0.939
ALG11	-0.0834159	0.0718
ALG12	-0.0196025	0.637
ALG13	0.1984124	0.0146
ALG14	-0.2725921	0.00174
ALG1L1P	-0.1905163	0.257
ALG1L2	0.4697378	0.000369
ALG1L9P	0.1965957	0.0118
ALG2	-0.1549265	0.000672
ALG3	-0.0615817	0.383
ALG5	-0.269645	0.000446
ALG6	-0.109646	0.0336
ALG8	-0.1412902	0.00792
ALG9	-0.0760546	0.0756
ALK	0.3576258	0.00385
ALKAL1	-0.3936646	0.0031
ALKBH1	-0.07494	0.0533
ALKBH2	-0.1557296	0.00482
ALKBH3	-0.1685519	0.00121
ALKBH3-AS1	0.3189623	0.00815
ALKBH4	0.0131916	0.79
ALKBH5	-0.0946159	0.0951
ALKBH6	0.01829	0.742
ALKBH7	-0.3471755	2.59e-05
ALKBH8	-0.035235	0.453
ALMS1	0.1200423	0.202
ALMS1-IT1	0.3750705	0.0245
ALMS1P1	0.3075645	0.0168
ALOX12	0.3002013	2.88e-05
ALOX12-AS1	0.1161019	0.0749
ALOX12P2	0.1716794	0.0816
ALOX15	0.0825777	0.479
ALOX15B	-0.0304289	0.948
ALOX15P1	0.1681429	0.182
ALOX5	0.0745648	0.765
ALOX5AP	-0.4138108	0.175
ALPK1	0.232002	0.00351
ALPK3	0.2660976	0.0571
ALPL	-0.0567282	0.751
ALS2	0.0835267	0.0377
ALS2CL	0.3046377	0.00814
ALX1	0.2160072	0.0841
ALX3	0.2571628	3.74e-05
ALYREF	-0.1626669	0.000739
AMACR	-0.1278131	0.0932
AMBRA1	0.0247685	0.459
AMD1	-0.2173781	0.00244
AMDHD2	0.1505873	0.00489
AMER1	0.0736615	0.444
AMFR	-0.0555182	0.208
AMH	0.3825268	0.0567
AMHR2	-0.029986	0.872
AMIGO1	-0.0877842	0.307
AMIGO2	0.0956904	0.526
AMIGO3	0.1740881	0.0349
AMMECR1	-0.1359763	0.0732
AMMECR1L	0.0047575	0.859
AMN	-0.0268509	0.764
AMN1	-0.0604264	0.159
AMOT	0.0352796	0.54
AMOTL1	0.1029746	0.593
AMOTL2	0.1396749	0.151
AMPD2	0.0720673	0.279
AMPD3	0.1151456	0.0713
AMPH	-0.2029508	0.352
AMT	0.2226406	0.0426
AMY1A	-0.0837564	0.7
AMY1B	-0.0942905	0.664
AMY1C	-0.0953863	0.654
AMY2A	0.3018996	0.112
AMY2B	0.3485587	0.0076
AMZ1	-0.44269	0.166
AMZ2	-0.1108241	0.0209
AMZ2P1	0.0494734	0.359
ANAPC1	-0.0200045	0.66
ANAPC10	-0.2078321	0.000132
ANAPC11	-0.2844602	0.000831
ANAPC13	-0.2231598	0.000297
ANAPC15	-0.1554543	0.013
ANAPC16	-0.127967	0.00783
ANAPC1P1	-0.1864862	0.266
ANAPC1P2	-3.81e-05	1
ANAPC1P4	0.0216245	0.703
ANAPC2	0.0690418	0.0613
ANAPC4	0.0305192	0.809
ANAPC5	-0.0354232	0.209
ANAPC7	-0.0593112	0.0811
ANG	-0.3521865	0.000232
ANGEL1	0.1991157	4.87e-05
ANGEL2	-0.0129867	0.722
ANGPT1	0.3274928	0.258
ANGPT2	0.1649844	0.107
ANGPTL1	0.5985759	0.00467
ANGPTL2	0.0387226	0.799
ANGPTL4	0.4384548	0.00676
ANGPTL5	0.0007846	0.995
ANGPTL6	0.1117128	0.0793
ANK1	0.1472543	0.624
ANK2	-0.4274705	0.00947
ANK3	0.089249	0.118
ANK3-DT	-0.0016476	0.988
ANKAR	0.1515214	0.0799
ANKDD1A	0.3679148	0.00251
ANKDD1B	0.075699	0.427
ANKEF1	-0.1291579	0.00824
ANKFN1	0.3263482	0.00583
ANKFY1	0.1271748	0.00287
ANKH	0.1199355	0.256
ANKHD1	0.1012383	0.0318
ANKHD1-EIF4EBP3	0.0778909	0.0712
ANKIB1	-0.0405867	0.409
ANKK1	0.3901093	0.00316
ANKLE1	0.4772324	0.000207
ANKLE2	0.0335955	0.205
ANKMY1	0.0844396	0.107
ANKMY2	-0.0982174	0.116
ANKRA2	-0.0022953	0.963
ANKRD10	0.2775961	0.00448
ANKRD11	0.1811726	1.48e-06
ANKRD12	-0.0203983	0.73
ANKRD13A	0.0211896	0.569
ANKRD13B	0.0341811	0.763
ANKRD13C	-0.1538646	0.00117
ANKRD13D	0.0909509	0.158
ANKRD16	0.0293217	0.564
ANKRD17	0.069893	0.137
ANKRD17-DT	0.2941346	0.0148
ANKRD18A	0.3625697	0.011
ANKRD18B	-0.0133694	0.929
ANKRD18CP	0.1771468	0.155
ANKRD19P	-0.0666781	0.596
ANKRD20A1	0.1851856	0.351
ANKRD20A11P	0.0851924	0.739
ANKRD20A19P	0.4952868	0.00622
ANKRD20A21P	0.3651246	0.113
ANKRD20A2P	0.1655445	0.34
ANKRD20A3P	0.1788179	0.307
ANKRD20A4-ANKRD20A20P	0.2139023	0.275
ANKRD20A4P	0.0890633	0.711
ANKRD20A5P	0.0967388	0.642
ANKRD20A8P	0.4842079	0.0321
ANKRD22	-1.0947169	1.16e-06
ANKRD23	0.4913375	1.28e-06
ANKRD24	0.3729576	0.000828
ANKRD26	0.4126136	0.000239
ANKRD27	-0.0251896	0.536
ANKRD28	0.041405	0.341
ANKRD29	-0.0376674	0.848
ANKRD31	-0.0284749	0.772
ANKRD33B	0.3351132	0.0897
ANKRD34A	0.0385805	0.772
ANKRD35	-0.0678906	0.441
ANKRD36	0.3601868	0.0181
ANKRD36B	0.3256329	0.0236
ANKRD36BP1	-0.0020002	0.985
ANKRD36BP2	0.3227867	0.365
ANKRD36C	-0.0235082	0.908
ANKRD37	-0.1209756	0.0355
ANKRD39	0.0430446	0.375
ANKRD40	-0.0589345	0.127
ANKRD42	-0.0349873	0.446
ANKRD42-DT	0.1617196	0.0012
ANKRD44	0.08728	0.165
ANKRD44-AS1	-0.165937	0.0444
ANKRD45	-0.0972807	0.293
ANKRD46	-0.1210721	0.0286
ANKRD49	-0.0630475	0.268
ANKRD50	-0.1055276	0.202
ANKRD52	0.1284025	0.00227
ANKRD53	-0.0253195	0.622
ANKRD54	-0.0187428	0.757
ANKRD6	0.024358	0.607
ANKRD61	0.5255834	0.0015
ANKRD62P1-PARP4P3	0.3794828	0.0531
ANKRD65	0.0215144	0.721
ANKRD65-AS1	0.0062634	0.937
ANKRD66	-0.0627701	0.461
ANKRD9	-0.1680533	0.0355
ANKS1A	0.0741931	0.0503
ANKS1B	0.0671636	0.233
ANKS3	0.0981797	0.196
ANKS6	0.182152	0.00322
ANKUB1	0.0795816	0.373
ANKZF1	0.1865886	0.00146
ANLN	-0.3056714	0.21
ANO1	-0.1171138	0.585
ANO10	-0.2946363	0.00459
ANO2	0.2444244	0.257
ANO3	-0.0037525	0.967
ANO4	0.4426198	0.172
ANO5	-0.0347886	0.845
ANO6	-0.126169	0.0288
ANO7	-0.0362234	0.709
ANO7L1	0.2495349	0.0444
ANO8	0.1239087	0.287
ANO9	0.1138251	0.343
ANOS1	-0.0115844	0.925
ANP32A	-0.1219332	0.00581
ANP32A-IT1	0.664129	0.00517
ANP32AP1	0.036913	0.765
ANP32B	-0.0875257	0.0692
ANP32E	-0.0857881	0.198
ANPEP	0.0940307	0.573
ANTKMT	-0.0150397	0.891
ANTXR1	-0.07194	0.378
ANTXR2	0.0110736	0.926
ANXA1	-0.2523289	0.000504
ANXA11	-0.1078401	0.0393
ANXA13	-0.0526064	0.907
ANXA2	-0.2137897	0.00196
ANXA2P1	-0.2000381	0.00736
ANXA2P2	-0.2078111	0.00183
ANXA2R	0.214346	0.0419
ANXA2R-AS1	0.2648241	0.0461
ANXA2R-OT1	0.0852864	0.492
ANXA3	-0.3702506	0.0227
ANXA4	-0.0379792	0.581
ANXA5	-0.1690761	0.0161
ANXA6	0.2949097	0.0357
ANXA7	-0.1677215	0.00273
ANXA8	-0.0734412	0.609
ANXA8L1	-0.0194812	0.9
ANXA9	0.1734965	0.00872
AOAH	0.1028534	0.594
AOC1	-0.2318221	0.392
AOC2	0.5710839	2.49e-05
AOC3	0.5399668	0.0338
AOPEP	0.0922113	0.256
AOX1	0.1850061	0.303
AP1AR	-0.1046247	0.0447
AP1B1	0.008992	0.834
AP1G1	-0.0030124	0.915
AP1G2	0.2668051	0.000984
AP1G2-AS1	0.2941522	0.000267
AP1M1	-0.0458592	0.411
AP1M2	-0.0787809	0.114
AP1S1	-0.2460543	0.00258
AP1S2	0.2120107	0.0298
AP1S3	-0.1344824	0.0301
AP2A1	0.0292367	0.464
AP2A2	0.0657274	0.0533
AP2B1	-0.1470136	0.165
AP2M1	-0.0520559	0.253
AP2S1	-0.2161319	0.0103
AP3B1	-0.1405325	0.0204
AP3B2	0.355386	0.00102
AP3D1	0.0592411	0.132
AP3M1	-0.132057	0.00295
AP3M2	-0.0134814	0.841
AP3S1	-0.2035904	0.00235
AP3S2	-0.1797446	0.0191
AP4B1	0.058336	0.377
AP4B1-AS1	0.1310003	0.0799
AP4E1	-0.0374159	0.431
AP4M1	0.0342097	0.475
AP4S1	-0.0375659	0.42
AP5B1	0.1889715	0.0256
AP5M1	-0.1107394	0.0136
AP5S1	-0.0259357	0.566
AP5Z1	0.0867931	0.119
APAF1	0.0438136	0.469
APBA1	-0.1115861	0.455
