ID	padj	P.Value	lfcSE	stat	logFC	baseMean	Gene.symbol	Gene.title
506	0.000421	1.13E-06	0.0462	-4.8680158	-0.2249444	15249.7	ATP5F1B	ATP synthase F1 subunit beta
9904	0.000421	7.32E-07	0.0617	4.9526033	0.3058125	1418.68	RBM19	RNA binding motif protein 19
6175	0.000421	1.16E-06	0.0841	-4.8623394	-0.4089408	27348.66	RPLP0	ribosomal protein lateral stalk subunit P0
2958	0.000421	8.92E-07	0.0598	-4.9140227	-0.2936156	1139.89	GTF2A2	general transcription factor IIA subunit 2
23524	0.000421	8.65E-07	0.0794	4.9201505	0.3907259	25959.13	SRRM2	serine/arginine repetitive matrix 2
6154	0.000421	5.78E-07	0.0763	-4.9984788	-0.3813833	10793.5	RPL26	ribosomal protein L26
6155	0.000421	1.13E-06	0.081	-4.8679443	-0.3942311	8055.13	RPL27	ribosomal protein L27
9496	0.000421	5.34E-07	0.3051	5.0136127	1.5298078	13.96	TBX4	T-box transcription factor 4
6169	0.000421	1.05E-06	0.0771	-4.8815908	-0.3764314	4995.34	RPL38	ribosomal protein L38
9667	0.000421	6.45E-07	0.0482	4.9771314	0.2400968	3049.69	SAFB2	scaffold attachment factor B2
25999	0.000421	7.15E-07	0.1005	4.9573326	0.4984068	38.5	CLIP3	CAP-Gly domain containing linker protein 3
23521	0.000421	4.13E-07	0.0767	-5.0628987	-0.3884567	36071.11	RPL13A	ribosomal protein L13a
105372782	0.000421	1.09E-06	0.173	4.8740863	0.8433039	36.51	LOC105372782	
107985556	0.000421	5.92E-07	0.1489	4.9937083	0.7434931	21.88	LOC107985556	
6233	0.000427	1.20E-06	0.0735	-4.8561928	-0.3567053	11785.8	RPS27A	ribosomal protein S27a
6173	0.000427	1.22E-06	0.0817	-4.85305	-0.3964271	1952.08	RPL36A	ribosomal protein L36a
101927979	0.000433	1.25E-06	0.0558	4.8469315	0.2706247	188.91	CAMTA2-AS1	CAMTA2 antisense RNA 1
200539	0.000434	1.28E-06	0.1014	4.8435621	0.4913375	523.48	ANKRD23	ankyrin repeat domain 23
438	0.000453	1.35E-06	0.0516	4.8316423	0.249391	124.35	ASMT	acetylserotonin O-methyltransferase
6201	0.000459	1.41E-06	0.071	-4.824226	-0.3424429	9104.33	RPS7	ribosomal protein S7
6208	0.000459	1.47E-06	0.0826	-4.8155769	-0.3976701	13576.15	RPS14	ribosomal protein S14
6206	0.000459	1.45E-06	0.0933	-4.8173467	-0.4494207	13122.43	RPS12	ribosomal protein S12
29123	0.000459	1.48E-06	0.0376	4.8141793	0.1811726	3928.9	ANKRD11	ankyrin repeat domain containing 11
90338	0.000459	1.45E-06	0.0625	4.8183812	0.3012954	1206.65	ZNF160	zinc finger protein 160
100529239	0.000463	1.51E-06	0.0809	-4.8097378	-0.3889862	4823.2	RPS10-NUDT3	RPS10-NUDT3 readthrough
6218	0.000463	1.53E-06	0.0776	-4.807034	-0.3730452	12034.26	RPS17	ribosomal protein S17
26505	0.000472	1.61E-06	0.0442	4.7971686	0.2120559	2466.47	CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3
1933	0.000472	1.63E-06	0.0737	-4.7951495	-0.3536387	5093.43	EEF1B2	eukaryotic translation elongation factor 1 beta 2
90673	0.000472	1.62E-06	0.0697	4.7963231	0.3342206	784.69	PPP1R3E	protein phosphatase 1 regulatory subunit 3E
6157	0.000476	1.66E-06	0.0822	-4.7904382	-0.3936363	13498.77	RPL27A	ribosomal protein L27a
100128770	0.000478	1.69E-06	0.098	4.7871012	0.4693139	945.3	LOC100128770	uncharacterized LOC100128770
53632	0.000493	1.89E-06	0.2121	4.7647132	1.0104686	12.83	PRKAG3	protein kinase AMP-activated non-catalytic subunit gamma 3
6164	0.000493	1.88E-06	0.0817	-4.7662087	-0.3895604	8203.33	RPL34	ribosomal protein L34
689	0.000493	1.88E-06	0.06	-4.7659377	-0.2859152	8101.18	BTF3	basic transcription factor 3
6222	0.000493	1.93E-06	0.0966	-4.7610447	-0.4597521	18352.42	RPS18	ribosomal protein S18
105375457	0.000493	1.91E-06	0.1494	4.7626414	0.7116655	13.99	LOC105375457	uncharacterized LOC105375457
6156	0.000493	1.83E-06	0.0822	-4.7715436	-0.3923366	10716.06	RPL30	ribosomal protein L30
3646	0.000493	1.87E-06	0.0604	-4.7665778	-0.2881003	4482.85	EIF3E	eukaryotic translation initiation factor 3 subunit E
101928824	0.000493	1.82E-06	0.085	4.7722011	0.4055289	82.71	LOC101928824	uncharacterized LOC101928824
387841	0.000501	2.02E-06	0.094	-4.7513491	-0.4465924	59.17	RPL13AP20	ribosomal protein L13a pseudogene 20
1337	0.000501	2.02E-06	0.0722	-4.7509261	-0.3429544	5042.47	COX6A1	cytochrome c oxidase subunit 6A1
254863	0.000501	2.02E-06	0.0737	-4.7510692	-0.3499187	581.3	TMEM256	transmembrane protein 256
6204	0.000501	2.07E-06	0.09	-4.7465342	-0.4270748	4248.15	RPS10	ribosomal protein S10
100996660	0.000501	2.07E-06	0.0984	4.7463566	0.4671865	53.5	LOC100996660	uncharacterized LOC100996660
6632	0.000517	2.16E-06	0.0577	-4.7377985	-0.2734832	1288.47	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide
4697	0.00052	2.20E-06	0.0682	-4.7342571	-0.3227226	4514.01	NDUFA4	NDUFA4 mitochondrial complex associated
518	0.000521	2.31E-06	0.0616	-4.7245478	-0.2910499	3070.91	ATP5MC3	ATP synthase membrane subunit c locus 3
340654	0.000521	2.34E-06	0.2315	-4.7219571	-1.0930614	11.28	LIPM	lipase family member M
55860	0.000521	2.38E-06	0.0428	-4.7182352	-0.2021473	1841.99	ACTR10	actin related protein 10
6124	0.000521	2.28E-06	0.0637	-4.7268793	-0.3012346	27057.69	RPL4	ribosomal protein L4
84138	0.000521	2.39E-06	0.0495	4.7172106	0.2335991	1695.46	SLC7A6OS	solute carrier family 7 member 6 opposite strand
27335	0.000521	2.33E-06	0.0573	-4.7225984	-0.2704657	3631.51	EIF3K	eukaryotic translation initiation factor 3 subunit K
107983998	0.000521	2.38E-06	0.0961	4.7185706	0.4536698	274.54	LOC107983998	uncharacterized LOC107983998
107985564	0.000521	2.40E-06	0.1215	4.716819	0.5730662	21.26	EFCAB6-DT	EFCAB6 divergent transcript
1329	0.000523	2.43E-06	0.0762	-4.7142519	-0.3590154	3049.99	COX5B	cytochrome c oxidase subunit 5B
6235	0.000526	2.47E-06	0.0914	-4.7109689	-0.430678	6536.32	RPS29	ribosomal protein S29
55486	0.00053	2.53E-06	0.049	-4.7053858	-0.230632	1239.64	PARL	presenilin associated rhomboid like
7411	0.00053	2.51E-06	0.049	-4.7069401	-0.230444	831.46	VBP1	VHL binding protein 1
116541	0.00054	2.61E-06	0.0788	-4.699675	-0.3704257	1051.95	MRPL54	mitochondrial ribosomal protein L54
25873	0.000543	2.64E-06	0.0829	-4.6966444	-0.3894551	6121.99	RPL36	ribosomal protein L36
51118	0.000558	2.87E-06	0.0471	-4.6795743	-0.2205548	676.31	UTP11	UTP11 small subunit processome component
10971	0.000558	2.80E-06	0.0485	-4.6850734	-0.2270084	5859.53	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
6229	0.000558	2.85E-06	0.0782	-4.681071	-0.3662752	17160.23	RPS24	ribosomal protein S24
440248	0.000558	2.78E-06	0.0882	4.6864343	0.4134475	811.95	HERC2P9	HERC2 pseudogene 9
107984877	0.000558	2.86E-06	0.2226	4.6808916	1.0419514	88.72	LOC107984877	uncharacterized LOC107984877
10476	0.000558	2.80E-06	0.0638	-4.6847393	-0.2991006	2579.04	ATP5PD	ATP synthase peripheral stalk subunit d
100287932	0.000562	2.92E-06	0.0583	-4.6764788	-0.2727522	1506.47	TIMM23	translocase of inner mitochondrial membrane 23
6188	0.000569	3.01E-06	0.0789	-4.6703225	-0.3686557	15502.82	RPS3	ribosomal protein S3
107984974	0.000569	2.99E-06	0.0811	-4.6716319	-0.3789056	4420.46	LOC107984974	SMAD specific E3 ubiquitin protein ligase 2 (SMURF2) pseudogene
2145	0.000572	3.05E-06	0.0512	4.6676032	0.2389032	2616.52	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit
6142	0.000579	3.12E-06	0.0848	-4.6630673	-0.3952521	10581.45	RPL18A	ribosomal protein L18a
55837	0.000588	3.19E-06	0.0532	-4.6582145	-0.2479504	1503.01	EAPP	E2F associated phosphoprotein
6232	0.000605	3.31E-06	0.0819	-4.6506013	-0.3806581	13703.62	RPS27	ribosomal protein S27
6143	0.000609	3.36E-06	0.069	-4.6475795	-0.320895	18537.84	RPL19	ribosomal protein L19
6125	0.000627	3.52E-06	0.0666	-4.6381247	-0.3088099	13313.96	RPL5	ribosomal protein L5
100506142	0.000627	3.60E-06	0.1427	4.6331823	0.6610571	14.72	RHOQ-AS1	RHOQ antisense RNA 1
105372380	0.000627	3.59E-06	0.1154	4.6339499	0.5348888	24.26	LOC105372380	uncharacterized LOC105372380
6633	0.000627	3.56E-06	0.0808	-4.6357362	-0.374675	2457.79	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide
51248	0.000627	3.55E-06	0.055	-4.6362324	-0.2549851	939.56	PDZD11	PDZ domain containing 11
6147	0.000633	3.69E-06	0.0724	-4.6279415	-0.3348715	11266.99	RPL23A	ribosomal protein L23a
6203	0.000633	3.69E-06	0.0832	-4.6279401	-0.3848258	14887.63	RPS9	ribosomal protein S9
6635	0.000639	3.91E-06	0.0613	-4.6162547	-0.2828856	985.9	SNRPE	small nuclear ribonucleoprotein polypeptide E
10466	0.000639	3.87E-06	0.0381	-4.6183527	-0.1757691	2172.5	COG5	component of oligomeric golgi complex 5
105378571	0.000639	3.89E-06	0.127	4.6172508	0.5864666	292.81	LOC105378571	uncharacterized LOC105378571
10418	0.000639	3.83E-06	0.1628	4.6204767	0.7523835	37.17	SPON1	spondin 1
83758	0.000639	3.86E-06	0.1367	4.6189112	0.6312008	96.57	RBP5	retinol binding protein 5
105376789	0.000639	3.85E-06	0.2617	4.619261	1.2088331	13.36	LOC105376789	uncharacterized LOC105376789
2589	0.000646	3.98E-06	0.0763	-4.6124569	-0.3519582	2286.97	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1
4926	0.000648	4.04E-06	0.0412	4.6092086	0.1899147	10128.95	NUMA1	nuclear mitotic apparatus protein 1
7386	0.000648	4.05E-06	0.0599	-4.6086896	-0.275862	2111.9	UQCRFS1	"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"
160298	0.000649	4.10E-06	0.1362	4.6062947	0.6273612	167.5	C11orf42	chromosome 11 open reading frame 42
100507373	0.000649	4.12E-06	0.0671	4.6053726	0.3090629	141.28	ADGRL1-AS1	ADGRL1 antisense RNA 1
83849	0.000657	4.20E-06	0.1056	4.6013293	0.4860302	42	SYT15	synaptotagmin 15
286053	0.000679	4.40E-06	0.054	-4.5915104	-0.2479952	427.65	NSMCE2	"NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase"
84833	0.000679	4.38E-06	0.0737	-4.5923024	-0.3384073	1337.59	ATP5MK	ATP synthase membrane subunit k
107985221	0.000688	4.49E-06	0.1585	4.5873895	0.7272884	39.96	LOC107985221	uncharacterized LOC107985221
6205	0.000701	4.61E-06	0.072	-4.5818687	-0.3297185	21998.12	RPS11	ribosomal protein S11
730234	0.000705	4.67E-06	0.1551	4.5791812	0.7102227	43.82	LOC730234	uncharacterized LOC730234
10399	0.000711	4.76E-06	0.0617	-4.5750656	-0.2824148	16294.53	RACK1	receptor for activated C kinase 1
10632	0.000711	4.77E-06	0.0641	-4.5745764	-0.2930933	3768.26	ATP5MG	ATP synthase membrane subunit g
1350	0.000715	4.83E-06	0.0738	-4.5721293	-0.3374711	5721.54	COX7C	cytochrome c oxidase subunit 7C
4013	0.00072	4.94E-06	0.0451	-4.5674765	-0.2061198	3569.19	VWA5A	von Willebrand factor A domain containing 5A
6227	0.00072	4.96E-06	0.0892	-4.566341	-0.4071846	4780.56	RPS21	ribosomal protein S21
106632264	0.00072	4.91E-06	0.4162	-4.5687085	-1.9014625	11056.77	RNA28SN1	"RNA, 28S ribosomal N1"
9057	0.000744	5.16E-06	0.0584	4.5581288	0.2659671	2646.43	SLC7A6	solute carrier family 7 member 6
7178	0.000746	5.21E-06	0.0879	-4.5561197	-0.4006563	55721.71	TPT1	"tumor protein, translationally-controlled 1"
10412	0.000768	5.40E-06	0.0676	-4.5486416	-0.3076511	1640.32	NSA2	NSA2 ribosome biogenesis factor
401397	0.000784	5.70E-06	0.0644	-4.5374032	-0.2920798	740.63	SMIM30	small integral membrane protein 30
6132	0.000784	5.58E-06	0.074	-4.5416489	-0.3358779	21751.86	RPL8	ribosomal protein L8
101930307	0.000784	5.67E-06	0.1206	4.5383538	0.5472506	545.13	LOC101930307	
6139	0.000784	5.63E-06	0.0731	-4.5397053	-0.3320611	5246.24	RPL17	ribosomal protein L17
100008589	0.000784	5.64E-06	0.4124	-4.5396286	-1.8723224	29453.06	RNA28SN5	"RNA, 28S ribosomal N5"
1345	0.00079	5.93E-06	0.0716	-4.5287423	-0.324297	2648.18	COX6C	cytochrome c oxidase subunit 6C
79009	0.00079	5.92E-06	0.0382	-4.529317	-0.1732123	1212.06	DDX50	DExD-box helicase 50
644215	0.00079	5.92E-06	0.0963	4.5290988	0.4362694	38.66	LOC644215	uncharacterized LOC644215
6144	0.00079	5.83E-06	0.0806	-4.5323345	-0.3654283	6086.18	RPL21	ribosomal protein L21
57649	0.00079	5.82E-06	0.0305	4.5327821	0.1382497	1574.48	PHF12	PHD finger protein 12
1349	0.00079	5.95E-06	0.071	-4.5280132	-0.3213405	2445.34	COX7B	cytochrome c oxidase subunit 7B
27258	0.000793	6.05E-06	0.0716	-4.5245336	-0.3238591	1083.53	LSM3	"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated"
6187	0.000793	6.12E-06	0.0776	-4.5221442	-0.3507834	16747.06	RPS2	ribosomal protein S2
9349	0.000793	6.01E-06	0.0732	-4.525939	-0.3314914	9925.86	RPL23	ribosomal protein L23
91355	0.000793	6.12E-06	0.119	4.5223687	0.5379639	228.65	LRP5L	LDL receptor related protein 5 like (pseudogene)
58496	0.000799	6.21E-06	0.1203	4.519218	0.5436505	188.52	LY6G5B	lymphocyte antigen 6 family member G5B
54205	0.000799	6.24E-06	0.0714	-4.5179234	-0.3227539	2400.98	CYCS	"cytochrome c, somatic"
9553	0.000799	6.30E-06	0.0687	-4.5161333	-0.3103986	1066.51	MRPL33	mitochondrial ribosomal protein L33
6181	0.000799	6.32E-06	0.0829	-4.5154172	-0.3742506	9309.65	RPLP2	ribosomal protein lateral stalk subunit P2
107984210	0.000823	6.55E-06	0.1424	4.5077754	0.641787	179.25	LOC107984210	uncharacterized LOC107984210
3748	0.000823	6.59E-06	0.1414	4.5066738	0.6371957	164.47	KCNC3	potassium voltage-gated channel subfamily C member 3
23383	0.000828	6.66E-06	0.0393	4.5042723	0.1770252	2924.34	MAU2	MAU2 sister chromatid cohesion factor
6167	0.000832	6.74E-06	0.0809	-4.501669	-0.364385	10364.46	RPL37	ribosomal protein L37
285672	0.000832	6.77E-06	0.0498	-4.5007356	-0.2240323	979.31	SREK1IP1	SREK1 interacting protein 1
51138	0.000847	6.93E-06	0.0511	-4.4959523	-0.229611	1171.43	COPS4	COP9 signalosome subunit 4
100131193	0.000847	6.99E-06	0.0943	4.4939519	0.4237881	170.14	CCDC183-AS1	CCDC183 antisense RNA 1
10935	0.000847	7.00E-06	0.0504	-4.4935898	-0.226586	5350.19	PRDX3	peroxiredoxin 3
51018	0.000847	7.04E-06	0.0504	-4.492375	-0.2264516	515.19	RRP15	ribosomal RNA processing 15 homolog
81629	0.000851	7.18E-06	0.0969	4.4883354	0.4349217	227.63	TSSK3	testis specific serine kinase 3
4711	0.000851	7.15E-06	0.0503	-4.4892163	-0.2258295	2368.75	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5
100500804	0.000851	7.19E-06	0.0754	-4.4878716	-0.3382745	1549.3	MIR3654	microRNA 3654
55268	0.000859	7.44E-06	0.0968	4.4805681	0.4338237	4062.48	ECHDC2	enoyl-CoA hydratase domain containing 2
7701	0.000859	7.34E-06	0.0486	4.4835506	0.2178721	952.43	ZNF142	zinc finger protein 142
154791	0.000859	7.35E-06	0.0678	-4.4833263	-0.3037808	291.49	FMC1	formation of mitochondrial complex V assembly factor 1 homolog
29088	0.000859	7.43E-06	0.065	-4.4809588	-0.2914656	709.85	MRPL15	mitochondrial ribosomal protein L15
440104	0.000859	7.46E-06	0.0882	4.4800916	0.3953649	1138.39	TMEM198B	transmembrane protein 198B (pseudogene)
4725	0.00087	7.63E-06	0.081	-4.4751761	-0.3624884	2246.79	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5
7248	0.00087	7.67E-06	0.0589	4.4740959	0.2637099	2239.63	TSC1	TSC complex subunit 1
219771	0.00087	7.64E-06	0.0496	-4.4749274	-0.2218146	2805.19	CCNY	cyclin Y
51639	0.000877	7.78E-06	0.0541	-4.4712122	-0.2420318	1465.02	SF3B6	splicing factor 3b subunit 6
790	0.000888	7.99E-06	0.0505	4.465513	0.2253573	1186.29	CAD	"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
441273	0.000888	7.95E-06	0.1571	4.4664039	0.7015853	154.61	SPDYE2	speedy/RINGO cell cycle regulator family member E2
7381	0.000888	8.04E-06	0.067	-4.4640396	-0.2991174	3465.13	UQCRB	ubiquinol-cytochrome c reductase binding protein
1327	0.000888	8.01E-06	0.0665	-4.4648225	-0.2969102	5551.27	COX4I1	cytochrome c oxidase subunit 4I1
51258	0.000902	8.29E-06	0.0653	-4.4576076	-0.2911408	1894.55	MRPL51	mitochondrial ribosomal protein L51
4666	0.000902	8.28E-06	0.0553	-4.4577443	-0.2464965	10278.87	NACA	nascent polypeptide associated complex subunit alpha
4826	0.000902	8.28E-06	0.1081	4.4577993	0.4819778	62.06	NNAT	neuronatin
8802	0.000903	8.39E-06	0.0435	-4.4548685	-0.1938205	1721.64	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha
4708	0.000903	8.55E-06	0.0777	-4.4509939	-0.3460196	1686.64	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2
50832	0.000903	8.50E-06	0.186	4.4522035	0.8280487	23.1	TAS2R4	taste 2 receptor member 4
4718	0.000903	8.46E-06	0.0595	-4.4532371	-0.2649478	1516.61	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2
113218487	0.000903	8.42E-06	0.0826	-4.4542374	-0.3678277	2144.13	MIR10394	microRNA 10394
4733	0.000903	8.51E-06	0.0475	-4.451876	-0.2115832	1236.93	DRG1	developmentally regulated GTP binding protein 1
9853	0.000908	8.64E-06	0.0686	4.4485586	0.3052032	649.14	RUSC2	RUN and SH3 domain containing 2
7385	0.000908	8.68E-06	0.0395	-4.4476005	-0.1755583	3968.23	UQCRC2	ubiquinol-cytochrome c reductase core protein 2
101929008	0.000912	8.76E-06	0.1371	4.4457456	0.6093868	122.8	GTF2IP13	general transcription factor IIi pseudogene 13
4780	0.000919	8.93E-06	0.0598	-4.4416054	-0.2655779	9767.02	NFE2L2	NFE2 like bZIP transcription factor 2
708	0.000919	8.95E-06	0.0508	-4.4411094	-0.2256968	1999.81	C1QBP	complement C1q binding protein
101928055	0.000919	8.95E-06	0.1243	4.4411665	0.5519855	329.89	LOC101928055	replaced by ID 101928032
25879	0.000925	9.22E-06	0.0548	-4.4346162	-0.2431857	961.83	DCAF13	DDB1 and CUL4 associated factor 13
118490	0.000925	9.08E-06	0.1266	4.4379542	0.5617088	76.17	MSS51	MSS51 mitochondrial translational activator
100526842	0.000925	9.17E-06	0.0693	-4.4359605	-0.307348	6450.11	RPL17-C18orf32	RPL17-C18orf32 readthrough
6122	0.000925	9.23E-06	0.0711	-4.4345487	-0.3151695	39305.84	RPL3	ribosomal protein L3
9203	0.000925	9.12E-06	0.0546	4.4371597	0.2422881	2454.04	ZMYM3	zinc finger MYM-type containing 3
25913	0.000927	9.29E-06	0.0379	-4.4330782	-0.1681901	636.01	POT1	protection of telomeres 1
6138	0.000929	9.35E-06	0.0648	-4.4317593	-0.2873296	19998.82	RPL15	ribosomal protein L15
134492	0.000948	9.59E-06	0.0414	-4.4263241	-0.1831735	925.12	NUDCD2	NudC domain containing 2
6137	0.000948	9.63E-06	0.0845	-4.4252929	-0.3740852	23518.4	RPL13	ribosomal protein L13
105374838	0.000949	9.70E-06	0.1321	4.4236893	0.5844888	39.6	LOC105374838	
107984421	0.000949	9.73E-06	0.1112	4.4230826	0.4918322	137.62	LOC107984421	uncharacterized LOC107984421
1915	0.00096	9.90E-06	0.0681	-4.4194386	-0.3007535	194788.57	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
6224	0.00096	9.96E-06	0.0793	-4.4179933	-0.3505581	13474.98	RPS20	ribosomal protein S20
100532726	0.00096	9.99E-06	0.0656	-4.4174581	-0.2898887	1232.46	NDUFC2-KCTD14	NDUFC2-KCTD14 readthrough
56180	0.00096	1.00E-05	0.0452	-4.4169235	-0.1997728	611.98	MOSPD1	motile sperm domain containing 1
26828	0.000988	1.04E-05	0.2033	4.4096893	0.8966731	21.29	RNU5F-1	"RNA, U5F small nuclear 1"
146212	0.001003	1.06E-05	0.1805	4.4054638	0.795234	14.5	KCTD19	potassium channel tetramerization domain containing 19
283149	0.001003	1.06E-05	0.0721	4.4044371	0.3177396	3027.73	BCL9L	BCL9 like
79031	0.001004	1.07E-05	0.0611	-4.4033098	-0.2689376	733.88	PDCL3	phosducin like 3
54935	0.001014	1.09E-05	0.0736	-4.3992742	-0.3236976	634.9	DUSP23	dual specificity phosphatase 23
6223	0.001014	1.08E-05	0.0854	-4.3995291	-0.3758527	9761.78	RPS19	ribosomal protein S19
51121	0.00102	1.10E-05	0.0626	-4.3962709	-0.2751393	800.03	RPL26L1	ribosomal protein L26 like 1
107984220	0.00102	1.10E-05	0.1181	4.3965137	0.5191109	35.17	LOC107984220	uncharacterized LOC107984220
126969	0.00103	1.12E-05	0.0837	-4.3929802	-0.3678506	1061.36	SLC44A3	solute carrier family 44 member 3
7334	0.00103	1.13E-05	0.057	-4.3912567	-0.2504699	2819.11	UBE2N	ubiquitin conjugating enzyme E2 N
90843	0.00103	1.12E-05	0.0849	-4.3919192	-0.3728124	931.15	TCEAL8	transcription elongation factor A like 8
