Updated.gene.symbol	logFC	P.Value
CDKN3	-3.31	3.4e-33
MAGEA6	-3.31	5.18e-10
FERMT1	-3.3	1.7e-27
KIF2C	-3.29	7.48e-39
UBE2T	-3.28	2.52e-38
CCNA2	-3.25	3.45e-35
BUB1	-3.23	1.45e-38
UCHL1	-3.23	5.42e-17
CA12	-3.22	6.42e-17
SIX1	-3.22	3.16e-24
PITX1	-3.21	2.23e-20
FOXM1	-3.19	3.53e-31
FAM83B	-3.17	3.29e-15
CDH3	-3.16	1.44e-25
HS6ST2	-3.14	1.74e-20
LINC00511	-3.14	3.12e-33
NUSAP1	-3.14	5.17e-31
POSTN	-3.14	9.32e-16
TRIP13	-3.1	1.34e-29
ECT2	-3.09	4.65e-33
CFAP251	-3.07	8.56e-16
DAPL1	-3.06	1.18e-09
AK4	-3.04	2.96e-30
MMP10	-3.03	1.59e-08
KIF11	-3.02	2.27e-32
KIF4A	-3.01	8.22e-36
TK1	-3.01	5.75e-41
PRR11	-3	2.73e-35
HMGA2	-2.99	1.48e-13
MCM2	-2.98	4.09e-35
MMP11	-2.96	1.42e-20
PI3	-2.96	9.8e-10
AURKA	-2.94	3.07e-32
CKMT1B	-2.92	2.1e-15
CXCL13	-2.92	5.17e-11
NDC80	-2.91	4.73e-32
ZWINT	-2.91	1.51e-33
CEACAM5	-2.9	2.63e-10
KIF20A	-2.86	1.8e-35
THBS2	-2.85	3.31e-20
CCN4	-2.84	2.35e-19
NUF2	-2.83	1.47e-30
HMGB3	-2.81	4.33e-29
NMU	-2.81	1.08e-14
DSG2	-2.8	9.9e-27
BMAL2	-2.79	1.76e-17
CENPU	-2.76	4.96e-28
SESN3	-2.76	8.21e-14
IRF6	-2.75	2.99e-18
FNDC1	-2.74	2.85e-18
DEPDC1	-2.73	4.7e-31
FBXO32	-2.73	1.18e-33
LYPD3	-2.73	1.8e-14
SRD5A1	-2.73	7.72e-27
KIF23	-2.72	2.14e-27
MKI67	-2.72	9.21e-33
ADAMDEC1	-2.71	5.35e-14
GINS2	-2.71	2.64e-32
RMI2	-2.7	5.31e-29
FANCI	-2.69	4.97e-30
FOXE1	-2.69	1.19e-10
FAM72C	-2.68	2.41e-25
PLPP2	-2.67	7.74e-28
ERO1A	-2.66	1.53e-28
HMMR	-2.66	4.31e-32
GBP6	-2.65	4.85e-11
IGFBP3	-2.65	6.13e-18
RFC4	-2.65	6.09e-29
OIP5	-2.64	1.16e-23
AURKB	-2.63	2.05e-29
CDC45	-2.63	1.64e-27
CDCA3	-2.63	4e-32
IGSF9	-2.63	2.73e-24
LGALS7	-2.62	1.66e-10
HJURP	-2.61	6e-35
COCH	-2.6	1.02e-12
KIF14	-2.6	6.12e-35
PERP	-2.6	5.45e-21
COL1A2	-2.58	2.29e-20
PRAME	-2.58	8.88e-13
GTSE1	-2.57	1.35e-26
MCM10	-2.57	3.14e-25
SPOCK1	-2.57	9.67e-17
ATAD2	-2.56	1.12e-30
CDCA5	-2.56	6.21e-32
EZH2	-2.56	9.35e-26
IGFBP2	-2.56	5.35e-16
SERPINB4	-2.56	3.31e-10
ZNF750	-2.56	1.14e-12
COL5A2	-2.55	3.07e-20
BNC1	-2.54	3.96e-11
SLC7A11	-2.53	3.43e-12
UPK1B	-2.53	3.14e-07
BCL11A	-2.52	1.94e-14
LY6K	-2.52	3.24e-12
LINC01133	-2.51	1.71e-09
RPL39L	-2.51	1.32e-27
PLOD2	-2.5	1.9e-26
TMEM158	-2.5	5.86e-14
PTTG1	-2.49	8.4e-29
TYMS	-2.49	2.21e-29
FGFBP1	-2.48	2.08e-10
MCM4	-2.48	4.98e-28
SPAG5	-2.48	4.23e-30
CHEK1	-2.47	1.56e-30
VSNL1	-2.47	1.26e-10
COL3A1	-2.46	3.36e-17
NCAPG	-2.46	1.04e-28
PAICS	-2.46	1.05e-32
APOBEC3B	-2.44	4.58e-16
CENPN	-2.44	6.99e-26
LGR4	-2.44	2.07e-32
MAGED4B	-2.44	1.04e-20
CCDC34	-2.43	4.76e-31
CD24	-2.43	3.07e-16
LY6D	-2.42	1.09e-08
NQO1	-2.42	4.04e-16
DUXAP10	-2.41	5.1e-17
GCLC	-2.4	8.72e-17
CDC6	-2.39	5.93e-24
SELENOI	-2.39	9.45e-26
KNL1	-2.39	1.08e-25
SLC16A1	-2.37	8.42e-16
CRABP2	-2.36	2.13e-16
KIF26B	-2.36	8.51e-23
MELTF	-2.36	4.71e-19
SLC7A5	-2.36	2.75e-20
RHCG	-2.35	8.71e-09
COL12A1	-2.34	2.36e-13
HELLS	-2.34	3.49e-25
ANKRD22	-2.33	9.91e-18
CENPE	-2.33	2.54e-32
CLDN1	-2.33	4.04e-10
RAD51AP1	-2.32	5.47e-25
UGT8	-2.32	4.19e-13
COL5A1	-2.31	2.3e-18
GPT2	-2.31	9.66e-22
SERPINE2	-2.3	2.62e-17
ECE2	-2.29	1.91e-26
ESRP1	-2.29	3e-26
STEAP1	-2.29	7.56e-17
CDCA8	-2.28	4.44e-30
CP	-2.28	1.34e-07
IVL	-2.28	1.58e-10
NCAPH	-2.27	1.61e-27
PFN2	-2.27	3.27e-20
TRIM59	-2.27	4.34e-26
ADH7	-2.26	7.17e-09
C15orf48	-2.26	1.17e-11
DTL	-2.26	9.65e-21
FAP	-2.26	1.1e-16
ULBP2	-2.26	3.47e-12
ATP11B	-2.25	6.23e-21
EGLN3	-2.25	9.41e-15
AHNAK2	-2.24	6.27e-14
CST1	-2.24	2.29e-11
CTTN	-2.24	1.34e-15
F12	-2.24	1.23e-23
GRHL1	-2.24	1.34e-12
HMGB3P1	-2.24	3.33e-28
LRRC15	-2.24	3.3e-13
PLAU	-2.24	3.61e-16
BMP7	-2.23	1.9e-10
TENM2	-2.23	3.18e-08
ENO1	-2.22	2.56e-15
PLAAT1	-2.22	4.56e-14
PPAT	-2.22	2.3e-22
FEN1	-2.2	5.89e-31
LOX	-2.2	2.41e-13
MMP3	-2.2	2.64e-09
ADAMTS12	-2.19	5.39e-21
CDT1	-2.19	1.04e-23
FAM83A	-2.19	1.62e-12
FAM83F	-2.19	4.94e-16
PIGX	-2.19	6.13e-19
CENPW	-2.18	4.54e-20
FOXD1	-2.18	8.51e-11
FSCN1	-2.18	1.72e-19
ALDH3B2	-2.17	8.52e-15
INAVA	-2.17	9.47e-26
IL20RB	-2.16	1.85e-09
KIF15	-2.16	4.97e-27
PROM2	-2.16	3.99e-14
CERS6	-2.15	2.59e-21
GGH	-2.15	8.77e-20
KRTDAP	-2.15	3.06e-06
PTGFRN	-2.15	5.16e-21
MXRA5	-2.14	1.86e-16
HORMAD1	-2.13	2.2e-11
KCTD1	-2.13	3.05e-15
SUSD4	-2.13	6.81e-13
RASEF	-2.12	8.86e-16
SCG5	-2.12	2.3e-13
LAPTM4B	-2.11	1.24e-18
UCK2	-2.11	2.49e-19
SFN	-2.11	7.58e-12
SPC25	-2.11	3.93e-22
EXO1	-2.1	4.2e-27
SHMT2	-2.1	9.21e-30
E2F8	-2.09	1.5e-24
SIX4	-2.09	1.33e-24
ITGB4	-2.08	1.67e-14
CXCL6	-2.07	1.46e-07
FIGNL1	-2.07	2.66e-29
GJB3	-2.07	2.88e-14
SLC1A4	-2.07	1.32e-23
STIL	-2.07	8.72e-28
CCNE2	-2.06	2.99e-24
E2F7	-2.06	7.83e-18
FAM83C	-2.06	2.39e-09
BAIAP2L1	-2.05	2.79e-28
DLX5	-2.05	2.6e-12
NETO2	-2.05	2.75e-22
NMRAL2P	-2.05	6.96e-08
RACGAP1	-2.05	5.38e-30
UGT1A8	-2.05	3.48e-08
NCAPG2	-2.04	3.41e-25
FST	-2.03	5.79e-08
MMP9	-2.03	1.35e-15
SRPX2	-2.03	2.39e-20
TIMELESS	-2.03	1.42e-30
TMEM117	-2.03	4.56e-15
UBE2S	-2.03	2.39e-19
CTSV	-2.02	1.14e-18
MAGEA4	-2.02	3.04e-07
NCAPD2	-2.02	1.67e-25
PCDH7	-2.02	2.86e-14
POLE2	-2.02	9.48e-24
BRIP1	-2.01	7.9e-24
TNFRSF21	-2.01	1.21e-16
ANP32E	-2	5.28e-32
GALNT14	-2	4.11e-14
NCALD	-2	5.62e-14
P3H4	-2	1.87e-25
RAD51	-2	3.04e-22
ABCC5	-1.99	9.52e-16
KPNA2	-1.99	7.3e-31
MSH6	-1.99	9.63e-19
TMPRSS11D	-1.99	4.9e-09
CNFN	-1.98	6.26e-12
FRMD6	-1.98	5.07e-15
GJB5	-1.98	3.02e-14
MAGEA9	-1.98	4.83e-09
SERPINB2	-1.98	1.69e-05
NME1	-1.97	1.26e-32
SORD	-1.97	2.24e-20
TNC	-1.97	3.02e-12
CLDN10	-1.96	1.19e-08
GPC1	-1.96	2.95e-14
ALDH3A1	-1.95	5.78e-07
CALB1	-1.95	3.18e-06
DIO2	-1.95	8.07e-12
FAT2	-1.95	6.49e-12
HMGA1	-1.95	4.77e-23
NUP155	-1.95	4.81e-28
PI15	-1.95	3.96e-12
SLC4A11	-1.95	5.33e-11
TWIST1	-1.95	1.1e-10
HILPDA	-1.94	1.12e-15
LAD1	-1.94	3.48e-19
BOP1	-1.94	2.08e-21
SLC12A8	-1.94	7.42e-25
TENM4	-1.94	5.15e-22
DSC2	-1.93	3.52e-12
KLHL13	-1.93	8.99e-09
ABTB3	-1.92	3.87e-12
JUP	-1.92	2.98e-19
MUC4	-1.92	1.92e-07
NDC1	-1.92	1.87e-25
CEMIP	-1.91	2.03e-10
GOLM1	-1.91	6.6e-17
KDELR3	-1.91	2.23e-18
LCAL1	-1.91	1.2e-07
MLLT11	-1.91	8.02e-09
PFKP	-1.91	5.05e-26
ZIC2	-1.91	1.14e-12
CBLC	-1.9	3.9e-21
IGHM	-1.9	2.16e-06
THOC3	-1.9	8.54e-20
GPR15LG	-1.89	8.27e-09
GPX8	-1.89	4.4e-18
GRHL3	-1.89	1.34e-09
MYBL2	-1.89	2.37e-30
PAK1	-1.89	2.21e-19
SMC4	-1.89	9.46e-23
TMPRSS11E	-1.89	1.9e-08
VCAN	-1.89	7.46e-12
EIF4EBP1	-1.88	1.06e-21
EPHB3	-1.88	5.11e-24
LMNB2	-1.88	1.54e-22
SKP2	-1.88	1.32e-16
ABCB6	-1.87	2.59e-22
RNASEH2A	-1.87	4.62e-23
SHCBP1	-1.87	3.7e-27
SPINK1	-1.87	7.46e-05
TPBG	-1.87	3.36e-25
AKR1C1	-1.86	1.76e-07
PAFAH1B3	-1.86	3.24e-31
SGO2	-1.86	7.66e-23
TNS4	-1.86	2.5e-16
ZWILCH	-1.86	1.07e-18
CDCA2	-1.85	1.94e-24
CENPM	-1.85	1.7e-22
KLRK1-AS1	-1.85	4.52e-10
LYPD6B	-1.85	4.41e-15
P4HB	-1.85	2.84e-14
PDK1	-1.85	2.94e-24
SAPCD2	-1.85	4.85e-25
ARTN	-1.84	3e-11
CAPNS2	-1.84	2.34e-08
CENPH	-1.84	3.23e-20
COL17A1	-1.84	1.94e-14
FAM199X	-1.84	1.29e-20
MAGEA11	-1.84	4.01e-08
PLK1	-1.84	4.05e-28
MTFR2	-1.83	1.23e-16
OSMR	-1.83	3.66e-16
PDLIM4	-1.83	5.4e-15
SLC2A5	-1.83	1.39e-13
TSPAN6	-1.83	4.38e-23
BIK	-1.82	9.63e-15
CENPK	-1.82	8.6e-27
MCM7	-1.82	6.48e-23
MMP13	-1.82	3.31e-08
NDE1	-1.82	4.07e-21
PLD1	-1.82	1.7e-12
PYCR1	-1.82	3.35e-27
EPN3	-1.81	1.41e-23
PCAT6	-1.81	6.8e-24
B4GALT4	-1.8	1.23e-17
FBN2	-1.8	1.34e-05
JPT1	-1.8	1.08e-27
RRM1	-1.8	3.24e-17
SDC1	-1.8	1.86e-22
TMPO	-1.8	1.62e-28
CYP2S1	-1.79	3.52e-09
GAGE2C	-1.79	0.000165
KRT19	-1.79	1.63e-09
NUP50	-1.79	2.91e-18
PHGDH	-1.79	9.63e-14
SGPP2	-1.79	2.48e-12
TBL1XR1	-1.79	1.88e-17
TNPO1	-1.79	1.37e-28
ASNS	-1.78	1.45e-18
DEPDC1B	-1.78	1.19e-18
GDA	-1.78	4.93e-09
MAGEA1	-1.78	5.76e-08
MARK1	-1.78	2.25e-14
CBX2	-1.77	5.04e-14
AKR1C2	-1.77	6.99e-06
PPP2R2C	-1.77	1.9e-09
TPD52	-1.77	4.33e-21
ASF1B	-1.76	1.88e-26
KISS1R	-1.76	4.24e-10
MFAP2	-1.76	4.36e-15
CA9	-1.75	3.33e-14
CKS1B	-1.75	1.27e-26
MDK	-1.75	1.82e-17
FAXC	-1.74	2.24e-13
GAGE7	-1.74	0.000212
GSTA2	-1.74	0.000417
PRKDC	-1.74	3.73e-19
H2BC5	-1.73	2.16e-18
KIF18B	-1.73	1.64e-25
KIF2A	-1.73	3.09e-27
DUXAP8	-1.73	4.81e-18
MTCL1	-1.73	3.58e-13
SEMA4B	-1.73	2.12e-16
SOX15	-1.73	2.62e-11
C12orf56	-1.72	7.25e-13
ESPL1	-1.72	1.7e-26
FZD10	-1.72	1.49e-06
GAGE12I	-1.72	0.000253
LCN2	-1.72	5.22e-05
SMC2	-1.72	1.7e-18
TMEM132A	-1.72	4.03e-28
BDH1	-1.71	6.62e-15
CD109	-1.71	2.29e-12
COL7A1	-1.71	1.23e-13
LRATD1	-1.71	1.01e-06
TWF1	-1.71	7.5e-16
ATP2A2	-1.7	2.1e-30
CKAP2	-1.7	5.11e-19
SINHCAF	-1.7	7.04e-18
PTPRF	-1.7	1.12e-18
TROAP	-1.7	1.57e-24
BBOX1-AS1	-1.69	1.95e-12
CYP4F11	-1.69	2.56e-06
EHF	-1.69	1.39e-14
FAM83H	-1.69	2.32e-18
HOXA10	-1.69	2.62e-12
MAGEA12	-1.69	1.71e-06
MSH2	-1.69	3.78e-22
NOX4	-1.69	1.36e-14
RHOV	-1.69	2.12e-17
CDH1	-1.68	7.94e-13
DBF4	-1.68	1.85e-22
KLC3	-1.68	4.44e-17
PLPP4	-1.68	4.02e-15
SUV39H2	-1.68	3.58e-23
TFDP2	-1.68	2.08e-20
TMEM79	-1.68	4.7e-16
CNTNAP2	-1.67	5.8e-09
F2RL1	-1.67	1.01e-12
IGHV3-23	-1.67	4.44e-06
LOXL2	-1.67	6.12e-12
CALU	-1.66	6.88e-14
MAGEA5P	-1.66	1.38e-07
PGF	-1.66	2.37e-12
TMEM40	-1.66	6.88e-10
CABYR	-1.65	3.15e-13
EFNA4	-1.65	8.44e-32
GINS4	-1.65	6.61e-19
PAX9	-1.65	2.7e-09
RSRC1	-1.65	1.05e-16
SFRP2	-1.65	7.75e-07
AMMECR1	-1.64	1.24e-16
BRI3BP	-1.64	2.15e-19
DCUN1D1	-1.64	7.82e-15
DMRT2	-1.64	6.16e-06
IL36G	-1.64	3.76e-06
KRT80	-1.64	2.44e-13
MCM8	-1.64	2.81e-21
MIF	-1.64	1.24e-37
PALS2	-1.64	1.19e-17
PGM2L1	-1.64	1.4e-13
NHERF1	-1.64	2.1e-12
VTCN1	-1.64	1.46e-08
EPHX3	-1.63	8.46e-10
PIMREG	-1.63	3.23e-29
GAPDH	-1.63	1e-32
KLHL7	-1.63	1.91e-16
MMP14	-1.63	2.37e-17
WASF1	-1.63	1.24e-15
ACTL6A	-1.62	6.11e-24
ADAMTS2	-1.62	2.12e-10
ERVMER34-1	-1.62	1.88e-12
GRTP1	-1.62	8.51e-20
MND1	-1.62	7.56e-21
PSPH	-1.62	5.77e-17
RAD54B	-1.62	6.38e-17
TTLL12	-1.62	1.04e-18
DONSON	-1.61	4.95e-25
ELOVL6	-1.61	9.3e-14
GMNN	-1.61	9.15e-22
MFN1	-1.61	3.57e-19
MSI2	-1.61	4.03e-17
NET1	-1.61	8.62e-18
CDCA4	-1.6	8.3e-21
IGHA1	-1.6	2.63e-05
MTFR1	-1.6	5.18e-23
PPIF	-1.6	4.21e-13
RAB38	-1.6	2.89e-13
SEC61A1	-1.6	1.63e-16
TFAP2C	-1.6	3.55e-16
TMF1	-1.6	7.89e-19
BLM	-1.59	1.93e-19
IQGAP3	-1.59	1.53e-29
SERINC2	-1.59	2.9e-13
SLC16A9	-1.59	1.2e-09
TRIM2	-1.59	5.87e-17
AUNIP	-1.58	2.79e-21
HOXB7	-1.58	2.1e-11
HOXC10	-1.58	2.08e-09
MCAM	-1.58	1.47e-16
NPM3	-1.58	6.69e-18
SLC39A6	-1.58	2.13e-16
ADAM23	-1.57	1.98e-08
FIRRM	-1.57	1.68e-23
EYA2	-1.57	5.26e-10
ITGB8	-1.57	4.06e-08
KNOP1	-1.57	2.31e-27
LRP8	-1.57	1.04e-16
RALGPS2	-1.57	9.63e-26
TMTC3	-1.57	7.38e-19
WNT5A	-1.57	1.5e-08
XDH	-1.57	1.66e-11
GMPS	-1.56	4.82e-24
IGFBP5	-1.56	3.57e-10
KCNK1	-1.56	1.66e-14
KLK8	-1.56	4.6e-08
KNSTRN	-1.56	1.01e-16
KNTC1	-1.56	6.78e-31
KREMEN1	-1.56	3.76e-12
PGK1	-1.56	6.95e-18
CENPL	-1.55	6.62e-22
FAT1	-1.55	3.32e-16
GPI	-1.55	3.53e-24
KDM5B	-1.55	3.95e-28
MUC20	-1.55	1.14e-06
SPRR2C	-1.55	1.33e-06
TMEM177	-1.55	1.26e-25
TTC22	-1.55	4.18e-12
XXYLT1	-1.55	1.7e-15
ALDH18A1	-1.54	1.19e-24
BORA	-1.54	2.11e-23
CKAP4	-1.54	2.13e-23
DHCR7	-1.54	1.07e-10
GAGE4	-1.54	0.000279
GGCT	-1.54	3.63e-27
LAMB3	-1.54	1.2e-09
PPFIA1	-1.54	5.62e-11
PRSS2	-1.54	8.01e-07
TGFA	-1.54	3.65e-14
YKT6	-1.54	1.94e-20
ATP10B	-1.53	7.33e-12
BPIFA1	-1.53	0.000247
DNAH14	-1.53	3.55e-20
GCNT3	-1.53	9.76e-09
HSP90AB1	-1.53	3.6e-07
SKAP2	-1.53	5.67e-08
KPNA1	-1.53	1.93e-17
MCM6	-1.53	8.29e-31
MIS18A	-1.53	5.24e-24
MPZL1	-1.53	1.58e-19
PLK4	-1.53	9.34e-26
SOX4	-1.53	6.91e-18
A2ML1	-1.52	1.12e-06
COL4A6	-1.52	3.17e-06
GALNT7	-1.52	7.34e-17
ITGA2	-1.52	1.86e-10
LOC440934	-1.52	3.83e-12
MRAP2	-1.52	8.14e-07
NELL2	-1.52	9.32e-07
NUDT1	-1.52	1.08e-17
PDIA4	-1.52	4.8e-22
PKP3	-1.52	5.32e-19
SULF2	-1.52	2.31e-10
TMEM237	-1.52	1.48e-22
GAGE6	-1.51	0.000393
GALNT2	-1.51	1.05e-17
IGHD	-1.51	4.07e-05
OCIAD2	-1.51	7.89e-20
PTBP3	-1.51	4.43e-16
SFXN1	-1.51	2.89e-23
SGPL1	-1.51	6.94e-27
CCNE1	-1.5	2.29e-20
CDC25A	-1.5	1.37e-16
CPD	-1.5	1.89e-12
DLG5	-1.5	1.4e-22
FXR1	-1.5	1.13e-21
HSPA4L	-1.5	1.32e-13
OVOL1	-1.5	7.34e-15
PAWR	-1.5	5.48e-18
TDO2	-1.5	5.34e-06
CDKN2A	-1.49	1.38e-06
FBXO45	-1.49	1.84e-16
HOXA1	-1.49	2.63e-12
LEF1	-1.49	2.57e-16
LOC730101	-1.49	6.48e-08
NIPSNAP1	-1.49	4.71e-23
NLN	-1.49	1.59e-27
PDIA6	-1.49	7e-24
PPP1R14B	-1.49	7.02e-31
RGMA	-1.49	2.33e-08
H2AC25	-1.48	7.2e-13
LPAR3	-1.48	2.9e-09
MEST	-1.48	8.78e-14
NCBP2	-1.48	2.97e-21
NEFL	-1.48	2.7e-06
NGEF	-1.48	5.71e-19
PCDH19	-1.48	3.4e-07
PLEK2	-1.48	1.84e-15
RFC5	-1.48	7.56e-20
CELSR2	-1.47	2.82e-13
CENPI	-1.47	8.59e-18
EMC1	-1.47	6.19e-18
FUT2	-1.47	1.09e-16
FUT3	-1.47	9.94e-13
IGF2BP2	-1.47	3.85e-09
LRP12	-1.47	1.57e-15
NECTIN4	-1.47	2.78e-16
PAK6	-1.47	2.06e-17
PTK2	-1.47	2.1e-17
SDK1	-1.47	5.76e-15
LSP1P5	-1.46	1.57e-12
PMAIP1	-1.46	1.38e-11
PTGES	-1.46	6.51e-13
SLC44A5	-1.46	8.17e-11
SPDL1	-1.46	7.46e-23
UBFD1	-1.46	7.29e-26
ARG2	-1.45	1.04e-08
CYP26A1	-1.45	1.67e-06
MCM5	-1.45	1.42e-17
POF1B	-1.45	1.2e-09
SQLE	-1.45	9.15e-12
WDR12	-1.45	6.92e-26
NSD2	-1.45	1.42e-23
CHEK2	-1.44	6.16e-18
IGHV1-69	-1.44	2.93e-06
LARP6	-1.44	2.12e-08
LRIG3	-1.44	1.36e-15
NAA50	-1.44	2.88e-14
NFE2L3	-1.44	4.03e-14
CDK5R1	-1.43	2.52e-14
GNL3L	-1.43	1.93e-14
IGK	-1.43	2.92e-06
KDELR2	-1.43	1.1e-28
DDR1	-1.43	2.15e-15
MTA3	-1.43	8.38e-33
PARPBP	-1.43	8.3e-20
STK26	-1.43	9.1e-14
UGGT1	-1.43	1.09e-30
VANGL2	-1.43	3.75e-09
XPR1	-1.43	1.29e-16
ALYREF	-1.42	5.45e-22
BNIP3	-1.42	7.11e-16
FOLH1	-1.42	5.93e-08
MIB1	-1.42	4.34e-15
PCP4	-1.42	3.53e-05
PLEKHG4B	-1.42	5.01e-11
RPP40	-1.42	9.37e-16
C19orf48P	-1.42	7.88e-20
SRPRB	-1.42	1.22e-19
SYT1	-1.42	2.54e-12
TCF19	-1.42	3.32e-20
TNFRSF18	-1.42	9.16e-13
ABCA13	-1.41	2.35e-08
AHCY	-1.41	6.25e-21
CDCP1	-1.41	1.32e-13
CKAP5	-1.41	2.97e-20
CXADR	-1.41	6.59e-11
DDIAS	-1.41	1.47e-12
EPHB1	-1.41	7.07e-08
RUNX2	-1.41	1.24e-11
SIX2	-1.41	5.17e-09
STIP1	-1.41	1e-10
ALG3	-1.4	2.26e-26
CASK	-1.4	9.36e-18
FOXN1	-1.4	3.03e-07
MAP7D2	-1.4	2e-08
NHS	-1.4	1.29e-12
PCCB	-1.4	1.47e-18
ACP1	-1.39	1.49e-19
BICD1	-1.39	1.23e-12
AGO2	-1.39	4.3e-11
CKAP2L	-1.39	4.55e-22
DCAF13	-1.39	5.02e-20
EGFR	-1.39	6.11e-12
H2AC18	-1.39	9.55e-15
HLTF	-1.39	1.43e-17
HSD17B1	-1.39	5.84e-13
LARGE2	-1.39	1.2e-20
MRPS30	-1.39	2.93e-20
RAB6B	-1.39	9.34e-08
RAD54L	-1.39	2.66e-17
RUVBL1	-1.39	5.1e-21
SMC6	-1.39	1.29e-20
SPAST	-1.39	4.09e-12
ALDOC	-1.38	4.66e-17
BMP1	-1.38	2.66e-16
EFCAB11	-1.38	1.8e-16
HOXC6	-1.38	3.45e-08
IPO4	-1.38	1.51e-19
ITCH	-1.38	1.95e-22
MRPL3	-1.38	1.68e-13
MTHFD2	-1.38	1.68e-18
PC	-1.38	1.35e-13
RANBP1	-1.38	1.78e-21
RAPGEFL1	-1.38	3.62e-09
RCC1	-1.38	6.64e-23
RGS17	-1.38	3.46e-11
ST14	-1.38	9.14e-14
TFRC	-1.38	7.82e-06
THY1	-1.38	3.49e-11
TOX3	-1.38	0.000103
KIF21A	-1.37	5.07e-10
POLR2H	-1.37	1.22e-25
PUS7	-1.37	8.77e-20
SLC7A1	-1.37	4.11e-15
SNX5	-1.37	6.85e-16
TPRG1	-1.37	0.00041
ABCC1	-1.36	6.14e-09
AFAP1-AS1	-1.36	2.83e-05
FLNB	-1.36	5.41e-22
SLC6A15	-1.36	4.16e-06
TMEM14A	-1.36	3.4e-15
TMEM45A	-1.36	2.54e-08
TSPAN5	-1.36	1.56e-15
CAD	-1.35	2.29e-24
CCT5	-1.35	1.02e-22
DENR	-1.35	4.29e-22
DLG1	-1.35	2.06e-13
DTYMK	-1.35	3.05e-26
HEATR1	-1.35	2.67e-24
LGALS8	-1.35	2.74e-11
LMAN1	-1.35	1.54e-11
LOC102724701	-1.35	9.89e-12
DKC1	-1.35	1.84e-19
PNPT1	-1.35	8.34e-23
QSER1	-1.35	1.97e-15
SUGCT	-1.35	3.85e-12
BCL11B	-1.34	4.1e-09
CSTF2	-1.34	4.21e-19
GCLM	-1.34	6.51e-09
JPT2	-1.34	2.42e-28
PCNA	-1.34	3.86e-21
PRIM1	-1.34	1.64e-15
THNSL1	-1.34	9.86e-16
ZC3H8	-1.34	2.19e-19
KICS2	-1.33	3.99e-18
DPY19L1	-1.33	1.08e-11
EPRS1	-1.33	1.7e-16
FMO1	-1.33	9.17e-07
GAGE3	-1.33	0.000407
GRHL2	-1.33	1.71e-13
