Updated.gene.symbol	logFC	P.Value
SLC1A1	3.01	3.85e-23
LMO3	3	1.11e-15
CYP2B7P	2.99	4.07e-22
IL33	2.99	3.89e-25
COL6A6	2.98	6.38e-31
PIGR	2.97	8.25e-10
AOC3	2.96	1.06e-23
CLIC3	2.96	1.17e-24
FRY	2.96	3.19e-33
JAM2	2.94	2.65e-33
LYVE1	2.94	6.32e-28
RGCC	2.93	7.76e-44
SCEL	2.93	7.91e-22
MS4A7	2.92	3.84e-24
FBP1	2.89	6.72e-18
PIP5K1B	2.89	7.57e-28
PLEKHH2	2.89	6.72e-30
MIR29B2CHG	2.88	4.68e-31
SLC39A8	2.88	7.68e-29
ADGRD1	2.86	2.57e-22
ITGA8	2.86	2.46e-29
CHI3L2	2.84	1.99e-25
GPRC5A	2.84	9.48e-20
CAB39L	2.83	1.18e-35
CAV1	2.82	2.51e-30
NDNF	2.82	3.22e-17
LAMP3	2.81	1.67e-22
ARHGAP6	2.8	3.61e-37
FCER1A	2.8	8.05e-26
GIMAP8	2.8	1.18e-25
LRRN3	2.8	1.37e-20
ROBO4	2.8	1.2e-29
CXCL3	2.79	1e-17
LDB2	2.79	8.56e-32
CDO1	2.77	1.06e-27
FOXA2	2.77	1.2e-20
SORBS2	2.76	1.42e-29
ANXA3	2.75	3.42e-20
CD69	2.75	2.76e-21
CCN5	2.75	2.82e-26
MYZAP	2.74	6.03e-35
PTPN21	2.74	1.19e-30
VSIG4	2.74	1.18e-19
C1orf162	2.73	1.97e-22
CAPN3	2.73	2.17e-30
FXYD1	2.73	5.25e-36
SLC46A2	2.73	2.49e-29
AQP1	2.72	2.51e-25
DNASE1L3	2.72	1.29e-21
HIGD1B	2.72	4.66e-39
CAV2	2.71	1.75e-28
PGM5	2.71	1.19e-31
ADTRP	2.69	2.05e-21
FOXF1	2.69	7.89e-31
PHACTR1	2.69	4.05e-43
RGS13	2.69	1.72e-31
TMEM125	2.69	9.65e-17
ADRB2	2.68	3.59e-26
PPP1R14A	2.68	1.6e-31
FCN1	2.67	1.01e-23
GATA6	2.67	7.33e-22
MUSTN1	2.67	2e-35
KCNJ15	2.66	2.96e-24
NR4A2	2.66	2.03e-17
SOX17	2.66	1.51e-27
ARRB1	2.65	2.21e-23
MSR1	2.65	4.66e-24
S100A12	2.65	8.89e-13
SORBS1	2.65	5.6e-27
ANGPT1	2.64	1.18e-24
CSRNP1	2.64	4.7e-26
FRMD3	2.63	8.47e-28
HPGDS	2.63	1.28e-28
RHOJ	2.63	6.95e-26
SOX7	2.63	4.73e-18
TPPP3	2.63	2.38e-21
FGR	2.62	6.98e-30
ADGRF5	2.61	7.86e-20
DPEP2	2.61	4.27e-38
NEDD4L	2.6	4.53e-27
ANOS1	2.59	8.81e-23
FAM162B	2.59	1.25e-28
LIFR	2.59	3.36e-18
RRAD	2.59	4.73e-15
ABCA3	2.58	2.27e-29
GADD45B	2.58	1.25e-26
KCNT2	2.58	1.86e-27
SPOCK2	2.58	2.86e-25
CRIP1	2.57	2.63e-18
NTN4	2.57	1.39e-20
AGTR2	2.56	6.23e-14
MIR22HG	2.56	2.37e-29
KANK3	2.55	8.02e-36
WWC2	2.55	9.23e-29
CXCR2	2.54	3.22e-19
CYYR1	2.54	7.08e-33
ECSCR	2.54	2.11e-37
ATP8A1	2.53	6.08e-18
CDH5	2.53	2.39e-24
CPM	2.53	1.14e-17
DUOX1	2.53	1.67e-24
FHL5	2.53	1.17e-33
MS4A15	2.53	3.78e-25
NKX2-1	2.53	1.78e-12
SLC6A4	2.53	4.09e-17
GNG11	2.52	3.83e-21
MTARC2	2.52	6.65e-33
AGTR1	2.51	8.61e-22
GDF10	2.51	2.63e-19
CCM2L	2.5	2.95e-33
KLF2	2.49	2.05e-26
PCOLCE2	2.49	5.92e-17
RAMP3	2.49	6.84e-31
SPTBN1	2.49	2.42e-29
ATOH8	2.48	1.94e-27
CCBE1	2.48	2.6e-25
MED12L	2.48	6.24e-27
CD302	2.48	1.23e-30
MMP28	2.48	9.86e-31
UPK3B	2.48	6.22e-15
FILIP1	2.47	3.34e-23
SLC26A9	2.47	8.63e-22
EMP2	2.46	1.43e-29
LRRC36	2.46	1.47e-27
SLC6A14	2.46	2.03e-10
GIMAP6	2.44	4.58e-25
HYAL1	2.44	1.44e-21
PALMD	2.44	2.12e-25
STEAP4	2.44	3.08e-12
VIPR1	2.44	2.12e-20
ADAMTSL4	2.43	6.13e-26
DNALI1	2.43	2.43e-21
CGNL1	2.43	1.49e-24
MNDA	2.43	1.14e-22
TMEM139	2.42	7.73e-28
NAMPT	2.41	1.03e-14
RBMS3	2.41	3.51e-25
SMAD9	2.41	6.56e-21
ADARB1	2.4	3.52e-25
GLIPR2	2.4	3.44e-29
MLPH	2.4	3.82e-18
SLC34A2	2.4	5.76e-12
SPIDR	2.4	6.66e-23
TREM1	2.4	1.37e-14
DACH1	2.39	6.52e-24
IL1RL1	2.39	4.18e-12
SHE	2.39	3.47e-19
ID2	2.38	4.81e-24
LOC101926959	2.38	1.42e-15
TMEM273	2.37	1.1e-23
FBLN5	2.37	6.96e-24
GIMAP7	2.37	9.89e-20
ICAM4	2.37	2.11e-16
IFT57	2.37	5.13e-41
MRC1	2.37	1.03e-18
PROK2	2.37	4.1e-18
RAI2	2.37	8.3e-30
SEPTIN8	2.37	2.26e-38
TSPAN12	2.37	1.85e-21
CAMK2N1	2.35	3.63e-20
LMO7	2.35	9.21e-30
MYRF	2.35	1.19e-22
GRK5	2.34	8.19e-31
MYCT1	2.34	1.38e-33
PTGDS	2.34	2.08e-19
TIE1	2.34	2.34e-24
CMAHP	2.33	1.54e-15
EP300-AS1	2.33	2.36e-22
LRRFIP1	2.33	3.48e-29
PDZD2	2.33	4.31e-15
F8	2.32	2.32e-24
GRAMD2A	2.32	3.77e-22
ITM2A	2.32	4.37e-19
SMAD6	2.32	1.6e-21
ZBED2	2.32	7.21e-15
JAML	2.31	5.96e-31
PCDH9	2.31	5.22e-23
CFLAR	2.3	4.62e-30
COBL	2.3	2.58e-22
CPA3	2.3	8.6e-14
EFEMP1	2.29	3.52e-20
GGTLC1	2.29	7.28e-20
NR4A3	2.29	6.66e-16
RBP4	2.29	8.23e-20
ANK2	2.28	2.89e-20
PALM2AKAP2	2.28	6.84e-23
CCL2	2.26	1.39e-11
LINC00312	2.26	3.38e-26
VGLL3	2.26	2.04e-25
ESAM	2.25	3.48e-29
CES1	2.25	2.01e-09
NCKAP5	2.25	4.51e-25
PLLP	2.25	2.09e-19
TPSAB1	2.25	1.61e-14
CLU	2.24	3.61e-20
LINC00968	2.24	3.13e-25
PCAT19	2.24	8.49e-36
BABAM2-AS1	2.23	1.2e-19
CELF2	2.23	6.48e-35
FGFR4	2.23	1.04e-30
MMRN2	2.23	3.86e-20
SLIT2	2.23	2.29e-18
SYNPO2	2.23	2.25e-16
TMC5	2.23	1.23e-07
DMBT1	2.22	6.15e-10
FOS	2.22	1.19e-14
HLF	2.22	4.83e-25
JMJD1C	2.22	3.94e-20
RASIP1	2.22	4.35e-24
SERTM1	2.22	3.25e-21
TPSB2	2.22	1.01e-14
ICAM1	2.21	8.57e-11
RASGRF1	2.21	1.29e-29
SLC11A1	2.21	1.05e-22
VAPA	2.21	3.55e-32
BMP2	2.2	1.36e-14
CLDN5	2.2	1.16e-24
DOCK4	2.2	4.57e-28
PAQR5	2.2	3.72e-20
PID1	2.2	1.83e-23
PPARG	2.2	1.89e-22
GSAP	2.19	2.15e-20
HBG2	2.19	2.49e-18
CASP4LP	2.19	2.5e-35
NPR1	2.19	1e-38
TBX5-AS1	2.19	1.57e-26
CLEC14A	2.18	2.39e-28
FAM13C	2.18	1.17e-24
FAXDC2	2.18	4.09e-20
ALOX15B	2.17	5.25e-16
CALCRL	2.17	1.88e-29
NEBL	2.17	2.7e-32
ASPA	2.16	3.78e-36
BMP5	2.16	1.31e-19
CEBPD	2.16	3.41e-19
NPNT	2.16	2.95e-17
PTPRM	2.16	1.65e-25
RTKN2	2.16	2.74e-16
SELP	2.16	3.77e-20
ACACB	2.15	1.51e-29
ALOX5AP	2.15	5.87e-18
EDN1	2.15	2.1e-14
CRACDL	2.15	8.97e-19
PRKCE	2.15	4.36e-30
SGMS2	2.15	2.62e-17
TARP	2.15	2.75e-18
ZFP36	2.15	1.84e-24
AOX1	2.14	6.31e-24
CD300LF	2.14	3.07e-22
EGR1	2.14	6.25e-15
LIMS2	2.14	1.08e-31
SOCS2	2.14	6.09e-19
ICAM2	2.13	3.75e-28
PECAM1	2.13	7.39e-29
SLC4A4	2.13	1.16e-14
TGFBR3	2.13	1.79e-16
TM6SF1	2.13	2.6e-25
TMEM178A	2.13	1.34e-14
APOC1	2.12	1.34e-14
C11orf96	2.12	2.91e-15
C14orf132	2.12	2.79e-20
C16orf54	2.12	6.88e-22
C1QTNF7	2.12	1.47e-25
COX7A1	2.12	2.3e-27
GGTA1	2.12	9.85e-17
MAP3K8	2.12	1.39e-18
SCN4B	2.12	1.38e-18
TNS1	2.12	6.07e-23
TSPAN8	2.12	5.09e-09
AKAP12	2.11	2.16e-17
MMRN1	2.11	1.26e-17
SRPX	2.11	3.97e-14
CD83	2.1	1.29e-19
MMP19	2.1	1.19e-17
SH2D3C	2.1	1.19e-24
GPD1	2.09	1.65e-26
HBEGF	2.09	2.73e-15
NR4A1	2.09	3.81e-18
S100A4	2.09	1.55e-21
SLCO2A1	2.09	6.28e-16
TM4SF18	2.09	1.37e-16
AMY1A	2.08	1.39e-08
ARHGAP44	2.08	6.89e-30
C8B	2.08	7.82e-21
CD55	2.08	9.2e-20
CSF3	2.08	1.12e-15
ERG	2.08	2.84e-22
FGD5	2.08	6.45e-30
GUCY1A2	2.08	3.54e-17
LINC01140	2.08	2.21e-28
MSLN	2.08	6.84e-09
QKI	2.08	1.13e-24
TMEM163	2.08	1.7e-13
EPB41L5	2.07	3.94e-32
LINC00261	2.07	2.49e-23
MAOB	2.07	5.08e-19
NRGN	2.07	5.02e-19
RNASE4	2.07	1.42e-18
SEMA5A	2.07	2.52e-18
SERPINA1	2.07	7.25e-10
ANXA1	2.06	7.74e-13
ATP13A4-AS1	2.06	3.91e-09
DENND3	2.06	1.37e-33
GMFG	2.06	5.1e-25
LST1	2.06	2.78e-21
MFNG	2.06	9.28e-29
RAB11FIP1	2.06	1.2e-18
ARHGEF26	2.05	6.91e-18
CCDC85A	2.05	4.63e-22
CPED1	2.05	1.09e-21
HSPA12B	2.05	1.69e-24
ITIH5	2.05	9.82e-22
KMO	2.05	2.49e-15
LY86	2.05	5.66e-19
SSTR1	2.05	1.27e-19
STARD13	2.05	1.34e-30
AREG	2.04	3.15e-09
CD300LG	2.04	3.18e-21
CST6	2.04	1.24e-12
GIMAP1	2.04	7.44e-22
MME	2.04	4.78e-19
MS4A2	2.04	1.35e-25
N4BP2L1	2.04	7.47e-25
VSIG2	2.04	1.07e-25
ARHGAP29	2.03	1e-17
CA2	2.03	1.23e-14
CADM1	2.03	5.83e-17
DAPK2	2.03	7.53e-28
HOXA5	2.03	4.43e-21
MAP3K5-AS2	2.03	2.66e-25
MYH11	2.03	4.17e-13
NR3C2	2.03	8.37e-23
ZEB2	2.03	1.5e-25
GPR146	2.02	1.39e-29
MGP	2.02	2.34e-15
NEXN	2.02	6.34e-18
PPP1R15A	2.02	4.1e-23
TYROBP	2.02	5.75e-21
C5AR1	2.01	4.75e-22
VWF	2.01	1.84e-17
EPAS1	2	3.07e-27
FLJ35700	2	6.78e-13
TBX2-AS1	2	8.31e-22
SEMA3G	2	3.54e-18
TNS2	2	9.5e-29
TSPAN7	2	2.54e-12
ADAMTSL3	1.99	3.21e-22
ALDH3B1	1.99	4.81e-19
APOLD1	1.99	3.48e-15
CSF3R	1.99	7.62e-17
LIN7A	1.99	4.56e-22
LRRC32	1.99	1.07e-19
NEDD9	1.99	5.43e-24
PLA1A	1.99	1.27e-16
ADGRE5	1.98	4.95e-24
FGG	1.98	0.000877
H3-3B	1.98	1.53e-25
MTURN	1.98	2.45e-29
NCF2	1.98	1.86e-19
PARM1	1.98	2.29e-13
PDE5A	1.98	1.08e-22
TAL1	1.98	8.41e-27
ZNF331	1.98	8.17e-19
DUSP1	1.97	2.35e-25
GATA2	1.97	2.46e-31
EIF4A1	1.97	5.99e-20
SYNE1	1.97	5.63e-19
ARHGAP31	1.96	1.24e-29
CYP27A1	1.96	7.09e-26
DAPK1	1.96	3.04e-19
DPYSL2	1.96	1.21e-25
KL	1.96	4.58e-25
P2RY14	1.96	5.41e-24
RAMP2	1.96	1.65e-31
RECK	1.96	1.17e-20
TGFBR2	1.96	9.28e-23
ACVRL1	1.95	2.65e-20
FAM167A	1.95	8.88e-18
GGT1	1.95	5.18e-21
AK1	1.94	2.87e-24
ALDH1A2	1.94	1.26e-13
NFKBIZ	1.94	6.49e-17
OR7E47P	1.94	8.97e-29
JCAD	1.93	9.4e-17
ABCC6	1.93	1.81e-11
MT1E	1.93	4.24e-15
OSCAR	1.93	5.88e-26
PAPSS2	1.93	8.92e-21
ROR1	1.93	2.67e-16
ACSL5	1.92	8.86e-11
CARD16	1.92	1.69e-22
CD93	1.92	9.5e-17
CXCL12	1.92	4.01e-14
DKK2	1.92	9.88e-13
RPS6KA2	1.92	4.16e-17
S1PR1	1.92	2.58e-25
SPRY4-IT1	1.92	8.95e-23
ACKR4	1.91	1.25e-26
ANKRD44	1.91	1.47e-18
ATF3	1.91	4e-13
CCDC50	1.91	2.45e-23
COLEC12	1.91	2.75e-17
GIMAP5	1.91	7.3e-21
RASSF2	1.91	2.9e-18
SECISBP2L	1.91	6.38e-28
TLR8	1.91	7.83e-15
TCIM	1.9	6.79e-13
HSPB8	1.9	3.46e-17
KLF9	1.9	4.53e-18
SLPI	1.9	6.98e-13
CLEC12A	1.89	1.9e-27
LILRA2	1.89	3.28e-26
SNX25	1.89	6.91e-29
C1QB	1.88	1.67e-15
CCRL2	1.88	1.52e-19
COX4I2	1.88	2.34e-32
CYBRD1	1.88	7.11e-27
DRAM1	1.88	9.39e-16
EIF1	1.88	1.93e-32
EMP1	1.88	3.22e-15
SYNC	1.88	5.6e-24
TMPRSS2	1.88	2.96e-13
CCDC69	1.87	5.99e-24
CNRIP1	1.87	2.71e-24
EGR3	1.87	4.46e-12
EVI2B	1.87	1.77e-16
FPR1	1.87	9.43e-18
GPM6B	1.87	1.25e-16
NLRC4	1.87	3.33e-26
ADAMTS1	1.86	1.72e-13
ZNF366	1.86	1.51e-18
CD37	1.85	2.12e-15
ENPP4	1.85	3.18e-15
LMO2	1.85	5.48e-25
MYO1G	1.85	3e-15
RAP1A	1.85	3.75e-29
RND1	1.85	4.5e-09
ABCG2	1.84	6.86e-22
FAR2	1.84	5.48e-17
FLI1	1.84	1.17e-23
PARD6B	1.84	4.54e-18
TMEM204	1.84	1.82e-19
CITED2	1.83	2.26e-19
OMG	1.83	4.14e-16
PTGS2	1.83	2.92e-08
THBD	1.83	6.61e-13
TNFSF13	1.83	4.51e-17
A2M	1.82	7.46e-21
C1QA	1.82	8.51e-14
CFL2	1.82	6.14e-28
ECM2	1.82	1.62e-18
FAM184A	1.82	4.03e-30
FAM20A	1.82	1.61e-14
FMO5	1.82	2.2e-11
IL1B	1.82	3.88e-10
VSIG10	1.82	3.86e-22
PDLIM2	1.82	6.62e-29
SYNE3	1.82	5.98e-17
TMOD1	1.82	3.1e-39
ADGRG6	1.81	8.58e-12
GAS6	1.81	4.18e-21
GSPT1	1.81	2.73e-19
HACD4	1.81	3.26e-24
KLF6	1.81	4.88e-25
MYADM	1.81	6.92e-17
NFIA	1.81	3.83e-19
PDE2A	1.81	6.43e-27
CLC	1.8	5.18e-09
CLIC2	1.8	4.22e-20
COL4A4	1.8	4.61e-16
OTULINL	1.8	4.2e-17
TENT5B	1.8	1.34e-18
FGF18	1.8	6.75e-22
FIBIN	1.8	1.44e-09
GIMAP4	1.8	6.05e-19
HLA-DQA1	1.8	1.9e-05
MAOA	1.8	2.22e-14
RNF128	1.8	1.34e-08
SULT1A1	1.8	7.08e-21
WFDC1	1.8	4.85e-15
CDKN2B	1.79	1.73e-12
PRKCQ	1.79	5.66e-24
RHOU	1.79	1.94e-12
SLC15A2	1.79	1.86e-13
SOCS3	1.79	3.09e-16
TFPI	1.79	5.7e-15
CYB5A	1.78	6.87e-19
FAT3	1.78	9.35e-16
FGD4	1.78	2.72e-25
SGCG	1.78	1.66e-17
SIRPB1	1.78	5.26e-23
TBX2	1.78	8.72e-21
TPPP	1.78	3.6e-15
CRTAC1	1.77	1.26e-22
CRTAM	1.77	1.42e-20
GYPC	1.77	1.01e-24
HGF	1.77	6.84e-19
NAPSB	1.77	1.15e-12
PLAC8	1.77	5.95e-09
ACP5	1.76	2.41e-18
ARGLU1	1.76	2.32e-27
CD47	1.76	6.76e-21
KLF4	1.76	1.18e-12
KLRF1	1.76	5.45e-18
RTN1	1.76	1.38e-15
ANKRD28	1.75	2.98e-16
CLEC1A	1.75	3.52e-26
ERP27	1.75	3.46e-09
REEP1	1.75	5.16e-15
SCAI	1.75	2.61e-28
BCHE	1.74	2.75e-08
GPR65	1.74	3.27e-19
IL6R	1.74	2.9e-18
MT1G	1.74	2.68e-13
PNISR	1.74	1.06e-24
CAPN8	1.73	1.39e-09
CAT	1.73	1.68e-29
DOCK8	1.73	1.9e-15
G0S2	1.73	1.17e-10
IRX2	1.73	3.55e-09
NKG7	1.73	5.07e-15
PILRA	1.73	1.28e-19
RCSD1	1.73	1.13e-18
RGS18	1.73	3.19e-20
STAC	1.73	2.49e-23
TSPAN4	1.73	1.07e-18
AQP9	1.72	8.29e-15
CHIA	1.72	7.18e-17
GNAQ	1.72	9.12e-28
HK3	1.72	5.29e-21
ELAPOR2	1.72	9.72e-23
LMOD1	1.72	8.07e-18
FAM86B2-DT	1.72	1.04e-21
PTPRN2	1.72	8.8e-16
RASL12	1.72	1.26e-19
RUFY2	1.72	4.45e-19
C9orf152	1.71	2.5e-10
CREBRF	1.71	1.95e-25
FCER1G	1.71	5.06e-14
FCGR3B	1.71	3.35e-16
IRAK3	1.71	8.12e-16
KANK2	1.71	8.55e-20
KIT	1.71	9.59e-10
MUC15	1.71	7.18e-11
NUP58	1.71	7.85e-19
PRELP	1.71	2.04e-12
RHOBTB2	1.71	1.23e-22
SHANK3	1.71	1.6e-20
ADGRE1	1.7	5.39e-19
ARHGAP18	1.7	1.37e-20
BCL2A1	1.7	1.11e-11
DMD	1.7	4.68e-18
SELPLG	1.7	4.64e-20
SLC16A4	1.7	3.67e-12
ACE	1.69	2.4e-18
MAGI2-AS3	1.69	4.47e-20
PIK3R5	1.69	1.93e-21
RBMS2	1.69	3.01e-20
RFX2	1.69	4.01e-16
RGN	1.69	1.27e-20
SERPINB1	1.69	4.11e-13
SHC3	1.69	1.23e-21
SLC14A1	1.69	6.07e-12
SLC7A7	1.69	3.2e-17
TCEAL2	1.69	1.64e-12
CFTR	1.68	2.43e-13
CTSH	1.68	4.27e-17
NCKAP1L	1.68	1.24e-15
PLAAT3	1.68	7.5e-11
PLA2G4C	1.68	6.31e-18
PRDM16	1.68	5.56e-20
SELENOP	1.68	8.3e-28
SERTAD1	1.68	5.79e-20
SPARCL1	1.68	1e-18
ST6GALNAC5	1.68	5.49e-14
TRPV2	1.68	1.83e-19
GRIA1	1.67	1.59e-22
NINJ2	1.67	3.26e-11
RGS2	1.67	8.21e-18
SDR16C5	1.67	3.77e-09
VNN2	1.67	2.46e-12
ABCB1	1.66	5.83e-14
CBX7	1.66	3.03e-25
CH25H	1.66	9.35e-11
CTSE	1.66	2.45e-05
GPA33	1.66	5.27e-20
ITGA1	1.66	2.31e-18
KCNJ5	1.66	6.7e-19
LPXN	1.66	1.48e-13
MT1F	1.66	8.92e-13
MYO5C	1.66	1.49e-14
P2RY13	1.66	3.15e-16
TFEC	1.66	1.88e-12
TMEM71	1.66	2.08e-18
TOX2	1.66	2.54e-14
UBL3	1.66	2.65e-28
ACOXL	1.65	2.98e-30
FAM13B	1.65	6.06e-25
HINT3	1.65	1.17e-16
LHFPL6	1.65	2.7e-23
LYZ	1.65	2.7e-06
MIR3945HG	1.65	1.29e-22
MUC1	1.65	3.35e-07
P2RX7	1.65	7.51e-14
PHACTR2	1.65	2.38e-26
SLC27A3	1.65	1.24e-23
SLC31A2	1.65	1.56e-19
TBX5	1.65	2.65e-20
TIMP3	1.65	1.29e-12
TYRP1	1.65	5.31e-19
APOH	1.64	3.99e-12
CLDN11	1.64	2.55e-12
DOK2	1.64	4.29e-26
LRRN4	1.64	2.21e-07
TMT1A	1.64	9.44e-18
MS4A4A	1.64	8.77e-11
MYOCD	1.64	3.15e-17
NR2F1	1.64	2.6e-25
PLN	1.64	6.95e-09
PPP1R9A	1.64	3.66e-12
TLR4	1.64	4.06e-19
TMEM243	1.64	3.97e-27
ALDH2	1.63	1.49e-19
ARHGAP30	1.63	2.58e-16
C1orf115	1.63	1.3e-20
FAM241A	1.63	1.4e-15
HAGLR	1.63	8.69e-14
HLA-DMA	1.63	1.29e-12
KAT2B	1.63	4.48e-26
KRT7	1.63	2e-06
LCAT	1.63	1.06e-24
DAB2	1.63	5.46e-17
LOC105379426	1.63	8.93e-12
MS4A6A	1.63	2.33e-13
PTX3	1.63	2.03e-05
SOX18	1.63	4.71e-16
TLR3	1.63	5.88e-17
UNC13B	1.63	7.44e-17
ATP11A	1.62	3.65e-11
BIN2	1.62	3.27e-19
ETV1	1.62	5.07e-15
FPR2	1.62	7.67e-16
HMOX1	1.62	4.79e-11
HSPB6	1.62	6.74e-23
KCNAB1	1.62	3.55e-18
MAP2	1.62	3.72e-09
RAB27A	1.62	8.99e-18
SELL	1.62	4.44e-12
ZBTB20	1.62	6.4e-16
DEPP1	1.61	9.34e-13
DCN	1.61	2e-13
CYRIA	1.61	1.35e-18
ITGAL	1.61	1.15e-17
ATP2B1-AS1	1.61	4.35e-20
LOC101930404	1.61	4.78e-19
LOC105375172	1.61	2.47e-12
NCF4	1.61	8.24e-18
PLSCR4	1.61	3.61e-18
PRPF38B	1.61	1.84e-13
RETN	1.61	8.73e-20
TMEM74B	1.61	6.26e-25
TMEM88	1.61	2.8e-30
GIMAP2	1.6	1.25e-13
GZMH	1.6	5.12e-14
HS3ST2	1.6	1.01e-09
MSRB3	1.6	1.92e-12
MYO1F	1.6	9.74e-20
PGM5-AS1	1.6	2.87e-28
PKIG	1.6	1.2e-19
RGS5	1.6	2.53e-11
RNASE1	1.6	4.72e-13
SEC14L4	1.6	8.4e-13
SEPTIN4	1.6	3.04e-22
TMEM47	1.6	1.25e-13
ARHGAP9	1.59	1.36e-17
ARHGEF6	1.59	2.89e-20
CTNNB1	1.59	2.64e-20
IL18RAP	1.59	2.45e-19
MS4A14	1.59	1.4e-20
N4BP2L2	1.59	3.01e-21
RCAN2	1.59	7.26e-15
SLC22A3	1.59	9.31e-17
SULT1A3	1.59	8.78e-22
SRI	1.59	5.61e-19
TBRG1	1.59	1.64e-14
ANPEP	1.58	3.2e-10
ATP5S	1.58	5.05e-21
CCL23	1.58	1.94e-16
CMTM2	1.58	1.78e-16
CPAMD8	1.58	3.38e-26
CXCL17	1.58	3.56e-07
DES	1.58	1.66e-18
DOCK11	1.58	1.17e-21
HSPA6	1.58	1.28e-07
KDM6B	1.58	2.12e-14
LTBP4	1.58	6.72e-20
MAGI3	1.58	7.03e-18
NEGR1	1.58	3.01e-17
PRKCB	1.58	6.82e-18
PTPRO	1.58	4.4e-16
SULT1A2	1.58	4.82e-21
WASF3	1.58	1.5e-14
KLRK1	1.57	3.84e-17
SEMA3B	1.57	3.41e-19
RASGRP2	1.57	8.68e-29
RERG	1.57	2.19e-17
SAMD9L	1.57	2.56e-15
SAMHD1	1.57	2.89e-16
BTG2	1.56	6.38e-19
CD33	1.56	5.4e-22
CDKN1C	1.56	2.52e-15
GNLY	1.56	2.71e-10
HOPX	1.56	5.6e-13
