Updated.gene.symbol	logFC	P.Value
SSTR1	2.9662485	1.31e-23
ADIRF	2.9618104	1.99e-19
SPTBN1	2.9546198	8.12e-37
MYZAP	2.9422111	1.62e-32
FRAS1	2.9326723	1.47e-12
FILIP1	2.9296743	3.91e-23
SCARA5	2.9284583	2.2e-19
PLEKHH2	2.910363	5.91e-21
ROBO4	2.899273	4.27e-38
TGFBR3	2.8869171	3.7e-24
AQP1	2.879957	2.9e-13
TAL1	2.8734776	2.26e-41
GLDN	2.8710754	8.18e-16
GPC3	2.8690488	1.58e-14
SLC14A1	2.8573316	3.66e-22
ARHGEF26	2.8530089	7.84e-27
C4BPA	2.8520584	7.3e-08
PGM5	2.8478014	1.43e-24
NOSTRIN	2.8338502	6.37e-20
SGCG	2.8335479	4.28e-39
BCHE	2.8301334	9.56e-15
SMAD6	2.8287093	5.08e-27
RBP4	2.8263847	8.51e-19
CAPN3	2.8240917	3.29e-40
RAMP3	2.8130367	7.7e-35
CIMIP1	2.8114093	1.57e-13
FOXF1	2.8084879	1.88e-26
GIMAP8	2.8071467	1.51e-27
HHIP	2.7990145	3.36e-15
RSPO2	2.7948437	2.62e-50
SFTA3	2.7871936	0.000144
NDNF	2.7762681	3.32e-11
ID4	2.7692261	2.37e-13
SLC1A1	2.768964	2.6e-25
ROBO2	2.7663341	1.15e-17
SNTN	2.7659222	8.06e-13
KLF4	2.7625996	1.13e-20
ADRB2	2.7614744	1.42e-21
HSD17B6	2.7592219	3.23e-17
AGTR2	2.7569292	3.63e-15
TSPAN7	2.7463783	6.96e-13
LIMCH1	2.744772	3.46e-14
SYNPO2	2.7401602	3.97e-15
ABCA3	2.7388241	1.96e-16
CYP2B7P	2.7365597	7.14e-10
SEMA3G	2.7315222	4.56e-30
ARHGAP6	2.7285233	1.46e-27
NEBL	2.7256758	2.44e-35
FRY	2.7184972	9.36e-22
GPX3	2.7090024	1.29e-18
ATP1A2	2.7089955	8.45e-30
CDH5	2.7089732	1.17e-32
ACKR1	2.7077604	2.3e-14
ADGRD1	2.7001984	5.89e-11
EMP2	2.6977641	4.85e-29
RNF182	2.6848757	2.66e-18
SEMA6D	2.6822343	1.49e-22
ASPA	2.6710468	5.2e-45
SCGB3A2	2.6675817	2.34e-05
TCEAL2	2.6658178	1.24e-26
LEPR	2.6638882	3.22e-18
RXFP1	2.6591623	9.33e-32
CFD	2.6581331	4.05e-18
SCN1A	2.6515071	1.25e-25
SFTPB	2.6513819	6.45e-07
SFTA1P	2.6510495	1.29e-16
SEMA6A	2.6451937	4.14e-32
ITIH5	2.6385945	1.07e-31
C1QTNF7	2.6282229	6.04e-18
CCBE1	2.627522	6.76e-38
CXCL2	2.6160369	2.93e-12
LYVE1	2.614931	1.36e-26
VAPA	2.6089423	2e-18
IFT57	2.5980604	3.22e-26
NEGR1	2.5973333	1.91e-15
RHOJ	2.5900277	8.97e-25
TMEM178A	2.5887551	3.48e-14
TBX3	2.5876713	1.61e-25
AKAP12	2.5862409	3.11e-20
MMRN1	2.5811747	6.41e-24
PIP5K1B	2.5807164	8.83e-16
CAV1	2.5806982	7.34e-23
LAMP3	2.5784303	1.7e-10
ANGPT1	2.5755049	1.57e-21
CLU	2.5709442	1.38e-13
SPOCK2	2.5684883	4.47e-28
BMP2	2.5643603	4.97e-18
KANK3	2.561815	7.76e-42
TPPP3	2.5584978	1.52e-28
HPGD	2.5478806	1.39e-06
GPR146	2.5465862	4.26e-32
SOX17	2.5424952	1.37e-29
MMP28	2.5410468	6.07e-19
DYNLRB2	2.535485	6.49e-14
SCGB3A1	2.5318457	9.85e-05
GRIA1	2.5258896	4.65e-42
SLCO2A1	2.524462	3.91e-21
SLC39A8	2.523638	5.82e-24
GRK5	2.5227324	6.29e-35
FAM162B	2.5212164	5.43e-22
SLIT2	2.5211113	1.14e-28
LDB2	2.5192416	3.18e-25
SELENBP1	2.5191068	2.32e-10
IL33	2.5187656	8.91e-10
MS4A7	2.5169651	1.53e-28
CCM2L	2.5145894	8.19e-34
MYRF	2.5078859	2.19e-34
EPB41L5	2.5018621	7.86e-24
PLAC9	2.4998223	3.75e-26
GPD1	2.4997888	1.22e-42
LTBP4	2.4987917	2.63e-39
CYP3A5	2.492708	1.02e-14
C16orf89	2.4881601	5.02e-07
GPM6B	2.4845553	9.48e-22
FXYD1	2.4797059	5.02e-36
MT1M	2.4785899	1.59e-08
C1orf116	2.4775931	2.78e-09
PDZD2	2.4716399	3.17e-17
JCAD	2.4688072	6.4e-25
QKI	2.4674883	3.61e-43
HLF	2.4663177	3e-20
EPAS1	2.4660496	3.03e-27
CDO1	2.4558989	6.42e-20
CFAP70	2.4532376	1.09e-18
SELE	2.4511561	1.78e-09
DLC1	2.4493939	2.05e-13
KRT4	2.4490548	6.02e-21
PTPN21	2.447946	8.77e-24
ANXA3	2.4446959	1.34e-12
PIGR	2.4415015	2.45e-05
TIE1	2.4408117	6.15e-28
VSIG2	2.439828	7.71e-25
RAMP2	2.4356037	1.82e-36
FBLN5	2.4312689	3.32e-24
PPBP	2.4278967	1.88e-06
PDE5A	2.4278208	5.34e-28
ANOS1	2.424936	2e-13
KCNT2	2.4179013	7.91e-23
NTRK2	2.4178948	0.000127
MYH11	2.4080586	2.76e-18
TNS1	2.4056092	7.13e-29
MACROD2	2.4038204	1.23e-07
TBX2	2.4028966	1.41e-28
AOC3	2.4008463	1.86e-18
OSCAR	2.400556	3.65e-27
MMRN2	2.3977559	1.42e-26
ADAMTSL4	2.3976248	1.1e-14
TOX2	2.3911593	7.94e-26
SORBS1	2.3891342	2.56e-16
MUSTN1	2.380363	1.07e-22
ACVRL1	2.3770477	2.84e-37
S100A10	2.3738756	8.23e-19
S1PR1	2.3660647	2.03e-32
NEDD4L	2.3653821	4.9e-11
ZBED2	2.3634169	4.98e-14
SPMIP6	2.3573796	4.61e-11
EMP1	2.3559253	1.91e-17
RGCC	2.3528461	2.08e-27
DPEP2	2.3524476	4.09e-30
HYAL1	2.3506531	2.31e-18
NDRG2	2.3498015	5.98e-26
CLIC3	2.348574	1.19e-11
WFDC1	2.3433863	4.39e-22
PLCB4	2.3387224	2.21e-12
FBP1	2.3338591	8.45e-16
GIMAP1	2.3331839	1.37e-30
NFASC	2.3306314	1.7e-26
TPPP	2.329608	3.26e-18
CXCL3	2.3276859	4.03e-12
NPNT	2.3216456	1.03e-16
ADARB1	2.3119873	3.5e-18
CES1	2.3084414	2.04e-07
THBD	2.3081645	1.17e-16
CADM1	2.3080793	1.13e-13
CORO2B	2.3075359	4.43e-40
SVEP1	2.3038285	1.17e-25
AOX1	2.2937222	2.73e-23
LMO7	2.2921417	8.55e-22
KL	2.2897815	1.17e-24
ESAM	2.2822115	8.03e-31
VIM	2.2804893	2.94e-18
FYB2	2.2785524	1.58e-16
CX3CR1	2.2782589	1.96e-09
NRN1	2.2773526	3.45e-11
FGFBP2	2.2752961	5.56e-19
TRHDE	2.273683	4.18e-44
SH2D3C	2.2683978	2.1e-38
WWC2	2.2664279	8.2e-27
TBX5-AS1	2.2663195	2.76e-21
SCEL	2.2622518	5.82e-07
ADGRF5	2.2574171	8.64e-11
ANGPTL1	2.2527749	1.92e-25
TTN	2.2503153	4.85e-45
LINC00312	2.2500223	4.37e-27
HSPB8	2.2492533	1.13e-19
PDE4C	2.2471043	8.56e-24
CRTAC1	2.2446083	2.87e-15
CDH19	2.2394116	3.35e-11
ALOX5	2.2362402	5.85e-23
PCAT19	2.2318167	3.02e-36
SLIT3	2.2279116	5.42e-21
LMO3	2.2238779	1.09e-05
RRAD	2.22122	1.27e-11
PLLP	2.2206182	1.68e-16
EDN1	2.2200274	3.11e-15
VWF	2.21497	3.98e-25
SOCS2	2.2064137	4.21e-10
BDNF	2.2059046	8.68e-18
PECAM1	2.1991913	5.91e-34
NTN4	2.1969446	1.44e-13
MIR29B2CHG	2.1927045	6.84e-16
ERG	2.1925215	1.9e-25
VGLL3	2.1924476	1.23e-12
MASP1	2.1917934	1.17e-15
MTURN	2.1914702	1.37e-12
RUFY2	2.1889746	3.33e-30
ATP13A4	2.1878732	3.34e-13
RASGRF1	2.1869728	2.54e-23
DST	2.1787451	3e-18
RBMS3	2.1756282	1.18e-12
PLA1A	2.1750917	1.42e-13
NAPSA	2.1724012	3.2e-05
SYNE1	2.1651451	1.46e-31
CYYR1	2.1615828	6.76e-17
HSPA12B	2.1580935	3.07e-38
JAM2	2.1567635	7.19e-28
FGD5	2.1549658	3.58e-34
C14orf132	2.1546452	5.97e-18
STARD9	2.1475046	7.35e-41
SBSPON	2.1465641	6.77e-24
BPIFB1	2.1404475	1.26e-05
SHANK3	2.1390805	2.19e-34
SELENOP	2.1369535	3.1e-24
HIGD1B	2.1357481	3.43e-23
FCER1A	2.133012	6.42e-12
SHROOM4	2.132419	1.12e-40
CD52	2.1287627	1.54e-16
MYCT1	2.1282482	9.19e-25
RASIP1	2.1271452	1.12e-17
ITGA8	2.1266311	7.49e-17
CCDC68	2.1220418	1.87e-13
RSPH1	2.1150298	7.31e-11
FOS	2.1116524	2.23e-12
HBEGF	2.1115215	2.7e-15
PPARG	2.1091632	2.97e-21
CAB39L	2.1083569	1.99e-19
PKNOX2	2.1071138	4.91e-30
NR4A1	2.106587	4.79e-14
CLDN5	2.105597	5.66e-24
FREM2	2.1049906	3.18e-10
FOLR1	2.1028541	1.69e-05
CAMK2N1	2.1022119	8.29e-18
CFAP43	2.1019023	2.32e-15
ZBBX	2.0979165	2.3e-15
NTNG1	2.0941959	1.03e-31
TMEM74B	2.0911976	7.24e-38
P3H2	2.0909426	7.13e-10
PPP1R14A	2.0897818	2.59e-16
CELF2	2.0883629	2.26e-23
FAM13C	2.0876977	1.69e-16
SLC4A4	2.0874203	4.72e-07
FLRT3	2.0856031	1.6e-05
FGR	2.0842747	6.84e-22
ABCA6	2.0837168	3.82e-25
TNS2	2.0779113	2.49e-30
DNAH12	2.077105	8.46e-17
PTGDS	2.0725685	2.29e-14
NPR1	2.0713394	3.25e-38
CFLAR	2.0709006	8.41e-18
NHSL1	2.069536	1.52e-16
MSR1	2.0694753	1.07e-15
GIMAP6	2.0677867	1.06e-18
SLC25A27	2.0677115	3.94e-16
IRX2	2.067155	7.93e-06
ACOXL	2.0625948	5.43e-22
COLGALT2	2.0619479	1.49e-23
GHR	2.0608854	1.33e-08
RAI2	2.0579194	5.09e-15
PRAM1	2.0516848	3.73e-28
EML1	2.0515732	1.89e-18
CGNL1	2.0500253	7.97e-15
MAOB	2.0470556	1.32e-16
REEP1	2.0462378	4.79e-18
FGF2	2.0452701	2e-21
CA2	2.0452327	9.65e-18
COL13A1	2.0431902	7.33e-19
PEAR1	2.0428066	2.38e-30
CPA3	2.0408162	1.62e-08
MMP19	2.0390487	1.69e-16
FLI1	2.0389773	4.84e-34
ADAMTS1	2.0381221	7.78e-12
ITGAL	2.0338658	1.06e-16
C8orf34-AS1	2.0336459	8.58e-10
CD93	2.0332161	3.88e-23
ADGRL2	2.0332001	1.95e-17
TMEM125	2.0303176	6.93e-09
CDKL2	2.0299836	4.29e-09
ATF3	2.0265884	3.2e-10
PSMA3-AS1	2.0218689	6.45e-27
FOXA2	2.0194743	1.16e-07
LSAMP	2.0191015	4.54e-14
SRPX	2.0176398	3.26e-14
NRGN	2.0174981	1.54e-08
ST6GALNAC3	2.0164016	5.32e-26
CACNA1D	2.0129693	8.04e-10
SPATA18	2.0123571	1.03e-10
MTARC2	2.0085522	2.15e-17
FAM184A	2.002796	4.29e-26
PDE1C	2.0019353	3.01e-31
PRDM16	2.0011612	2.3e-08
GATA6	2.000739	1.12e-11
SEMA5A	2.0004599	6.7e-15
CLEC12A	1.9990118	3.55e-15
KLK11	1.9962767	2.66e-07
LIMS2	1.9959892	3.23e-35
LMOD1	1.9937218	5.39e-20
GRAMD2A	1.9931883	6.36e-14
ALDH1A1	1.9930441	1.26e-07
LRRFIP1	1.9922431	1.31e-22
VSIG4	1.9904644	6.18e-14
SLC11A1	1.990333	6.74e-29
RGS13	1.9899163	3.03e-17
FXYD6	1.9879143	2.22e-25
PCDH9	1.987421	7.98e-18
CLEC14A	1.9842651	1.49e-27
CA3	1.9832159	1.16e-11
RFX2	1.9828229	2e-22
ATOH8	1.9805158	1.55e-13
SHE	1.9779121	1.72e-10
ACE	1.9774585	5.69e-23
CX3CL1	1.9769177	1.88e-13
ARHGEF15	1.9763474	3.95e-40
MS4A2	1.972647	8.97e-18
CD300LF	1.9688534	3.32e-19
DISP1	1.9688335	8.6e-19
SCN7A	1.9682277	5.45e-33
SLC46A2	1.9674406	1.6e-08
DES	1.965754	6.24e-37
SELP	1.9655041	8.15e-16
WASF3	1.965072	8.96e-19
ITM2A	1.9644494	3.61e-14
ACSS3	1.9628992	1.37e-19
IL18R1	1.9596219	2.22e-16
PDE8B	1.957855	8.24e-18
DUOXA1	1.9574513	2.18e-19
NFIX	1.9547276	1.4e-20
DNASE2B	1.9541625	9.43e-21
LRRC32	1.9508036	9.6e-25
SCNN1G	1.9483952	1.29e-10
KLB	1.946987	4.58e-18
RERG	1.9445637	5.35e-23
ANK2	1.9441804	1.1e-14
SYNM	1.9436385	1.35e-23
GGTLC1	1.9427226	1.02e-18
CD302	1.9423292	1.55e-13
CSRNP1	1.9422211	2.17e-19
CASKIN2	1.9413185	8.9e-29
PCOLCE2	1.9400121	3.18e-06
CPED1	1.9389598	9.48e-18
NXF3	1.9351515	2.09e-29
MCOLN3	1.93438	4.97e-11
LRRN4	1.9325655	8.29e-07
KLF2	1.9313674	1.82e-15
LRRC46	1.9301095	2.96e-12
PGR	1.9287749	1.79e-20
ZMAT1	1.9279279	1.77e-13
CD44	1.9274455	1.05e-14
MYLIP	1.9268168	7.76e-14
FRMD3	1.9264064	5.5e-15
DAPK2	1.9240685	1.05e-22
ADTRP	1.9230572	8.16e-12
RAB11FIP1	1.9230101	2.16e-18
CYS1	1.9215462	9.73e-11
COL6A5	1.9189133	4.52e-17
ZNF331	1.9185411	2.39e-17
ALDH1A2	1.9152854	1.05e-09
ZDHHC11	1.9142219	3.62e-11
DOCK4	1.9137794	3.53e-23
PPP1R15A	1.9113998	7.03e-19
PRELP	1.9111695	2.07e-13
RTN1	1.9103105	4.76e-11
SH3GL3	1.9069875	2.5e-14
RASL12	1.906094	1.64e-25
PALMD	1.9039174	1.04e-15
CCN5	1.9034351	2.36e-08
ARHGAP31	1.9024995	5.93e-37
SYNC	1.9018526	6.52e-15
DNALI1	1.9000703	6.77e-09
LDLR	1.898716	2.47e-16
B4GALT1	1.8979874	1.87e-16
TMEM139	1.8942249	5.88e-14
ARHGAP29	1.893929	5.39e-14
MAL	1.8930404	1.91e-19
TACC1	1.8916005	4.57e-27
CLDN11	1.8914031	1.52e-07
EIF1	1.8909953	1.58e-25
DKK2	1.8886187	4.63e-10
COBL	1.8871854	1.28e-06
GPA33	1.8838043	8.23e-23
CAPSL	1.8819662	1.31e-10
CACHD1	1.8805745	3.91e-09
H3-3B	1.8788597	1.25e-15
KCNAB1	1.8773557	1.49e-21
LINC01936	1.8744894	1.84e-31
LMO2	1.8744304	2.92e-19
SOX18	1.8744012	1.61e-19
COL4A4	1.8731047	8.49e-10
NUP58	1.8728455	4.88e-17
PRKCE	1.8718255	8.72e-29
CNR1	1.8705606	7.45e-09
CD34	1.8702619	1.55e-27
LGALSL	1.8674604	7.1e-15
LRP2	1.8666972	9.41e-13
CAT	1.865807	1e-22
FAM86B2-DT	1.8618933	2.71e-25
FOXF2	1.8598442	1.12e-13
NEDD9	1.8588465	1.01e-12
MYADM	1.8586148	2.55e-23
FIBIN	1.8581412	1.63e-09
PLCE1	1.8576828	3.37e-18
TMEM108	1.8553787	6.15e-10
F8	1.8549303	7.96e-19
PID1	1.8546126	4.46e-11
CHI3L2	1.8541304	1.71e-11
MIR22HG	1.8533686	2.65e-18
PTX3	1.8520417	9.23e-08
SCARA3	1.8504617	2.62e-20
DMBT1	1.8497433	2.55e-05
ARMCX4	1.8491935	3.02e-40
LCAT	1.8488398	1.2e-36
FAT4	1.8482977	4.22e-14
ITLN1	1.8467685	1.11e-16
GALNT18	1.8463714	1.67e-21
ABCB1	1.8459924	1.72e-27
RECK	1.8453581	1.35e-14
SPAG6	1.8449215	3.33e-10
SYT15	1.8447099	5.85e-33
NR3C2	1.8425052	6.66e-08
TYRP1	1.842193	1.59e-08
AFAP1L1	1.838895	8.05e-18
ERICH3	1.8359526	1.02e-11
CCDC50	1.8346706	6.96e-28
ESYT3	1.8334717	9.38e-16
HSPB6	1.8309862	2.78e-27
CBX7	1.8299581	4.04e-25
SFTA2	1.8296991	0.00162
DNAI2	1.8276362	7.33e-16
DENND3	1.8243053	1.55e-34
CD83	1.8220217	4.36e-18
LOC202025	1.8218787	5.48e-29
ATP8A1	1.8198477	2.88e-08
FAR2	1.8174401	7.75e-10
CYBRD1	1.8164273	1.6e-14
NLRC4	1.8153991	9.75e-26
SLC34A2	1.8150494	7.49e-05
ELAPOR2	1.8149743	1.52e-12
CFAP95	1.8143872	5.14e-07
CSF3R	1.8134754	8.78e-16
TMEM163	1.8126655	2.9e-06
MAOA	1.8118298	6.48e-14
CBFA2T3	1.8117408	3.31e-23
STARD13	1.8104947	2.67e-25
FEZ1	1.8087253	9.92e-15
TMEM88	1.8069427	4.66e-26
GPRASP1	1.8018284	3.19e-18
ADGRB3	1.7985571	2.27e-20
RETN	1.798442	2.15e-25
CCL23	1.794328	2.07e-15
ACACB	1.7903005	3.57e-21
LAMC3	1.7900189	3.07e-21
RNF144B	1.7884869	2.02e-21
REV3L	1.7881939	5.55e-17
OLFML1	1.7852909	1.71e-15
NDRG4	1.7851688	4.82e-12
SNX1	1.7832256	1.15e-28
CLEC1A	1.7829548	1.39e-26
IQCN	1.7781384	1.69e-24
NR4A2	1.776005	3.6e-07
FAM81B	1.7751334	1.46e-07
ABCG2	1.7731019	2.08e-17
CNTN6	1.772675	2.77e-22
HPGDS	1.7716239	2.24e-09
KLRF1	1.7696304	1.59e-13
PTPRM	1.769591	6.17e-16
NHSL2	1.7689077	6.92e-20
MYO15B	1.7684718	1.16e-33
TMEM255A	1.7670096	1.41e-11
VWA3B	1.7645449	9.29e-13
PDLIM3	1.7635034	3.29e-11
JAML	1.7631851	8.85e-18
GIPC2	1.7626039	4.63e-13
EFEMP1	1.760959	1.17e-07
SASH1	1.7578767	6.35e-23
ERBB4	1.7558978	1.51e-13
AKAP14	1.7557169	1.16e-11
TMEM47	1.7550766	6.4e-18
CHIA	1.754502	3.69e-08
CITED2	1.7536182	4.55e-12
LGI3	1.7535863	1.81e-38
GSAP	1.7509158	1.36e-13
PLAC8	1.7507035	1.41e-06
CPM	1.7494934	3.51e-08
GLIPR2	1.7484699	4.29e-25
EFHB	1.7476911	1.94e-17
GSPT1	1.7470232	1.48e-13
TMEM204	1.7458668	7.42e-20
BEND7	1.7438332	1.89e-08
KLF9	1.7420945	3.56e-14
C5AR1	1.7394823	7.51e-14
ANKRD28	1.7393077	1.1e-13
LINC01140	1.7391254	4.42e-17
AGR3	1.73726	0.00128
ALOX5AP	1.7355752	2.08e-11
GNG11	1.7344807	3.43e-11
MAGI1	1.7344201	1.1e-19
FAXDC2	1.7338551	1.56e-07
ABCC6	1.7329919	1.43e-08
TGFB2	1.7313949	2.19e-11
SCAI	1.7299746	6.19e-15
CCDC17	1.7294416	1.18e-14
KCNE1	1.7288376	9.77e-18
ELF5	1.7269382	2.99e-10
ANKRD1	1.7232936	3.09e-21
ENG	1.7229489	1.63e-22
MS4A14	1.7209458	4.4e-21
TSPAN12	1.7181241	8.3e-09
SRGN	1.7174025	9.6e-19
TMPRSS2	1.7155598	6.11e-08
ARHGAP44	1.7144042	1.9e-11
ADPRH	1.7142395	7.31e-25
PAPSS2	1.7137567	6.71e-19
STEAP4	1.7132215	3.07e-05
WFS1	1.7130231	3.12e-29
SEPTIN8	1.7127069	1.17e-22
TNIK	1.7108775	4.67e-20
CIRBP	1.710016	3.19e-22
PLPP3	1.7077102	6.3e-19
ZSCAN18	1.7052945	3.4e-32
MYOCD	1.7044309	6.43e-27
SLPI	1.7043656	9.7e-07
SLC26A9	1.703529	2.17e-05
LMNTD2-AS1	1.7007929	6.2e-16
NR2F1	1.7004296	6.55e-09
CASQ2	1.7003868	1.9e-26
ZFP36	1.6995618	1.31e-14
CFAP157	1.6987925	4.2e-18
GLS	1.698756	1.98e-17
CNKSR2	1.6987095	1.78e-16
SEPTIN4	1.6986424	9.84e-27
JMJD1C	1.6976871	1.11e-09
MSRB3	1.6943753	1.54e-10
MFNG	1.6941551	1.38e-22
FBLN1	1.6937396	1.78e-10
LONRF1	1.693358	1.32e-25
TGFBR2	1.6925076	1.36e-19
RUNX1T1	1.6919438	6.68e-12
C1orf162	1.6917955	2.63e-16
ST6GALNAC5	1.6882991	4e-14
FERMT2	1.6859083	1.54e-12
SH3BP5	1.6854565	6.96e-27
HECW2	1.6850707	8.93e-15
CLXN	1.6842067	1.98e-18
CAMTA1	1.6816694	1.76e-11
APOH	1.6813567	3.12e-10
PTCH1	1.6800265	3.01e-10
C11orf21	1.6793855	2.16e-29
IRX1	1.6790587	2e-09
IL7R	1.6784725	1.09e-09
MS4A8	1.6775607	3.34e-13
BMPR2	1.6717331	8.76e-27
RAPGEF4	1.6705009	2.51e-13
SLC18A2	1.6703058	1.17e-14
CFAP52	1.6702525	1.01e-12
OR7E47P	1.669703	1.04e-20
DOCK9	1.6694854	1.08e-13
GPRC5A	1.6687659	1.87e-08
PEAK1	1.6684319	1.54e-26
LOC100131541	1.6677892	1.06e-20
PTPRD	1.6675966	2.32e-09
NES	1.6671929	4.42e-22
MAP3K8	1.6650674	9.14e-17
RPS6KA2	1.6634684	5.26e-12
DPYSL2	1.662418	6.65e-16
CSF3	1.6622645	6.96e-10
SIRPB1	1.6618848	2.86e-24
SNX25	1.6593406	3.1e-19
TMT1A	1.6586323	1.44e-13
GPD1L	1.6580692	3.28e-13
PNPLA6	1.6577494	5.84e-21
GFRA1	1.6560029	1.96e-19
LOC285812	1.6554871	7.79e-11
ARRB1	1.653676	4.88e-14
GIMAP5	1.6532632	2.86e-18
MEIS1	1.6518603	2.46e-19
PLAGL1	1.6494621	1.58e-14
DOK6	1.6493751	1.69e-23
CD69	1.6479649	2.39e-08
NEXN	1.6461945	8.19e-11
HIF3A	1.6445903	1.42e-21
NPR3	1.6443893	3.81e-08
SEMA3B	1.6420587	2.51e-12
SPATA13	1.6411254	1.7e-21
LTBP2	1.6406128	1.03e-12
LDB3	1.640589	1.23e-25
DRAM1	1.6391672	2.95e-12
C8B	1.6370359	9.01e-21
RGN	1.6323155	1.47e-16
TCP11L2	1.6320203	3.12e-23
NFKBIZ	1.6311696	6.58e-10
ADCY9	1.6276522	1.55e-15
C1orf21	1.6249241	1.43e-16
ADGRG6	1.623904	3.73e-06
SPARCL1	1.6225687	1.14e-16
BTG2	1.6206532	2.85e-12
ADAM33	1.6201185	5.59e-31
DUSP1	1.6191968	2.58e-12
COL21A1	1.618217	1.21e-05
MME	1.6169318	1.07e-07
EBF1	1.6166462	1.95e-13
ROS1	1.6160677	6.24e-15
KDR	1.6155307	2.12e-10
CDHR3	1.6153337	2.46e-12
HOATZ	1.6148912	2.9e-13
LRCH2	1.6145791	2.52e-10
MEOX2	1.614208	2.19e-06
PHACTR2	1.6119288	1.87e-23
NR4A3	1.6115595	9.78e-07
KCNJ15	1.610711	1.89e-06
SCUBE1	1.6090892	2.53e-39
ARRDC4	1.6087293	8.01e-13
ICAM4	1.6079011	2.56e-07
FRMD4A	1.607897	3.94e-15
MUC15	1.6071694	1.48e-05
PDLIM2	1.6060258	5.08e-21
PER1	1.6060171	8.49e-17
EFCC1	1.6036741	7.63e-37
PAG1	1.6034178	2.43e-11
CASP4LP	1.6030343	2.93e-16
WSB1	1.602457	2.31e-08
TIMP3	1.602012	1.17e-10
CCDC69	1.5992418	4.16e-12
PIK3C2A	1.5986458	1.11e-15
SIGLEC17P	1.5976509	6.16e-28
DNAI4	1.5972778	3.06e-13
TENT5B	1.5967514	3.91e-12
